Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,79700$\pm$30000,106000$\pm$41000,150000$\pm$55000,34500$\pm$14000,34400$\pm$14000,82700$\pm$34000,92400$\pm$28000,580000$\pm$89000,186000$\pm$51000,68.9$\pm$20,6,6,6,6,6,6,6,6,6,6
Production to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
Pre-consumer processes to Waste collection and recycling,3910$\pm$2400,5100$\pm$3300,7630$\pm$4500,1540$\pm$1200,1510$\pm$1200,3640$\pm$2800,5860$\pm$2600,29200$\pm$7400,9010$\pm$4100,3.05$\pm$1.6,6,6,6,6,6,6,6,6,6,6
Pre-consumer processes to Storm water and wastewater (MP),0.954$\pm$0.67,1.11$\pm$0.77,2.36$\pm$1.7,0.0256$\pm$0.021,0.0256$\pm$0.021,0.061$\pm$0.051,3.89$\pm$2.9,8.42$\pm$3.5,2$\pm$1,0.0000513$\pm$0.00003,6,6,6,6,6,6,6,6,6,6
Pre-consumer processes to ExcludedFlow,75800$\pm$29000,101000$\pm$40000,143000$\pm$53000,33000$\pm$14000,32900$\pm$14000,79100$\pm$33000,86500$\pm$27000,551000$\pm$86000,177000$\pm$49000,65.9$\pm$19,6,6,6,6,6,6,6,6,6,6
Pre-consumer processes to Soil (MP),3.02$\pm$2.8,4.15$\pm$3.8,5.47$\pm$5.1,1.44$\pm$1.3,1.44$\pm$1.3,3.46$\pm$3.2,2.53$\pm$2.4,21.5$\pm$8.2,7.17$\pm$4.7,0.00287$\pm$0.0019,6,6,6,6,6,6,6,6,6,6
Pre-consumer processes to Fresh water (MP),0.00477$\pm$0.0022,0.00646$\pm$0.003,0.00867$\pm$0.0039,0.00227$\pm$0.001,0.00227$\pm$0.001,0.00549$\pm$0.0025,0.00402$\pm$0.0018,0.0339$\pm$0.0063,0.0112$\pm$0.0037,0.00000454$\pm$0.0000014,6,6,6,6,6,6,6,6,6,6
Consumer packaging to Waste collection and recycling,13000$\pm$5500,28100$\pm$12000,41100$\pm$17000,9900$\pm$4200,1620$\pm$690,3950$\pm$1600,33200$\pm$15000,131000$\pm$26000,41100$\pm$13000,11.5$\pm$4.2,6,6,6,6,6,6,6,6,6,6
Consumer packaging to On-the-go consumption,1260$\pm$760,2340$\pm$1200,4600$\pm$2500,699$\pm$400,0$\pm$0,553$\pm$300,12300$\pm$7300,21800$\pm$7900,3600$\pm$1500,0.699$\pm$0.4,6,6,6,6,6,6,6,6,6,6
Consumer packaging to Dumping,9.92$\pm$5.7,21.1$\pm$11,31.7$\pm$17,7.33$\pm$4.5,1.13$\pm$0.73,3.13$\pm$1.7,31.6$\pm$17,106$\pm$28,31.1$\pm$12,0.00846$\pm$0.0045,6,6,6,6,6,6,6,6,6,6
Consumer packaging to Organic waste collection,66.4$\pm$33,60.8$\pm$27,124$\pm$58,14.8$\pm$7,1.76$\pm$0.88,12.2$\pm$5.7,57.9$\pm$27,338$\pm$77,127$\pm$42,0.0166$\pm$0.007,6,6,6,6,6,6,6,6,6,6
Non-consumer packaging to Waste collection and recycling,21300$\pm$9000,20000$\pm$8300,15300$\pm$6400,4770$\pm$2000,2120$\pm$900,125$\pm$53,12600$\pm$5400,76200$\pm$15000,41300$\pm$12000,6.89$\pm$2.2,6,6,6,6,6,6,6,6,6,6
Non-consumer packaging to Litter,246$\pm$190,226$\pm$170,176$\pm$110,54.9$\pm$42,24.4$\pm$19,1.43$\pm$1.1,145$\pm$110,875$\pm$300,473$\pm$250,0.0792$\pm$0.046,6,6,6,6,6,6,6,6,6,6
Non-consumer packaging to Dumping,14.9$\pm$9.6,13.9$\pm$8.6,10.7$\pm$5.8,3.34$\pm$2.2,1.48$\pm$0.95,0.0874$\pm$0.054,8.75$\pm$5.6,53.1$\pm$15,28.8$\pm$13,0.00482$\pm$0.0024,6,6,6,6,6,6,6,6,6,6
Construction to Waste collection and recycling,9530$\pm$2900,26400$\pm$11000,14300$\pm$5000,0$\pm$0,29200$\pm$12000,53700$\pm$22000,3390$\pm$1400,137000$\pm$28000,35900$\pm$11000,29.2$\pm$12,6,6,6,6,6,6,6,6,6,6
Construction to Soil (MP),0.0306$\pm$0.014,0.412$\pm$0.24,3.42$\pm$3.4,0$\pm$0,0$\pm$0,0.118$\pm$0.054,2.09$\pm$2.1,6.08$\pm$4,0.442$\pm$0.24,0$\pm$0,6,6,6,6,6,6,6,6,6,6
Construction to UnintendedCDWaste,60.5$\pm$46,2.09$\pm$1.6,0$\pm$0,0$\pm$0,331$\pm$250,175$\pm$120,0$\pm$0,568$\pm$290,62.6$\pm$46,0.331$\pm$0.25,6,6,6,6,6,6,6,6,6,6
Construction to Soil,0$\pm$0,1.98$\pm$1.5,29.2$\pm$21,0$\pm$0,0$\pm$0,0$\pm$0,38.9$\pm$29,70$\pm$36,1.98$\pm$1.5,0$\pm$0,6,6,6,6,6,6,6,6,6,6
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,13.1$\pm$8.1,0$\pm$0,13.1$\pm$8.1,0$\pm$0,0$\pm$0,6,6,6,6,6,6,6,6,6,6
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.94$\pm$1.4,0$\pm$0,0$\pm$0,2.94$\pm$1.4,0$\pm$0,0.00294$\pm$0.0014,6,6,6,6,6,6,6,6,6,6
Automotive to Waste collection and recycling,1520$\pm$650,4080$\pm$1600,18600$\pm$6700,689$\pm$290,0$\pm$0,4990$\pm$2100,3480$\pm$1500,33400$\pm$7400,5600$\pm$1800,0.689$\pm$0.29,6,6,6,6,6,6,6,6,6,6
Automotive to Soil,0.877$\pm$0.46,3.02$\pm$1.6,14.3$\pm$7.3,0.0187$\pm$0.0097,0$\pm$0,1$\pm$0.51,0.000657$\pm$0.00034,19.2$\pm$7.4,3.9$\pm$1.6,0.0000187$\pm$0.0000097,6,6,6,6,6,6,6,6,6,6
Automotive to Export,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6
Agriculture to Waste collection and recycling,8020$\pm$2600,792$\pm$230,3610$\pm$1100,14.8$\pm$6.1,0$\pm$0,142$\pm$59,335$\pm$140,12900$\pm$2800,8810$\pm$2600,0.0148$\pm$0.0061,6,6,6,6,6,6,6,6,6,6
