Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,81000$\pm$34000,114000$\pm$46000,171000$\pm$64000,40800$\pm$17000,40400$\pm$17000,97000$\pm$40000,108000$\pm$33000,652000$\pm$100000,195000$\pm$57000,81.2$\pm$24,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre-consumer processes to Waste collection and recycling,3570$\pm$2700,5080$\pm$3700,8480$\pm$5200,1790$\pm$1400,1780$\pm$1400,4200$\pm$3200,6860$\pm$3100,31800$\pm$8400,8650$\pm$4600,3.58$\pm$1.9,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.0613$\pm$0.051,0.238$\pm$0.13,2.32$\pm$1.7,0.0304$\pm$0.025,0.0299$\pm$0.025,0.0726$\pm$0.06,4.57$\pm$3.4,7.32$\pm$3.7,0.299$\pm$0.14,0.0000603$\pm$0.000036,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,77400$\pm$32000,108000$\pm$44000,162000$\pm$62000,39000$\pm$16000,38600$\pm$16000,92800$\pm$39000,102000$\pm$32000,620000$\pm$98000,186000$\pm$55000,77.6$\pm$23,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.37$\pm$3.1,4.6$\pm$4.2,6.32$\pm$5.9,1.68$\pm$1.5,1.68$\pm$1.6,4$\pm$3.7,2.95$\pm$2.7,24.6$\pm$9.4,7.97$\pm$5.3,0.00336$\pm$0.0022,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.00535$\pm$0.0024,0.00741$\pm$0.0033,0.0101$\pm$0.0046,0.00269$\pm$0.0012,0.00267$\pm$0.0012,0.00638$\pm$0.0029,0.0047$\pm$0.0021,0.0393$\pm$0.0073,0.0128$\pm$0.0041,0.00000536$\pm$0.0000017,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,14500$\pm$6100,32300$\pm$13000,46900$\pm$20000,11600$\pm$4800,1900$\pm$790,4540$\pm$1900,38600$\pm$17000,150000$\pm$31000,46800$\pm$15000,13.5$\pm$4.9,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1470$\pm$870,2750$\pm$1400,5410$\pm$3000,824$\pm$460,0$\pm$0,650$\pm$350,14600$\pm$8700,25700$\pm$9300,4220$\pm$1700,0.824$\pm$0.46,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,8.33$\pm$4.8,17.8$\pm$9.4,26.8$\pm$14,6.25$\pm$3.8,0.95$\pm$0.61,2.65$\pm$1.5,26.8$\pm$15,89.6$\pm$24,26.2$\pm$11,0.0072$\pm$0.0039,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,908$\pm$440,827$\pm$370,1700$\pm$790,204$\pm$95,24.3$\pm$12,167$\pm$79,790$\pm$360,4620$\pm$1100,1730$\pm$570,0.228$\pm$0.096,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,25100$\pm$10000,23400$\pm$9700,18000$\pm$7700,5650$\pm$2400,2510$\pm$1000,149$\pm$64,14900$\pm$6400,89800$\pm$18000,48500$\pm$14000,8.16$\pm$2.6,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,307$\pm$240,289$\pm$210,221$\pm$140,69.3$\pm$54,30.8$\pm$23,1.82$\pm$1.4,183$\pm$140,1100$\pm$380,596$\pm$320,0.1$\pm$0.059,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,12.6$\pm$8,11.7$\pm$7.3,9.11$\pm$5,2.84$\pm$1.8,1.27$\pm$0.81,0.0753$\pm$0.048,7.51$\pm$4.9,45.2$\pm$13,24.4$\pm$11,0.00411$\pm$0.002,4,4,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,11300$\pm$3400,30800$\pm$13000,16700$\pm$5900,0$\pm$0,33800$\pm$14000,63000$\pm$26000,3980$\pm$1700,160000$\pm$33000,42100$\pm$13000,33.8$\pm$14,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0363$\pm$0.017,0.457$\pm$0.27,3.93$\pm$3.8,0$\pm$0,0$\pm$0,0.138$\pm$0.064,2.52$\pm$2.5,7.08$\pm$4.5,0.493$\pm$0.27,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,77.1$\pm$60,2.61$\pm$2,0$\pm$0,0$\pm$0,410$\pm$320,222$\pm$150,0$\pm$0,712$\pm$360,79.8$\pm$60,0.41$\pm$0.32,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0$\pm$0,2.24$\pm$1.7,37.2$\pm$27,0$\pm$0,0$\pm$0,0$\pm$0,48.9$\pm$36,88.3$\pm$46,2.24$\pm$1.7,0$\pm$0,0,2,4,0,0,0,4,4,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,15.4$\pm$9.5,0$\pm$0,15.4$\pm$9.5,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.41$\pm$1.6,0$\pm$0,0$\pm$0,3.41$\pm$1.6,0$\pm$0,0.00341$\pm$0.0016,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1800$\pm$750,4780$\pm$1900,21900$\pm$8000,810$\pm$340,0$\pm$0,5880$\pm$2400,4110$\pm$1700,39300$\pm$8800,6590$\pm$2100,0.81$\pm$0.34,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.04$\pm$0.53,3.55$\pm$1.8,16.8$\pm$8.5,0.022$\pm$0.011,0$\pm$0,1.17$\pm$0.59,0.000776$\pm$0.0004,22.6$\pm$8.8,4.59$\pm$1.9,0.000022$\pm$0.000011,2,2,4,1,0,2,1,4,2,1
Automotive to Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture to Waste collection and recycling,8930$\pm$2900,873$\pm$260,4000$\pm$1200,17.1$\pm$7.1,0$\pm$0,163$\pm$68,370$\pm$160,14400$\pm$3200,9810$\pm$2900,0.0171$\pm$0.0071,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,4.84$\pm$2.4,0.453$\pm$0.2,2.13$\pm$0.98,0.00883$\pm$0.0056,0$\pm$0,0.0853$\pm$0.043,0.199$\pm$0.13,7.71$\pm$2.6,5.29$\pm$2.4,0.00000883$\pm$0.0000056,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,592$\pm$230,27.4$\pm$11,263$\pm$95,0.223$\pm$0.11,0$\pm$0,4.31$\pm$2,24.9$\pm$13,912$\pm$250,619$\pm$230,0.000223$\pm$0.00011,6,4,6,1,0,2,4,6,6,1
Agriculture to Soil (MP),177$\pm$89,3.74$\pm$3.2,28.7$\pm$23,0.0176$\pm$0.011,0$\pm$0,1.22$\pm$0.6,4.88$\pm$3.9,215$\pm$92,180$\pm$89,0.0000176$\pm$0.000011,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,21.3$\pm$11,8.84$\pm$5.3,5.05$\pm$2.1,0.368$\pm$0.25,0$\pm$0,3.34$\pm$2.1,0.246$\pm$0.17,39.1$\pm$13,30.1$\pm$12,0.000368$\pm$0.00025,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0$\pm$0,316$\pm$220,435$\pm$280,0$\pm$0,0$\pm$0,0$\pm$0,664$\pm$390,1410$\pm$590,316$\pm$220,0$\pm$0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0$\pm$0,180$\pm$130,190$\pm$130,0$\pm$0,0$\pm$0,0$\pm$0,176$\pm$140,546$\pm$250,180$\pm$130,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0$\pm$0,0.245$\pm$0.17,0.309$\pm$0.21,0$\pm$0,0$\pm$0,0$\pm$0,0.418$\pm$0.27,0.972$\pm$0.43,0.245$\pm$0.17,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.203$\pm$0.17,0.000485$\pm$0.0004,0$\pm$0,0$\pm$0,0$\pm$0,0.00107$\pm$0.00086,0.204$\pm$0.17,0.203$\pm$0.17,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,3.85$\pm$2.5,0.00918$\pm$0.0059,0$\pm$0,0$\pm$0,0$\pm$0,0.0202$\pm$0.013,3.88$\pm$2.5,3.85$\pm$2.5,0$\pm$0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0$\pm$0,142$\pm$93,3200$\pm$1400,0$\pm$0,0$\pm$0,0$\pm$0,16800$\pm$5800,20100$\pm$6000,142$\pm$93,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0$\pm$0,1.1$\pm$0.73,24.9$\pm$11,0$\pm$0,0$\pm$0,0$\pm$0,130$\pm$47,156$\pm$49,1.1$\pm$0.73,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0$\pm$0,0.0711$\pm$0.06,1.6$\pm$0.96,0$\pm$0,0$\pm$0,0$\pm$0,8.33$\pm$4.2,9.99$\pm$4.4,0.0711$\pm$0.06,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.405$\pm$0.45,9.16$\pm$8.6,0$\pm$0,0$\pm$0,0$\pm$0,48.1$\pm$42,57.7$\pm$49,0.405$\pm$0.45,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Air (MP),0$\pm$0,0.17$\pm$0.16,3.83$\pm$3,0$\pm$0,0$\pm$0,0$\pm$0,20.1$\pm$15,24.1$\pm$17,0.17$\pm$0.16,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0$\pm$0,19.8$\pm$9.2,2500$\pm$820,0$\pm$0,0$\pm$0,0$\pm$0,7680$\pm$2300,10200$\pm$2500,19.8$\pm$9.2,0$\pm$0,0,4,8,0,0,0,8,10,4,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.0123$\pm$0.0059,1.56$\pm$0.53,0$\pm$0,0$\pm$0,0$\pm$0,4.78$\pm$1.5,6.35$\pm$1.7,0.0123$\pm$0.0059,0$\pm$0,0,1,2,0,0,0,2,2,1,0
