Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,131000$\pm$55000,146000$\pm$45000,277000$\pm$71000,0$\pm$0,0$\pm$0,0,0,0,0,0,10,10,10,0,0
Production to Pre-consumer processes,752000$\pm$97000,1130000$\pm$150000,2410000$\pm$310000,527000$\pm$68000,119000$\pm$15000,0$\pm$0,0$\pm$0,4940000$\pm$360000,1890000$\pm$180000,645$\pm$69,10,10,10,10,10,0,0,10,10,10
Pre-consumer processes to Waste collection and recycling,35700$\pm$20000,55300$\pm$30000,151000$\pm$56000,25200$\pm$14000,5660$\pm$3200,5830$\pm$4400,9260$\pm$4100,288000$\pm$69000,91100$\pm$36000,30.8$\pm$15,10,10,10,10,8,8,8,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),10.8$\pm$6.7,17.7$\pm$10,91.2$\pm$44,7.56$\pm$4.7,1.72$\pm$1.1,0.0976$\pm$0.081,6.13$\pm$4.5,135$\pm$46,28.5$\pm$12,0.00927$\pm$0.0048,4,4,4,2,2,1,2,6,4,2
Pre-consumer processes to ExcludedFlow,717000$\pm$94000,1080000$\pm$140000,2260000$\pm$290000,501000$\pm$66000,113000$\pm$15000,125000$\pm$53000,137000$\pm$42000,4930000$\pm$350000,1800000$\pm$170000,614$\pm$67,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),85.7$\pm$38,128$\pm$57,273$\pm$110,59.7$\pm$26,13.3$\pm$5.8,5.43$\pm$5,3.96$\pm$3.7,570$\pm$130,214$\pm$68,0.0731$\pm$0.027,4,6,6,4,4,2,2,6,6,4
Pre-consumer processes to Fresh water (MP),0.821$\pm$0.16,1.24$\pm$0.25,2.6$\pm$0.52,0.575$\pm$0.11,0.13$\pm$0.026,0.00863$\pm$0.0039,0.00631$\pm$0.0029,5.38$\pm$0.61,2.06$\pm$0.29,0.000705$\pm$0.00012,1,2,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,19600$\pm$8300,43500$\pm$18000,63600$\pm$27000,15500$\pm$6400,2570$\pm$1100,6060$\pm$2500,52400$\pm$23000,203000$\pm$41000,63100$\pm$20000,18.1$\pm$6.5,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1980$\pm$1200,3700$\pm$2000,7270$\pm$4000,1110$\pm$630,0$\pm$0,875$\pm$470,19700$\pm$12000,34600$\pm$13000,5680$\pm$2300,1.11$\pm$0.63,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,14.2$\pm$8.1,30$\pm$16,45.7$\pm$24,10.5$\pm$6.4,2$\pm$1,4.49$\pm$2.4,45.5$\pm$25,152$\pm$40,44.2$\pm$18,0.0121$\pm$0.0065,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,1060$\pm$510,973$\pm$440,2000$\pm$940,240$\pm$110,28.7$\pm$14,194$\pm$90,938$\pm$420,5440$\pm$1200,2040$\pm$670,0.269$\pm$0.11,8,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,33000$\pm$14000,30900$\pm$13000,23900$\pm$10000,7450$\pm$3100,3330$\pm$1400,194$\pm$83,19800$\pm$8400,119000$\pm$23000,63900$\pm$19000,10.8$\pm$3.4,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,1050$\pm$810,986$\pm$730,759$\pm$470,234$\pm$180,106$\pm$81,6.14$\pm$4.6,620$\pm$480,3760$\pm$1300,2040$\pm$1100,0.34$\pm$0.2,8,6,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,21.2$\pm$14,20.1$\pm$13,15.4$\pm$8.3,4.78$\pm$3.1,2.15$\pm$1.4,0.126$\pm$0.079,12.7$\pm$8.1,76.5$\pm$22,41.3$\pm$18,0.00693$\pm$0.0034,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,15000$\pm$4500,41400$\pm$17000,22500$\pm$7900,0$\pm$0,45200$\pm$19000,84100$\pm$35000,5250$\pm$2200,213000$\pm$44000,56400$\pm$18000,45.2$\pm$19,10,10,10,0,10,10,8,10,10,10
