Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,12300$\pm$5100,0$\pm$0,0$\pm$0,20700$\pm$8600,20700$\pm$8500,40400$\pm$17000,55400$\pm$17000,149000$\pm$27000,12300$\pm$5100,41.4$\pm$12,10,0,0,10,10,10,10,10,10,10
Production to Pre-consumer processes,29500$\pm$3600,67100$\pm$8200,123000$\pm$15000,0$\pm$0,0$\pm$0,9510$\pm$1200,0$\pm$0,229000$\pm$17000,96600$\pm$9000,0$\pm$0,10,10,10,0,0,8,0,10,10,0
Pre-consumer processes to Waste collection and recycling,1950$\pm$1100,3260$\pm$1800,7700$\pm$2900,906$\pm$690,910$\pm$690,2240$\pm$1600,3520$\pm$1600,20500$\pm$4300,5200$\pm$2100,1.82$\pm$0.98,8,8,8,6,6,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.434$\pm$0.26,1.03$\pm$0.6,4.64$\pm$2.2,0.0155$\pm$0.013,0.0153$\pm$0.013,0.166$\pm$0.09,2.34$\pm$1.7,8.64$\pm$2.9,1.47$\pm$0.65,0.0000308$\pm$0.000018,1,2,2,1,1,1,2,2,2,1
Pre-consumer processes to ExcludedFlow,39800$\pm$6100,63900$\pm$8000,115000$\pm$14000,19800$\pm$8200,19800$\pm$8200,47700$\pm$16000,51800$\pm$16000,358000$\pm$31000,104000$\pm$10000,39.6$\pm$12,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.83$\pm$1.8,7.62$\pm$3.4,13.8$\pm$5.6,0.869$\pm$0.8,0.844$\pm$0.78,2.72$\pm$1.8,1.51$\pm$1.4,31.2$\pm$7.3,11.5$\pm$3.8,0.00171$\pm$0.0011,2,2,4,1,1,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.0329$\pm$0.0062,0.0729$\pm$0.014,0.133$\pm$0.026,0.00136$\pm$0.00061,0.00137$\pm$0.00061,0.013$\pm$0.0024,0.00239$\pm$0.0011,0.257$\pm$0.03,0.106$\pm$0.016,0.00000273$\pm$0.00000087,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,7830$\pm$3300,16800$\pm$7000,24800$\pm$10000,6000$\pm$2500,978$\pm$420,2380$\pm$990,20000$\pm$8900,78800$\pm$16000,24600$\pm$7700,6.98$\pm$2.5,8,10,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,758$\pm$460,1400$\pm$750,2790$\pm$1500,421$\pm$240,0$\pm$0,332$\pm$180,7530$\pm$4500,13200$\pm$4800,2160$\pm$880,0.421$\pm$0.24,6,8,8,6,0,6,8,10,8,6
Consumer packaging to Dumping,14.9$\pm$8.4,31.4$\pm$17,47.9$\pm$25,11.2$\pm$6.9,1.7$\pm$1.1,4.66$\pm$2.5,47.8$\pm$26,159$\pm$42,46.2$\pm$19,0.0129$\pm$0.007,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,26.7$\pm$13,24.2$\pm$11,50.1$\pm$23,5.99$\pm$2.8,0.711$\pm$0.36,4.88$\pm$2.3,23.3$\pm$11,136$\pm$31,50.9$\pm$17,0.0067$\pm$0.0028,4,4,4,2,1,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,12500$\pm$5300,11600$\pm$4900,9000$\pm$3800,2810$\pm$1200,1240$\pm$520,73.5$\pm$31,7430$\pm$3200,44600$\pm$8800,24100$\pm$7200,4.05$\pm$1.3,10,10,8,8,8,4,8,10,10,8
Non-consumer packaging to Litter,484$\pm$370,449$\pm$330,353$\pm$220,109$\pm$84,48.3$\pm$37,2.85$\pm$2.1,288$\pm$220,1730$\pm$600,933$\pm$500,0.157$\pm$0.092,6,6,6,6,4,2,6,8,6,6
Non-consumer packaging to Dumping,22.6$\pm$15,20.8$\pm$13,16.2$\pm$8.7,5.02$\pm$3.2,2.23$\pm$1.4,0.132$\pm$0.082,13.4$\pm$8.6,80.3$\pm$23,43.3$\pm$20,0.00724$\pm$0.0036,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,5660$\pm$1700,15800$\pm$6500,8550$\pm$3000,0$\pm$0,17000$\pm$7100,31900$\pm$13000,1970$\pm$840,80800$\pm$17000,21400$\pm$6800,17$\pm$7.1,8,10,8,0,10,10,8,10,10,10
Construction to Soil (MP),0.0184$\pm$0.0085,0.22$\pm$0.13,2.04$\pm$2,0$\pm$0,0$\pm$0,0.0704$\pm$0.033,1.28$\pm$1.3,3.63$\pm$2.4,0.238$\pm$0.13,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,118$\pm$92,4.07$\pm$3.2,0$\pm$0,0$\pm$0,653$\pm$500,350$\pm$240,0$\pm$0,1130$\pm$570,122$\pm$93,0.653$\pm$0.5,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0$\pm$0,3.13$\pm$2.6,58.6$\pm$42,0$\pm$0,0$\pm$0,0$\pm$0,76$\pm$57,138$\pm$71,3.13$\pm$2.6,0$\pm$0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,7.82$\pm$4.9,0$\pm$0,7.82$\pm$4.9,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.76$\pm$0.82,0$\pm$0,0$\pm$0,1.76$\pm$0.82,0$\pm$0,0.00176$\pm$0.00082,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,754$\pm$320,2010$\pm$810,9200$\pm$3400,344$\pm$140,0$\pm$0,2500$\pm$1000,1710$\pm$740,16500$\pm$3700,2770$\pm$870,0.344$\pm$0.14,6,8,8,6,0,8,8,10,8,6
Automotive to Soil,0.528$\pm$0.27,1.83$\pm$0.93,8.57$\pm$4.3,0.0114$\pm$0.0058,0$\pm$0,0.605$\pm$0.3,0.000401$\pm$0.0002,11.5$\pm$4.5,2.35$\pm$0.97,0.0000114$\pm$0.0000058,1,2,2,1,0,1,1,4,2,1
Automotive to Export,162$\pm$72,433$\pm$190,1970$\pm$770,73.8$\pm$33,0$\pm$0,537$\pm$240,367$\pm$170,3550$\pm$850,595$\pm$200,0.0738$\pm$0.033,6,6,8,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,4820$\pm$1600,439$\pm$140,2170$\pm$660,8.85$\pm$3.7,0$\pm$0,85.2$\pm$36,200$\pm$85,7720$\pm$1700,5260$\pm$1600,0.00885$\pm$0.0037,8,6,8,2,0,4,6,8,8,2
Agriculture to Dumping,8.52$\pm$4.2,0.772$\pm$0.35,3.81$\pm$1.7,0.0156$\pm$0.01,0$\pm$0,0.152$\pm$0.078,0.352$\pm$0.23,13.6$\pm$4.6,9.29$\pm$4.2,0.0000156$\pm$0.00001,2,1,2,1,0,1,1,4,2,1
Agriculture to Organic waste collection,17.2$\pm$6.6,0.737$\pm$0.32,7.76$\pm$2.8,0.00658$\pm$0.0032,0$\pm$0,0.127$\pm$0.058,0.724$\pm$0.36,26.5$\pm$7.2,17.9$\pm$6.7,0.00000658$\pm$0.0000032,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil (MP),90.1$\pm$45,1.68$\pm$1.5,14.6$\pm$12,0.00909$\pm$0.0056,0$\pm$0,0.63$\pm$0.31,2.46$\pm$2,109$\pm$47,91.8$\pm$45,0.00000909$\pm$0.0000056,4,2,4,1,0,1,2,6,4,1
Agriculture to Soil,10.8$\pm$5.6,4.51$\pm$2.7,2.59$\pm$1.1,0.188$\pm$0.13,0$\pm$0,1.71$\pm$1.1,0.123$\pm$0.085,20$\pm$6.5,15.4$\pm$6.3,0.000188$\pm$0.00013,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0$\pm$0,219$\pm$140,306$\pm$200,0$\pm$0,0$\pm$0,0$\pm$0,466$\pm$280,992$\pm$410,219$\pm$140,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Storm water and wastewater,0$\pm$0,124$\pm$85,134$\pm$93,0$\pm$0,0$\pm$0,0$\pm$0,127$\pm$97,384$\pm$170,124$\pm$85,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0$\pm$0,0.592$\pm$0.4,0.763$\pm$0.55,0$\pm$0,0$\pm$0,0$\pm$0,1.03$\pm$0.69,2.39$\pm$1.1,0.592$\pm$0.4,0$\pm$0,0,1,1,0,0,0,2,2,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.105$\pm$0.084,0.000248$\pm$0.0002,0$\pm$0,0$\pm$0,0$\pm$0,0.000544$\pm$0.00045,0.106$\pm$0.084,0.105$\pm$0.084,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,1.99$\pm$1.3,0.00471$\pm$0.003,0$\pm$0,0$\pm$0,0$\pm$0,0.0103$\pm$0.0066,2$\pm$1.3,1.99$\pm$1.3,0$\pm$0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0$\pm$0,63.4$\pm$45,1640$\pm$750,0$\pm$0,0$\pm$0,0$\pm$0,8560$\pm$3000,10300$\pm$3100,63.4$\pm$45,0$\pm$0,0,4,8,0,0,0,8,10,4,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.494$\pm$0.35,12.7$\pm$6,0$\pm$0,0$\pm$0,0$\pm$0,66.7$\pm$24,79.9$\pm$25,0.494$\pm$0.35,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Clothing to Dumping,0$\pm$0,0.109$\pm$0.097,2.83$\pm$1.7,0$\pm$0,0$\pm$0,0$\pm$0,14.8$\pm$7.6,17.8$\pm$7.8,0.109$\pm$0.097,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Indoor air (MP),0$\pm$0,0.183$\pm$0.22,4.73$\pm$4.6,0$\pm$0,0$\pm$0,0$\pm$0,24.6$\pm$22,29.5$\pm$25,0.183$\pm$0.22,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Air (MP),0$\pm$0,0.0768$\pm$0.079,1.98$\pm$1.6,0$\pm$0,0$\pm$0,0$\pm$0,10.3$\pm$7.4,12.3$\pm$8.6,0.0768$\pm$0.079,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0$\pm$0,9.01$\pm$4.7,1280$\pm$410,0$\pm$0,0$\pm$0,0$\pm$0,3930$\pm$1200,5220$\pm$1300,9.01$\pm$4.7,0$\pm$0,0,2,8,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.00561$\pm$0.003,0.797$\pm$0.27,0$\pm$0,0$\pm$0,0$\pm$0,2.45$\pm$0.78,3.25$\pm$0.85,0.00561$\pm$0.003,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Dumping,0$\pm$0,0.0156$\pm$0.011,2.22$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0,6.81$\pm$3.2,9.04$\pm$3.4,0.0156$\pm$0.011,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.0159$\pm$0.016,2.27$\pm$2,0$\pm$0,0$\pm$0,0$\pm$0,6.99$\pm$6.1,9.27$\pm$7.8,0.0159$\pm$0.016,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Air (MP),0$\pm$0,0.000802$\pm$0.00071,0.113$\pm$0.084,0$\pm$0,0$\pm$0,0$\pm$0,0.347$\pm$0.25,0.461$\pm$0.32,0.000802$\pm$0.00071,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,8350$\pm$3400,8290$\pm$3400,25400$\pm$8100,10800$\pm$3600,677$\pm$280,11600$\pm$4400,2470$\pm$1400,67600$\pm$11000,16600$\pm$4900,11.5$\pm$3.6,8,8,10,10,6,10,8,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,6.5$\pm$3.8,0$\pm$0,6.5$\pm$3.8,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,14.4$\pm$8.2,14.4$\pm$7.9,41.2$\pm$20,18.7$\pm$8.4,1.17$\pm$0.63,20$\pm$9.6,3.86$\pm$2.8,114$\pm$26,28.8$\pm$11,0.0199$\pm$0.0085,4,4,4,4,2,4,2,6,4,4
Other products to Organic waste collection,0.574$\pm$0.29,1.35$\pm$0.68,1.56$\pm$0.78,1.09$\pm$0.55,0.236$\pm$0.12,0.998$\pm$0.5,0.0486$\pm$0.025,5.86$\pm$1.3,1.93$\pm$0.74,0.00133$\pm$0.00056,1,2,2,2,1,1,1,2,2,2
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.31$\pm$2.4,0$\pm$0,4.31$\pm$2.4,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.316$\pm$0.2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.316$\pm$0.2,0.316$\pm$0.2,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.79$\pm$0.49,1.88$\pm$1.2,2.16$\pm$1.3,1.51$\pm$0.94,0.326$\pm$0.2,3.51$\pm$1.9,0.0672$\pm$0.041,10.2$\pm$2.8,2.67$\pm$1.3,0.00183$\pm$0.00096,1,2,2,2,1,2,1,4,2,2
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,4.34$\pm$2.8,0$\pm$0,4.34$\pm$2.8,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other products to Fresh water,0.0513$\pm$0.034,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0513$\pm$0.034,0.0513$\pm$0.034,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,48.6$\pm$5.9,48.6$\pm$5.9,21.5$\pm$2.6,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,119$\pm$8.7,97.2$\pm$8.4,0$\pm$0,4,4,4,0,0,0,0,6,4,0
Fishing gear to Fresh water (MP),0.000782$\pm$0.00029,0.000782$\pm$0.00029,0.000343$\pm$0.00013,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00191$\pm$0.00043,0.00156$\pm$0.00041,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,0.754$\pm$0.41,0.749$\pm$0.41,0.13$\pm$0.032,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.63$\pm$0.58,1.5$\pm$0.58,0$\pm$0,1,1,1,0,0,0,0,2,2,0
Fishing gear to Coastal and ocean water (MP),0.118$\pm$0.033,0.118$\pm$0.032,0.0517$\pm$0.014,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.288$\pm$0.048,0.236$\pm$0.046,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),0.457$\pm$0.17,1.45$\pm$0.41,2.4$\pm$0.7,0.182$\pm$0.05,0.0269$\pm$0.013,0.489$\pm$0.2,1.13$\pm$0.53,6.13$\pm$0.99,1.91$\pm$0.44,0.000209$\pm$0.000052,1,2,2,1,1,1,2,2,2,1
Waste collection and recycling to Litter,213$\pm$120,584$\pm$440,322$\pm$210,0$\pm$0,637$\pm$490,1190$\pm$920,74.1$\pm$58,3020$\pm$1200,797$\pm$460,0.637$\pm$0.49,6,6,6,0,6,8,4,8,6,6
Waste collection and recycling to Soil (MP),0.195$\pm$0.12,0.414$\pm$0.19,0.891$\pm$0.34,0.0832$\pm$0.065,0.0666$\pm$0.064,0.215$\pm$0.15,0.421$\pm$0.19,2.29$\pm$0.48,0.608$\pm$0.23,0.00015$\pm$0.000092,1,1,1,1,1,1,1,2,1,1
Waste collection and recycling to Soil,3.5$\pm$1.6,3.95$\pm$2,6.39$\pm$3,1.77$\pm$0.89,0.386$\pm$0.2,1.44$\pm$0.74,5.07$\pm$2.2,22.5$\pm$4.8,7.45$\pm$2.6,0.00216$\pm$0.00091,2,2,2,2,1,2,2,4,2,2
Waste collection and recycling to Air (MP),0.000158$\pm$0.00011,0.00015$\pm$0.0001,0.00553$\pm$0.0037,0.00318$\pm$0.0021,0$\pm$0,0.00128$\pm$0.00085,0.000000578$\pm$0.00000038,0.0103$\pm$0.0043,0.000309$\pm$0.00014,0.00000318$\pm$0.0000021,1,1,1,1,0,1,1,1,1,1
Waste collection and recycling to Landfill,29500$\pm$9600,44000$\pm$12000,62100$\pm$16000,16100$\pm$4800,3120$\pm$1000,12300$\pm$4000,38500$\pm$12000,206000$\pm$26000,73600$\pm$16000,19.3$\pm$4.9,10,10,10,10,8,10,10,10,10,10
Waste collection and recycling to Reuse,3950$\pm$1300,6760$\pm$2000,15600$\pm$4000,1340$\pm$600,825$\pm$560,4420$\pm$1600,9940$\pm$2900,42800$\pm$5700,10700$\pm$2400,2.17$\pm$0.82,8,8,10,8,6,8,8,10,10,8
Waste collection and recycling to End-of-life,9680$\pm$4500,9230$\pm$5400,15300$\pm$8300,3950$\pm$2500,17200$\pm$6900,34100$\pm$13000,9490$\pm$5400,99000$\pm$19000,18900$\pm$7100,21.1$\pm$7.3,8,8,10,8,10,10,8,10,10,10
Storm water and wastewater to Waste collection and recycling,5.04$\pm$5.5,75$\pm$60,81.1$\pm$65,1.38$\pm$1.4,0.443$\pm$0.5,0.318$\pm$0.35,80.8$\pm$68,244$\pm$120,80$\pm$61,0.00182$\pm$0.0015,2,4,4,2,1,1,4,6,4,2
