Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,5040$\pm$2100,6960$\pm$2900,10500$\pm$3900,2490$\pm$1000,2480$\pm$1000,5940$\pm$2500,6610$\pm$2100,40000$\pm$6400,12000$\pm$3500,4.97$\pm$1.5,8,8,10,8,8,8,8,10,10,8
Pre-consumer processes to Waste collection and recycling,223$\pm$170,311$\pm$230,526$\pm$320,109$\pm$84,109$\pm$84,264$\pm$200,418$\pm$190,1960$\pm$530,534$\pm$290,0.219$\pm$0.12,6,6,6,6,6,6,6,8,6,6
Pre-consumer processes to Storm water and wastewater (MP),0.00483$\pm$0.0032,0.0155$\pm$0.009,0.143$\pm$0.1,0.00185$\pm$0.0016,0.00187$\pm$0.0016,0.00444$\pm$0.0036,0.28$\pm$0.21,0.451$\pm$0.23,0.0203$\pm$0.0095,0.00000372$\pm$0.0000022,1,1,1,1,1,1,1,1,1,1
Pre-consumer processes to ExcludedFlow,4820$\pm$2000,6650$\pm$2800,10000$\pm$3700,2380$\pm$1000,2370$\pm$990,5680$\pm$2400,6190$\pm$2000,38100$\pm$6100,11500$\pm$3400,4.75$\pm$1.4,8,8,8,8,8,8,8,10,10,8
Pre-consumer processes to Soil (MP),0.208$\pm$0.2,0.287$\pm$0.27,0.39$\pm$0.36,0.103$\pm$0.096,0.104$\pm$0.095,0.247$\pm$0.23,0.18$\pm$0.17,1.52$\pm$0.58,0.495$\pm$0.33,0.000207$\pm$0.00014,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to Fresh water (MP),0.000332$\pm$0.00015,0.000454$\pm$0.00021,0.00062$\pm$0.00028,0.000164$\pm$0.000074,0.000164$\pm$0.000074,0.000392$\pm$0.00018,0.000286$\pm$0.00013,0.00241$\pm$0.00045,0.000786$\pm$0.00025,0.000000327$\pm$0.0000001,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,935$\pm$400,2000$\pm$840,2960$\pm$1200,714$\pm$300,117$\pm$50,283$\pm$120,2400$\pm$1100,9410$\pm$1900,2940$\pm$930,0.831$\pm$0.3,6,8,8,6,6,6,8,8,8,6
Consumer packaging to On-the-go consumption,89.6$\pm$54,166$\pm$89,330$\pm$180,50.7$\pm$29,0$\pm$0,39.5$\pm$21,895$\pm$530,1570$\pm$570,256$\pm$110,0.0507$\pm$0.029,4,6,6,4,0,4,6,8,6,4
Consumer packaging to Dumping,1.94$\pm$1.1,4.09$\pm$2.2,6.22$\pm$3.3,1.45$\pm$0.9,0.22$\pm$0.14,0.605$\pm$0.33,6.24$\pm$3.4,20.8$\pm$5.4,6.03$\pm$2.5,0.00167$\pm$0.00091,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,3.5$\pm$1.7,3.19$\pm$1.4,6.59$\pm$3,0.788$\pm$0.37,0.0934$\pm$0.047,0.639$\pm$0.3,3.06$\pm$1.4,17.9$\pm$4,6.69$\pm$2.2,0.000881$\pm$0.00037,2,2,2,1,1,1,2,4,2,1
Non-consumer packaging to Waste collection and recycling,1510$\pm$640,1400$\pm$590,1090$\pm$450,340$\pm$140,150$\pm$64,8.87$\pm$3.8,897$\pm$380,5400$\pm$1100,2920$\pm$870,0.49$\pm$0.16,8,8,8,6,6,2,6,8,8,6
Non-consumer packaging to Litter,38.6$\pm$30,36$\pm$27,28$\pm$17,8.75$\pm$6.8,3.84$\pm$3,0.228$\pm$0.17,23.1$\pm$18,138$\pm$48,74.5$\pm$40,0.0126$\pm$0.0074,4,4,4,2,2,1,4,6,4,4
Non-consumer packaging to Dumping,2.93$\pm$1.9,2.73$\pm$1.7,2.12$\pm$1.1,0.657$\pm$0.42,0.292$\pm$0.19,0.0171$\pm$0.011,1.74$\pm$1.1,10.5$\pm$3,5.66$\pm$2.5,0.000949$\pm$0.00046,2,2,2,1,1,1,2,4,2,1
Construction to Waste collection and recycling,684$\pm$200,1880$\pm$780,1020$\pm$360,0$\pm$0,2050$\pm$860,3830$\pm$1600,239$\pm$100,9710$\pm$2000,2560$\pm$800,2.05$\pm$0.86,6,8,8,0,8,8,6,8,8,8
Construction to Soil (MP),0.00223$\pm$0.001,0.0234$\pm$0.014,0.238$\pm$0.23,0$\pm$0,0$\pm$0,0.00844$\pm$0.0039,0.153$\pm$0.15,0.426$\pm$0.28,0.0257$\pm$0.014,0$\pm$0,1,1,1,0,0,1,1,1,1,0
Construction to UnintendedCDWaste,9.65$\pm$7.5,0.331$\pm$0.26,0$\pm$0,0$\pm$0,51.9$\pm$40,28.2$\pm$20,0$\pm$0,90.1$\pm$46,9.98$\pm$7.5,0.0519$\pm$0.04,2,1,0,0,4,4,0,4,2,4
Construction to Soil,0$\pm$0,0.197$\pm$0.19,4.69$\pm$3.4,0$\pm$0,0$\pm$0,0$\pm$0,6.16$\pm$4.6,11$\pm$5.8,0.197$\pm$0.19,0$\pm$0,0,1,2,0,0,0,2,4,1,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.932$\pm$0.58,0$\pm$0,0.932$\pm$0.58,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.209$\pm$0.099,0$\pm$0,0$\pm$0,0.209$\pm$0.099,0$\pm$0,0.000209$\pm$0.000099,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,59.9$\pm$27,158$\pm$67,727$\pm$280,27.1$\pm$12,0$\pm$0,198$\pm$86,136$\pm$62,1310$\pm$310,218$\pm$72,0.0271$\pm$0.012,4,6,6,4,0,6,6,8,6,4
Automotive to Soil,0.0636$\pm$0.033,0.217$\pm$0.11,1.02$\pm$0.52,0.00135$\pm$0.00069,0$\pm$0,0.0726$\pm$0.037,0.0000475$\pm$0.000025,1.38$\pm$0.53,0.28$\pm$0.12,0.00000135$\pm$0.00000069,1,1,2,1,0,1,1,2,1,1
Automotive to Export,49.9$\pm$23,132$\pm$58,606$\pm$240,22.6$\pm$10,0$\pm$0,165$\pm$74,114$\pm$52,1090$\pm$260,182$\pm$62,0.0226$\pm$0.01,4,6,6,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,577$\pm$190,49.2$\pm$16,260$\pm$78,1.06$\pm$0.44,0$\pm$0,10.3$\pm$4.2,24$\pm$10,921$\pm$200,626$\pm$190,0.00106$\pm$0.00044,6,4,6,2,0,4,4,6,6,2
Agriculture to Dumping,1.11$\pm$0.55,0.0944$\pm$0.045,0.496$\pm$0.22,0.00202$\pm$0.0013,0$\pm$0,0.02$\pm$0.01,0.0461$\pm$0.03,1.77$\pm$0.59,1.21$\pm$0.55,0.00000202$\pm$0.0000013,2,1,1,1,0,1,1,2,2,1
Agriculture to Organic waste collection,2.27$\pm$0.87,0.0837$\pm$0.041,1.02$\pm$0.36,0.000866$\pm$0.00043,0$\pm$0,0.0168$\pm$0.0076,0.0961$\pm$0.049,3.48$\pm$0.95,2.35$\pm$0.87,0.000000866$\pm$0.00000043,2,1,2,1,0,1,1,2,2,1
Agriculture to Soil (MP),10.8$\pm$5.4,0.161$\pm$0.16,1.74$\pm$1.4,0.00108$\pm$0.00066,0$\pm$0,0.076$\pm$0.037,0.298$\pm$0.24,13.1$\pm$5.6,10.9$\pm$5.4,0.00000108$\pm$0.00000066,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,1.3$\pm$0.68,0.537$\pm$0.33,0.31$\pm$0.13,0.0223$\pm$0.015,0$\pm$0,0.207$\pm$0.13,0.015$\pm$0.01,2.39$\pm$0.78,1.84$\pm$0.76,0.0000223$\pm$0.000015,2,1,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0$\pm$0,32.9$\pm$21,45.6$\pm$30,0$\pm$0,0$\pm$0,0$\pm$0,63.9$\pm$38,142$\pm$59,32.9$\pm$21,0$\pm$0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Storm water and wastewater,0$\pm$0,18.9$\pm$13,20.1$\pm$14,0$\pm$0,0$\pm$0,0$\pm$0,18.4$\pm$14,57.4$\pm$26,18.9$\pm$13,0$\pm$0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0$\pm$0,0.0974$\pm$0.066,0.124$\pm$0.088,0$\pm$0,0$\pm$0,0$\pm$0,0.154$\pm$0.1,0.376$\pm$0.17,0.0974$\pm$0.066,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.0125$\pm$0.01,0.00003$\pm$0.000024,0$\pm$0,0$\pm$0,0$\pm$0,0.0000641$\pm$0.000052,0.0125$\pm$0.01,0.0125$\pm$0.01,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,0.237$\pm$0.15,0.000568$\pm$0.00036,0$\pm$0,0$\pm$0,0$\pm$0,0.00122$\pm$0.00078,0.239$\pm$0.15,0.237$\pm$0.15,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0$\pm$0,6.05$\pm$5.1,197$\pm$89,0$\pm$0,0$\pm$0,0$\pm$0,1020$\pm$360,1220$\pm$370,6.05$\pm$5.1,0$\pm$0,0,2,6,0,0,0,8,8,2,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.0471$\pm$0.04,1.53$\pm$0.71,0$\pm$0,0$\pm$0,0$\pm$0,7.94$\pm$2.9,9.52$\pm$3.1,0.0471$\pm$0.04,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Dumping,0$\pm$0,0.0115$\pm$0.012,0.372$\pm$0.22,0$\pm$0,0$\pm$0,0$\pm$0,1.93$\pm$0.99,2$\pm$1,0.0115$\pm$0.012,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.0175$\pm$0.023,0.562$\pm$0.53,0$\pm$0,0$\pm$0,0$\pm$0,2.93$\pm$2.6,3.51$\pm$3,0.0175$\pm$0.023,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Clothing to Air (MP),0$\pm$0,0.00727$\pm$0.0084,0.235$\pm$0.19,0$\pm$0,0$\pm$0,0$\pm$0,1.23$\pm$0.89,1$\pm$1,0.00727$\pm$0.0084,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0$\pm$0,0.871$\pm$0.56,152$\pm$49,0$\pm$0,0$\pm$0,0$\pm$0,468$\pm$140,621$\pm$150,0.871$\pm$0.56,0$\pm$0,0,1,6,0,0,0,6,6,1,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.000543$\pm$0.00035,0.0949$\pm$0.032,0$\pm$0,0$\pm$0,0$\pm$0,0.291$\pm$0.094,0.387$\pm$0.1,0.000543$\pm$0.00035,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0$\pm$0,0.00166$\pm$0.0014,0.285$\pm$0.14,0$\pm$0,0$\pm$0,0$\pm$0,0.879$\pm$0.41,1.17$\pm$0.44,0.00166$\pm$0.0014,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.00155$\pm$0.0018,0.27$\pm$0.24,0$\pm$0,0$\pm$0,0$\pm$0,0.829$\pm$0.73,1.1$\pm$0.93,0.00155$\pm$0.0018,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Air (MP),0$\pm$0,0.0000769$\pm$0.000076,0.0134$\pm$0.0099,0$\pm$0,0$\pm$0,0$\pm$0,0.0414$\pm$0.03,0.0549$\pm$0.038,0.0000769$\pm$0.000076,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,1010$\pm$410,993$\pm$410,2930$\pm$970,1240$\pm$420,81.1$\pm$34,1350$\pm$520,287$\pm$160,7890$\pm$1300,2000$\pm$580,1.32$\pm$0.42,8,6,8,8,4,8,6,8,8,8
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.768$\pm$0.45,0$\pm$0,0.768$\pm$0.45,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Dumping,1.88$\pm$1.1,2$\pm$1,5.4$\pm$2.6,2.45$\pm$1.1,0.153$\pm$0.082,2.61$\pm$1.2,0.497$\pm$0.36,14.9$\pm$3.4,3.76$\pm$1.5,0.0026$\pm$0.0011,2,2,2,2,1,2,1,4,2,2
Other products to Organic waste collection,0.0762$\pm$0.039,0.177$\pm$0.09,0.205$\pm$0.1,0.145$\pm$0.073,0.0312$\pm$0.016,0.131$\pm$0.067,0.00642$\pm$0.0032,0.772$\pm$0.17,0.253$\pm$0.097,0.000176$\pm$0.000074,1,1,1,1,1,1,1,1,1,1
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.514$\pm$0.29,0$\pm$0,0.514$\pm$0.29,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Soil,0.0381$\pm$0.024,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0381$\pm$0.024,0.0381$\pm$0.024,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.0952$\pm$0.059,0.222$\pm$0.14,0.261$\pm$0.16,0.182$\pm$0.11,0.0388$\pm$0.024,0.422$\pm$0.23,0.00802$\pm$0.005,1.23$\pm$0.34,0.318$\pm$0.15,0.00022$\pm$0.00011,1,1,1,1,1,1,1,2,1,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.517$\pm$0.34,0$\pm$0,0.517$\pm$0.34,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Export,2.93$\pm$2.3,2.73$\pm$2.1,101$\pm$79,57.5$\pm$46,0$\pm$0,23.4$\pm$18,0.0106$\pm$0.0083,187$\pm$94,5.67$\pm$3.2,0.0575$\pm$0.046,2,2,6,4,0,4,1,6,2,4
Other products to Fresh water,0.00619$\pm$0.004,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00619$\pm$0.004,0.00619$\pm$0.004,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,22.1$\pm$2.9,22.1$\pm$3,9.73$\pm$1.3,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,54$\pm$4.4,44.3$\pm$4.2,0$\pm$0,4,4,2,0,0,0,0,4,4,0
Fishing gear to Fresh water (MP),0.000229$\pm$0.000085,0.000229$\pm$0.000085,0.000099$\pm$0.000037,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.000557$\pm$0.00013,0.000458$\pm$0.00012,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,0.16$\pm$0.086,0.16$\pm$0.088,0.0276$\pm$0.0067,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.347$\pm$0.12,0.32$\pm$0.12,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water (MP),0.025$\pm$0.0068,0.0251$\pm$0.0069,0.0109$\pm$0.003,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.061$\pm$0.01,0.0501$\pm$0.0098,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),0.47$\pm$0.32,1.26$\pm$0.82,4.7$\pm$3.3,0.211$\pm$0.14,0.00247$\pm$0.0012,1.47$\pm$1.1,0.108$\pm$0.049,8.22$\pm$3.6,1.73$\pm$0.88,0.000213$\pm$0.00014,1,2,2,1,1,2,1,2,2,1
Waste collection and recycling to Litter,17$\pm$9.4,46.9$\pm$36,25.6$\pm$17,0$\pm$0,51.2$\pm$40,95.8$\pm$74,6.07$\pm$4.7,243$\pm$93,63.9$\pm$37,0.0512$\pm$0.04,4,4,4,0,4,4,2,6,4,4
Waste collection and recycling to Soil (MP),0.0478$\pm$0.03,0.109$\pm$0.068,0.345$\pm$0.26,0.0217$\pm$0.014,0.00787$\pm$0.0078,0.113$\pm$0.085,0.047$\pm$0.022,0.691$\pm$0.29,0.157$\pm$0.074,0.0000295$\pm$0.000016,1,1,1,1,1,1,1,1,1,1
Waste collection and recycling to Soil,0.418$\pm$0.2,0.469$\pm$0.24,0.759$\pm$0.36,0.212$\pm$0.11,0.0438$\pm$0.022,0.169$\pm$0.089,0.607$\pm$0.27,2.68$\pm$0.57,0.888$\pm$0.31,0.000256$\pm$0.00011,1,1,1,1,1,1,1,2,1,1
