Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,49400$\pm$21000,0$\pm$0,0$\pm$0,36300$\pm$15000,35700$\pm$15000,86400$\pm$36000,95100$\pm$29000,303000$\pm$55000,49400$\pm$21000,72$\pm$21,10,0,0,10,10,10,10,10,10,10
Production to Pre-consumer processes,22800$\pm$8100,478000$\pm$61000,333000$\pm$40000,0$\pm$0,0$\pm$0,0$\pm$0,726$\pm$89,834000$\pm$73000,500000$\pm$61000,0$\pm$0,10,10,10,0,0,0,6,10,10,0
Pre-consumer processes to Waste collection and recycling,3260$\pm$2200,23300$\pm$13000,20800$\pm$7800,1600$\pm$1200,1570$\pm$1200,3820$\pm$2900,6040$\pm$2700,60400$\pm$16000,26600$\pm$13000,3.17$\pm$1.7,8,10,10,8,8,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),0.366$\pm$0.24,7.43$\pm$4.3,12.6$\pm$6,0.0265$\pm$0.022,0.0265$\pm$0.022,0.0643$\pm$0.054,4.01$\pm$3,24.5$\pm$7.9,7.79$\pm$4.3,0.000053$\pm$0.000031,1,2,4,1,1,1,2,4,2,1
Pre-consumer processes to ExcludedFlow,68900$\pm$21000,454000$\pm$59000,312000$\pm$39000,34700$\pm$14000,34100$\pm$14000,82600$\pm$34000,89800$\pm$28000,1080000$\pm$89000,523000$\pm$63000,68.8$\pm$20,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),4.64$\pm$2.8,53.9$\pm$24,37.6$\pm$15,1.5$\pm$1.4,1.49$\pm$1.4,3.62$\pm$3.4,2.69$\pm$2.4,105$\pm$29,58.5$\pm$24,0.00299$\pm$0.002,2,4,4,2,2,2,2,6,4,2
Pre-consumer processes to Fresh water (MP),0.0281$\pm$0.0098,0.522$\pm$0.1,0.36$\pm$0.07,0.0024$\pm$0.0011,0.00236$\pm$0.0011,0.0057$\pm$0.0026,0.00491$\pm$0.0019,0.926$\pm$0.12,0.55$\pm$0.1,0.00000475$\pm$0.0000015,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,13300$\pm$5600,28800$\pm$12000,42500$\pm$18000,10300$\pm$4300,1690$\pm$710,4050$\pm$1700,34900$\pm$15000,136000$\pm$28000,42100$\pm$13000,12$\pm$4.3,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1320$\pm$790,2420$\pm$1300,4850$\pm$2600,733$\pm$410,0$\pm$0,571$\pm$310,13000$\pm$7600,22900$\pm$8300,3730$\pm$1500,0.733$\pm$0.41,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,12.5$\pm$7.2,26.7$\pm$14,40.4$\pm$21,9.38$\pm$5.8,1.43$\pm$0.92,3.94$\pm$2.1,40.5$\pm$22,135$\pm$35,39.2$\pm$16,0.0108$\pm$0.0058,4,4,4,2,2,2,4,6,4,4
Consumer packaging to Organic waste collection,338$\pm$160,306$\pm$140,636$\pm$290,75.8$\pm$35,9.02$\pm$4.5,61$\pm$29,297$\pm$130,1720$\pm$390,643$\pm$210,0.0848$\pm$0.035,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,21900$\pm$9100,20300$\pm$8500,15800$\pm$6600,4920$\pm$2100,2180$\pm$910,128$\pm$55,13100$\pm$5500,78400$\pm$15000,42200$\pm$12000,7.1$\pm$2.3,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,601$\pm$460,554$\pm$410,433$\pm$260,134$\pm$100,59.1$\pm$46,3.46$\pm$2.6,359$\pm$270,2140$\pm$730,1160$\pm$620,0.193$\pm$0.11,6,6,6,6,4,2,6,8,8,6
Non-consumer packaging to Dumping,18.9$\pm$12,17.4$\pm$11,13.6$\pm$7.3,4.28$\pm$2.8,1.89$\pm$1.2,0.111$\pm$0.07,11.2$\pm$7.2,67.3$\pm$20,36.2$\pm$16,0.00617$\pm$0.003,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,9950$\pm$3000,27600$\pm$11000,14800$\pm$5200,0$\pm$0,29900$\pm$12000,55100$\pm$23000,3430$\pm$1500,141000$\pm$29000,37500$\pm$12000,29.9$\pm$12,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0322$\pm$0.015,0.38$\pm$0.22,3.48$\pm$3.3,0$\pm$0,0$\pm$0,0.121$\pm$0.057,2.2$\pm$2.2,6.22$\pm$4,0.413$\pm$0.22,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,148$\pm$110,5.03$\pm$3.9,0$\pm$0,0$\pm$0,810$\pm$630,427$\pm$300,0$\pm$0,1390$\pm$710,153$\pm$110,0.81$\pm$0.63,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0$\pm$0,3.77$\pm$3.2,70.3$\pm$52,0$\pm$0,0$\pm$0,0$\pm$0,93.7$\pm$70,168$\pm$87,3.77$\pm$3.2,0$\pm$0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,13.5$\pm$8.4,0$\pm$0,13.5$\pm$8.4,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.06$\pm$1.4,0$\pm$0,0$\pm$0,3.06$\pm$1.4,0$\pm$0,0.00306$\pm$0.0014,0,0,0,0,2,0,0,2,0,2
