Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,758000$\pm$310000,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,745000$\pm$230000,1500000$\pm$390000,758000$\pm$310000,0$\pm$0,10,0,0,0,0,0,10,10,10,0
Production to Pre-consumer processes,275000$\pm$35000,2090000$\pm$260000,2280000$\pm$280000,575000$\pm$98000,552000$\pm$67000,1840000$\pm$220000,626000$\pm$80000,8240000$\pm$470000,2370000$\pm$260000,1130$\pm$120,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,46700$\pm$32000,102000$\pm$56000,142000$\pm$53000,27400$\pm$16000,26000$\pm$15000,87900$\pm$49000,82800$\pm$33000,515000$\pm$100000,149000$\pm$64000,53.5$\pm$21,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),4.58$\pm$2.5,32.5$\pm$19,86.1$\pm$41,8.29$\pm$5.3,7.92$\pm$4.9,26.2$\pm$16,50$\pm$28,216$\pm$56,37.1$\pm$19,0.0162$\pm$0.0072,2,4,4,2,2,4,4,6,4,4
Pre-consumer processes to ExcludedFlow,986000$\pm$300000,1990000$\pm$250000,2140000$\pm$270000,547000$\pm$95000,526000$\pm$66000,1750000$\pm$220000,1290000$\pm$230000,9220000$\pm$590000,2970000$\pm$390000,1070$\pm$110,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),62$\pm$37,237$\pm$100,258$\pm$110,65.1$\pm$30,62.3$\pm$27,209$\pm$91,91.3$\pm$42,985$\pm$190,299$\pm$110,0.127$\pm$0.041,4,6,6,4,4,6,4,6,6,6
Pre-consumer processes to Fresh water (MP),0.351$\pm$0.064,2.28$\pm$0.45,2.47$\pm$0.48,0.627$\pm$0.14,0.603$\pm$0.12,2.01$\pm$0.39,0.714$\pm$0.14,9.05$\pm$0.81,2.63$\pm$0.45,0.00123$\pm$0.00018,1,2,2,1,1,2,1,2,2,2
Consumer packaging to Waste collection and recycling,185000$\pm$78000,407000$\pm$170000,598000$\pm$250000,146000$\pm$61000,24000$\pm$10000,57200$\pm$24000,491000$\pm$220000,1910000$\pm$390000,592000$\pm$190000,171$\pm$62,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,18500$\pm$11000,34500$\pm$18000,68900$\pm$38000,10500$\pm$5900,0$\pm$0,8210$\pm$4500,185000$\pm$110000,326000$\pm$120000,53100$\pm$21000,10.5$\pm$5.9,10,10,10,10,0,8,10,10,10,10
Consumer packaging to Dumping,112$\pm$65,238$\pm$130,363$\pm$190,84.4$\pm$52,12.8$\pm$8.2,35.6$\pm$19,361$\pm$200,1210$\pm$320,350$\pm$140,0.0971$\pm$0.052,6,6,6,4,4,4,6,8,6,4
Consumer packaging to Organic waste collection,9800$\pm$4700,8900$\pm$4000,18500$\pm$8700,2220$\pm$1000,262$\pm$130,1800$\pm$850,8640$\pm$3900,50200$\pm$11000,18700$\pm$6200,2$\pm$1,8,8,10,8,6,8,8,10,10,8
Non-consumer packaging to Waste collection and recycling,316000$\pm$130000,293000$\pm$120000,228000$\pm$96000,71300$\pm$30000,31600$\pm$13000,1850$\pm$800,188000$\pm$80000,1130000$\pm$220000,610000$\pm$180000,103$\pm$33,10,10,10,10,10,8,10,10,10,10
Non-consumer packaging to Litter,5110$\pm$3900,4750$\pm$3500,3700$\pm$2300,1140$\pm$880,506$\pm$390,30$\pm$22,3010$\pm$2300,18200$\pm$6200,9860$\pm$5200,1.65$\pm$0.96,8,8,8,8,6,4,8,10,8,8
Non-consumer packaging to Dumping,169$\pm$110,156$\pm$97,123$\pm$67,38.3$\pm$25,16.9$\pm$11,0.995$\pm$0.63,102$\pm$65,606$\pm$170,326$\pm$140,0.0552$\pm$0.027,6,6,6,4,4,1,6,6,6,4
Construction to Waste collection and recycling,142000$\pm$43000,394000$\pm$160000,214000$\pm$74000,0$\pm$0,432000$\pm$180000,792000$\pm$330000,50000$\pm$21000,2020000$\pm$420000,536000$\pm$170000,432$\pm$180,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.456$\pm$0.21,6.19$\pm$3.6,49.8$\pm$49,0$\pm$0,0$\pm$0,1.74$\pm$0.81,31.5$\pm$31,89.7$\pm$58,6.65$\pm$3.6,0$\pm$0,1,2,4,0,0,2,4,4,2,0
Construction to UnintendedCDWaste,1270$\pm$980,43$\pm$33,0$\pm$0,0$\pm$0,6910$\pm$5300,3670$\pm$2500,0$\pm$0,11900$\pm$6000,1310$\pm$980,6.91$\pm$5.3,8,4,0,0,8,8,0,10,8,8
Construction to Soil,0$\pm$0,41.2$\pm$30,617$\pm$450,0$\pm$0,0$\pm$0,0$\pm$0,809$\pm$600,1470$\pm$750,41.2$\pm$30,0$\pm$0,0,4,6,0,0,0,6,8,4,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,194$\pm$120,0$\pm$0,194$\pm$120,0$\pm$0,0$\pm$0,0,0,0,0,0,6,0,6,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,43.8$\pm$21,0$\pm$0,0$\pm$0,43.8$\pm$21,0$\pm$0,0.0438$\pm$0.021,0,0,0,0,4,0,0,4,0,4
Automotive to Waste collection and recycling,20600$\pm$8500,54900$\pm$22000,250000$\pm$91000,9290$\pm$3900,0$\pm$0,67100$\pm$28000,46600$\pm$20000,448000$\pm$100000,75500$\pm$24000,9.29$\pm$3.9,10,10,10,8,0,10,10,10,10,8
