Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,64700$\pm$26000,88900$\pm$36000,132000$\pm$49000,31100$\pm$13000,30900$\pm$13000,75100$\pm$31000,82800$\pm$26000,506000$\pm$80000,154000$\pm$45000,62$\pm$18,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,64.1$\pm$8.2,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,51.7$\pm$6.5,0$\pm$0,116$\pm$10,64.1$\pm$8.2,0$\pm$0,4,0,0,0,0,4,0,6,4,0
Pre-consumer processes to Waste collection and recycling,2920$\pm$2100,4040$\pm$2900,6640$\pm$4000,1360$\pm$1100,1360$\pm$1000,3290$\pm$2500,5210$\pm$2300,24800$\pm$6500,6960$\pm$3600,2.72$\pm$1.5,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.264$\pm$0.17,0.399$\pm$0.25,1.88$\pm$1.3,0.0232$\pm$0.019,0.0229$\pm$0.019,0.057$\pm$0.047,3.5$\pm$2.6,6.15$\pm$2.9,0.662$\pm$0.31,0.0000461$\pm$0.000027,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,61800$\pm$25000,84800$\pm$34000,126000$\pm$47000,29800$\pm$12000,29600$\pm$12000,71900$\pm$30000,77600$\pm$24000,481000$\pm$76000,147000$\pm$43000,59.3$\pm$18,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),2.63$\pm$2.4,3.59$\pm$3.3,4.88$\pm$4.5,1.29$\pm$1.2,1.29$\pm$1.2,3.11$\pm$2.9,2.25$\pm$2.1,19$\pm$7.3,6.21$\pm$4.1,0.00257$\pm$0.0017,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.00422$\pm$0.0019,0.00567$\pm$0.0026,0.00778$\pm$0.0036,0.00205$\pm$0.00093,0.00204$\pm$0.00093,0.00501$\pm$0.0022,0.00359$\pm$0.0016,0.0303$\pm$0.0057,0.00989$\pm$0.0032,0.00000409$\pm$0.0000013,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,11000$\pm$4600,24600$\pm$10000,35600$\pm$15000,8730$\pm$3600,1450$\pm$610,3450$\pm$1400,29400$\pm$13000,114000$\pm$23000,35600$\pm$11000,10.2$\pm$3.7,10,10,10,8,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1130$\pm$680,2100$\pm$1100,4140$\pm$2300,623$\pm$350,0$\pm$0,499$\pm$270,11200$\pm$6700,19700$\pm$7200,3230$\pm$1300,0.623$\pm$0.35,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,5.6$\pm$3.2,11.9$\pm$6.3,18$\pm$9.5,4.14$\pm$2.5,0.635$\pm$0.41,1.77$\pm$0.96,17.8$\pm$9.8,59.8$\pm$16,17.5$\pm$7.1,0.00477$\pm$0.0026,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,801$\pm$390,736$\pm$330,1510$\pm$700,180$\pm$83,21.5$\pm$11,149$\pm$69,704$\pm$320,4100$\pm$920,1540$\pm$500,0.202$\pm$0.084,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,19100$\pm$8000,17900$\pm$7500,13700$\pm$5700,4260$\pm$1800,1910$\pm$800,113$\pm$48,11300$\pm$4800,68300$\pm$13000,37000$\pm$11000,6.17$\pm$2,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,313$\pm$240,290$\pm$220,225$\pm$140,69.4$\pm$54,31.1$\pm$24,1.86$\pm$1.4,183$\pm$140,1110$\pm$390,603$\pm$320,0.101$\pm$0.059,6,6,6,4,4,2,6,8,6,6
