Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,14900$\pm$6100,0$\pm$0,29700$\pm$11000,5070$\pm$2100,0$\pm$0,17300$\pm$7200,19400$\pm$6000,86300$\pm$16000,14900$\pm$6100,5.07$\pm$2.1,10,0,10,8,0,10,10,10,10,8
Production to Pre-consumer processes,0$\pm$0,189000$\pm$24000,1210$\pm$150,2220$\pm$280,83500$\pm$11000,6.64$\pm$0.85,0$\pm$0,276000$\pm$26000,189000$\pm$24000,85.7$\pm$11,0,10,8,8,10,2,0,10,10,10
Pre-consumer processes to Waste collection and recycling,669$\pm$500,9290$\pm$5000,1550$\pm$910,331$\pm$220,3980$\pm$2200,759$\pm$580,1230$\pm$550,17800$\pm$5600,9960$\pm$5000,4.31$\pm$2.2,6,8,8,6,8,6,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.0327$\pm$0.019,2.98$\pm$1.7,0.458$\pm$0.31,0.0357$\pm$0.02,1.2$\pm$0.75,0.013$\pm$0.011,0.812$\pm$0.59,5.54$\pm$2,3.01$\pm$1.7,0.00124$\pm$0.00075,1,2,1,1,2,1,1,2,2,2
Pre-consumer processes to ExcludedFlow,14200$\pm$5800,180000$\pm$24000,29300$\pm$11000,6960$\pm$2100,79500$\pm$10000,16600$\pm$7000,18200$\pm$5700,345000$\pm$30000,194000$\pm$24000,86.5$\pm$11,10,10,10,8,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.611$\pm$0.57,21.4$\pm$9.5,1$\pm$1,0.46$\pm$0.27,9.42$\pm$4.2,0.717$\pm$0.66,0.527$\pm$0.49,34.4$\pm$11,22$\pm$9.5,0.00988$\pm$0.0042,1,4,2,1,2,1,1,4,4,2
Pre-consumer processes to Fresh water (MP),0.000971$\pm$0.00044,0.206$\pm$0.041,0.00305$\pm$0.00082,0.00276$\pm$0.0005,0.0911$\pm$0.018,0.00115$\pm$0.00052,0.000843$\pm$0.00038,0.306$\pm$0.044,0.207$\pm$0.041,0.0000939$\pm$0.000018,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2740$\pm$1200,5870$\pm$2400,8650$\pm$3600,2090$\pm$880,342$\pm$150,834$\pm$350,7090$\pm$3100,27600$\pm$5600,8620$\pm$2700,2.43$\pm$0.9,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,264$\pm$160,491$\pm$260,971$\pm$540,148$\pm$84,0$\pm$0,117$\pm$64,2620$\pm$1500,4620$\pm$1700,755$\pm$310,0.148$\pm$0.084,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,9.09$\pm$5.2,19.2$\pm$10,29$\pm$15,6.7$\pm$4.2,1.03$\pm$0.66,2.85$\pm$1.6,29.1$\pm$16,97$\pm$25,28.3$\pm$11,0.00773$\pm$0.0042,2,4,4,2,2,2,4,4,4,2
