Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,72400$\pm$30000,105000$\pm$44000,158000$\pm$60000,37900$\pm$16000,37300$\pm$16000,85300$\pm$36000,100000$\pm$31000,596000$\pm$96000,177000$\pm$53000,75.1$\pm$22,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,3710$\pm$480,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,5640$\pm$720,0$\pm$0,9350$\pm$860,3710$\pm$480,0$\pm$0,8,0,0,0,0,8,0,8,8,0
Pre-consumer processes to Waste collection and recycling,3360$\pm$2500,4670$\pm$3500,7910$\pm$4900,1690$\pm$1300,1630$\pm$1300,4010$\pm$2900,6310$\pm$2800,29600$\pm$7900,8030$\pm$4300,3.32$\pm$1.8,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.138$\pm$0.061,0.251$\pm$0.15,2.19$\pm$1.6,0.0281$\pm$0.023,0.0278$\pm$0.023,0.145$\pm$0.075,4.2$\pm$3.1,6.98$\pm$3.5,0.389$\pm$0.16,0.0000559$\pm$0.000033,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,72700$\pm$29000,100000$\pm$42000,150000$\pm$57000,36200$\pm$15000,35600$\pm$15000,86900$\pm$34000,94100$\pm$29000,576000$\pm$92000,173000$\pm$51000,71.8$\pm$21,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.42$\pm$2.9,4.27$\pm$4,5.81$\pm$5.4,1.56$\pm$1.5,1.56$\pm$1.4,4.16$\pm$3.5,2.75$\pm$2.6,23.5$\pm$8.9,7.69$\pm$4.9,0.00312$\pm$0.0021,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.00882$\pm$0.0023,0.00683$\pm$0.0031,0.00931$\pm$0.0043,0.0025$\pm$0.0011,0.00246$\pm$0.0011,0.0118$\pm$0.0028,0.00436$\pm$0.002,0.0461$\pm$0.007,0.0157$\pm$0.0039,0.00000495$\pm$0.0000016,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,14200$\pm$6100,30300$\pm$13000,44900$\pm$19000,10900$\pm$4600,1770$\pm$750,4340$\pm$1800,36600$\pm$16000,143000$\pm$29000,44600$\pm$14000,12.7$\pm$4.6,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1350$\pm$820,2510$\pm$1300,5010$\pm$2800,769$\pm$440,0$\pm$0,611$\pm$330,13700$\pm$8100,24000$\pm$8700,3870$\pm$1600,0.769$\pm$0.44,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,19.5$\pm$11,40.9$\pm$22,62.2$\pm$33,14.5$\pm$9,2.21$\pm$1.4,6.19$\pm$3.4,62.3$\pm$34,208$\pm$55,60.4$\pm$25,0.0167$\pm$0.0091,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,38.6$\pm$19,35$\pm$16,72.4$\pm$34,8.76$\pm$4.1,1.03$\pm$0.52,7.12$\pm$3.3,34$\pm$15,197$\pm$45,73.6$\pm$25,0.00979$\pm$0.0041,4,4,4,2,2,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,22300$\pm$9500,20700$\pm$8800,16100$\pm$6800,5040$\pm$2100,2220$\pm$930,132$\pm$57,13400$\pm$5700,79800$\pm$16000,43000$\pm$13000,7.26$\pm$2.3,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,1170$\pm$910,1100$\pm$820,847$\pm$520,268$\pm$210,118$\pm$91,7.04$\pm$5.2,698$\pm$540,4210$\pm$1500,2270$\pm$1200,0.386$\pm$0.23,8,8,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,29.2$\pm$19,27.2$\pm$17,21$\pm$11,6.6$\pm$4.3,2.89$\pm$1.9,0.173$\pm$0.11,17.5$\pm$11,105$\pm$30,56.4$\pm$26,0.0095$\pm$0.0046,4,4,4,2,2,1,4,6,4,2
Construction to Waste collection and recycling,10200$\pm$3100,28800$\pm$12000,15400$\pm$5400,0$\pm$0,30400$\pm$13000,57700$\pm$24000,3530$\pm$1500,146000$\pm$30000,39000$\pm$12000,30.4$\pm$13,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0337$\pm$0.015,0.405$\pm$0.24,3.67$\pm$3.5,0$\pm$0,0$\pm$0,0.127$\pm$0.059,2.31$\pm$2.3,6.54$\pm$4.3,0.439$\pm$0.24,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,292$\pm$230,9.98$\pm$7.8,0$\pm$0,0$\pm$0,1600$\pm$1200,859$\pm$590,0$\pm$0,2760$\pm$1400,302$\pm$230,1.6$\pm$1.2,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0$\pm$0,7.71$\pm$6.4,141$\pm$100,0$\pm$0,0$\pm$0,0$\pm$0,184$\pm$140,333$\pm$170,7.71$\pm$6.4,0$\pm$0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,14.3$\pm$8.8,0$\pm$0,14.3$\pm$8.8,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.19$\pm$1.5,0$\pm$0,0$\pm$0,3.19$\pm$1.5,0$\pm$0,0.00319$\pm$0.0015,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1660$\pm$690,4360$\pm$1700,19900$\pm$7200,744$\pm$310,0$\pm$0,5370$\pm$2300,3720$\pm$1600,35700$\pm$7900,6010$\pm$1900,0.744$\pm$0.31,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.971$\pm$0.5,3.29$\pm$1.7,15.4$\pm$7.9,0.0205$\pm$0.01,0$\pm$0,1.08$\pm$0.56,0.000718$\pm$0.00037,20.8$\pm$8.1,4.26$\pm$1.8,0.0000205$\pm$0.00001,1,2,4,1,0,2,1,4,2,1
Automotive to Export,22.4$\pm$10,58.9$\pm$25,269$\pm$110,10.1$\pm$4.5,0$\pm$0,72.8$\pm$33,50.5$\pm$23,483$\pm$120,81.3$\pm$27,0.0101$\pm$0.0045,4,4,6,4,0,4,4,6,4,4
Agriculture to Waste collection and recycling,8790$\pm$2900,799$\pm$250,3930$\pm$1200,16$\pm$6.6,0$\pm$0,154$\pm$64,363$\pm$160,14000$\pm$3100,9580$\pm$2900,0.016$\pm$0.0066,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,11.1$\pm$5.6,1.01$\pm$0.46,4.9$\pm$2.2,0.0203$\pm$0.013,0$\pm$0,0.197$\pm$0.099,0.455$\pm$0.29,17.6$\pm$6,12.1$\pm$5.6,0.0000203$\pm$0.000013,4,2,2,1,0,1,1,4,4,1
