Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,22500$\pm$9300,0$\pm$0,39800$\pm$17000,205000$\pm$85000,0$\pm$0,0$\pm$0,267000$\pm$87000,22500$\pm$9300,244$\pm$86,0,10,0,10,10,0,0,10,10,10
Production to Pre-consumer processes,1010000$\pm$120000,557000$\pm$68000,1240000$\pm$150000,168000$\pm$21000,2820$\pm$340,658000$\pm$81000,709000$\pm$91000,4340000$\pm$240000,1560000$\pm$140000,171$\pm$21,10,10,10,10,8,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,47900$\pm$27000,27900$\pm$15000,77500$\pm$29000,9790$\pm$5600,9020$\pm$6900,31200$\pm$18000,40700$\pm$17000,244000$\pm$50000,75800$\pm$31000,18.8$\pm$8.8,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),14.6$\pm$8.9,8.59$\pm$4.9,46.8$\pm$23,2.44$\pm$1.5,0.193$\pm$0.13,9.5$\pm$5.9,20.8$\pm$9.4,103$\pm$27,23.2$\pm$10,0.00263$\pm$0.0015,4,2,4,2,1,2,4,6,4,2
Pre-consumer processes to ExcludedFlow,959000$\pm$120000,551000$\pm$67000,1160000$\pm$150000,198000$\pm$27000,198000$\pm$81000,626000$\pm$79000,669000$\pm$87000,4360000$\pm$250000,1510000$\pm$140000,396$\pm$85,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),114$\pm$50,63.8$\pm$28,141$\pm$58,20.6$\pm$9.2,8.9$\pm$8,74.7$\pm$33,80.1$\pm$33,503$\pm$94,178$\pm$56,0.0295$\pm$0.012,6,4,6,4,2,4,4,6,6,4
Pre-consumer processes to Fresh water (MP),1.1$\pm$0.21,0.61$\pm$0.12,1.34$\pm$0.26,0.185$\pm$0.036,0.0166$\pm$0.0061,0.715$\pm$0.14,0.77$\pm$0.15,4.73$\pm$0.41,1.71$\pm$0.24,0.000202$\pm$0.000037,2,1,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,76400$\pm$32000,165000$\pm$69000,242000$\pm$100000,59300$\pm$25000,9680$\pm$4100,23400$\pm$9700,198000$\pm$89000,773000$\pm$160000,241000$\pm$76000,69$\pm$25,10,10,10,10,8,10,10,10,10,10
Consumer packaging to On-the-go consumption,7530$\pm$4500,13800$\pm$7400,27300$\pm$15000,4210$\pm$2400,0$\pm$0,3310$\pm$1800,74400$\pm$44000,131000$\pm$48000,21300$\pm$8700,4.21$\pm$2.4,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,111$\pm$63,232$\pm$120,350$\pm$190,81.5$\pm$50,12.4$\pm$8,34.7$\pm$19,351$\pm$190,1170$\pm$310,342$\pm$140,0.094$\pm$0.05,6,6,6,4,4,4,6,8,6,4
Consumer packaging to Organic waste collection,2080$\pm$1000,1870$\pm$840,3850$\pm$1800,467$\pm$220,55.2$\pm$28,379$\pm$180,1800$\pm$810,10500$\pm$2400,3950$\pm$1300,0.522$\pm$0.22,8,8,8,6,4,6,8,10,8,6
Non-consumer packaging to Waste collection and recycling,127000$\pm$53000,117000$\pm$49000,90200$\pm$39000,28400$\pm$12000,12500$\pm$5300,742$\pm$320,74900$\pm$32000,450000$\pm$90000,243000$\pm$73000,41$\pm$13,10,10,10,10,10,6,10,10,10,10
Non-consumer packaging to Litter,2970$\pm$2300,2750$\pm$2000,2110$\pm$1300,665$\pm$510,298$\pm$230,17.4$\pm$13,1770$\pm$1300,10600$\pm$3700,5730$\pm$3100,0.963$\pm$0.57,8,8,8,6,6,4,8,10,8,6
Non-consumer packaging to Dumping,166$\pm$110,152$\pm$94,118$\pm$65,37.4$\pm$24,16.5$\pm$11,0.969$\pm$0.61,98.8$\pm$63,589$\pm$170,318$\pm$140,0.0539$\pm$0.026,6,6,6,4,4,1,4,6,6,4
Construction to Waste collection and recycling,57100$\pm$17000,158000$\pm$65000,84900$\pm$30000,0$\pm$0,173000$\pm$71000,321000$\pm$130000,19800$\pm$8500,813000$\pm$170000,215000$\pm$67000,173$\pm$71,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.184$\pm$0.084,2.31$\pm$1.3,20.7$\pm$20,0$\pm$0,0$\pm$0,0.702$\pm$0.32,12.6$\pm$13,36.4$\pm$24,2.49$\pm$1.3,0$\pm$0,1,2,4,0,0,1,4,4,2,0
Construction to UnintendedCDWaste,741$\pm$570,25.1$\pm$19,0$\pm$0,0$\pm$0,4080$\pm$3100,2160$\pm$1500,0$\pm$0,7010$\pm$3500,766$\pm$570,4.08$\pm$3.1,6,4,0,0,8,8,0,8,6,8
