Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,2060000$\pm$390000,2790000$\pm$460000,2660000$\pm$380000,917000$\pm$130000,1270000$\pm$170000,2250000$\pm$310000,4610000$\pm$450000,16600000$\pm$920000,4850000$\pm$600000,2190$\pm$220,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,6550000$\pm$320000,7090000$\pm$330000,12500000$\pm$530000,2370000$\pm$140000,1730000$\pm$88000,5700000$\pm$560000,3020000$\pm$170000,39000000$\pm$930000,13600000$\pm$460000,4100$\pm$160,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,405000$\pm$71000,471000$\pm$82000,915000$\pm$110000,153000$\pm$29000,138000$\pm$25000,371000$\pm$77000,464000$\pm$56000,2920000$\pm$180000,876000$\pm$110000,291$\pm$38,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),97.2$\pm$20,118$\pm$24,509$\pm$78,34.7$\pm$8.7,25.7$\pm$6.5,83.4$\pm$23,282$\pm$51,1150$\pm$100,215$\pm$32,0.0605$\pm$0.011,4,6,6,4,4,4,6,8,6,4
Pre-consumer processes to ExcludedFlow,8210000$\pm$490000,9410000$\pm$550000,14300000$\pm$630000,3130000$\pm$190000,2860000$\pm$190000,7580000$\pm$610000,7170000$\pm$460000,52600000$\pm$1300000,17600000$\pm$740000,6000$\pm$260,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),826$\pm$120,917$\pm$140,1520$\pm$200,306$\pm$51,248$\pm$41,739$\pm$140,467$\pm$78,5020$\pm$320,1740$\pm$190,0.555$\pm$0.065,6,6,8,6,6,6,6,8,8,6
Pre-consumer processes to Fresh water (MP),7.28$\pm$0.5,7.92$\pm$0.57,13.7$\pm$0.9,2.65$\pm$0.22,1.97$\pm$0.16,6.37$\pm$0.73,3.48$\pm$0.29,43.4$\pm$1.4,15.2$\pm$0.76,0.00462$\pm$0.00027,2,2,4,2,2,2,2,4,4,2
Consumer packaging to Waste collection and recycling,894000$\pm$120000,1950000$\pm$250000,2860000$\pm$380000,698000$\pm$92000,115000$\pm$15000,275000$\pm$36000,2350000$\pm$330000,9150000$\pm$580000,2850000$\pm$280000,812$\pm$93,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,88600$\pm$17000,165000$\pm$27000,326000$\pm$56000,49600$\pm$8800,0$\pm$0,39100$\pm$6700,882000$\pm$160000,1550000$\pm$180000,253000$\pm$32000,49.6$\pm$8.8,10,10,10,10,0,10,10,10,10,10
Consumer packaging to Dumping,1620$\pm$430,3420$\pm$840,5190$\pm$1300,1210$\pm$340,184$\pm$55,509$\pm$130,5220$\pm$1300,17400$\pm$2100,5040$\pm$940,1.39$\pm$0.35,8,8,8,8,6,6,8,10,8,8
Consumer packaging to Organic waste collection,31600$\pm$5900,28700$\pm$4900,59400$\pm$11000,7110$\pm$1300,845$\pm$160,5780$\pm$1000,27800$\pm$4900,161000$\pm$14000,60300$\pm$7600,7.95$\pm$1.3,10,10,10,8,6,8,10,10,10,8
Non-consumer packaging to Waste collection and recycling,1490000$\pm$200000,1390000$\pm$180000,1070000$\pm$140000,335000$\pm$45000,149000$\pm$20000,8750$\pm$1200,888000$\pm$120000,5330000$\pm$330000,2880000$\pm$270000,483$\pm$49,10,10,10,10,10,8,10,10,10,10
Non-consumer packaging to Litter,37100$\pm$8800,34500$\pm$7800,26600$\pm$5000,8330$\pm$2000,3690$\pm$870,219$\pm$50,22000$\pm$5200,132000$\pm$14000,71600$\pm$12000,12$\pm$2.2,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Dumping,2450$\pm$730,2270$\pm$640,1760$\pm$440,549$\pm$160,243$\pm$72,14.3$\pm$4.2,1460$\pm$430,8740$\pm$1200,4710$\pm$980,0.792$\pm$0.18,8,8,8,6,6,4,8,8,8,6
Construction to Waste collection and recycling,674000$\pm$64000,1870000$\pm$240000,1010000$\pm$110000,0$\pm$0,2030000$\pm$270000,3780000$\pm$500000,235000$\pm$31000,9610000$\pm$630000,2540000$\pm$250000,2030$\pm$270,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),2.18$\pm$0.31,27.9$\pm$5.2,238$\pm$73,0$\pm$0,0$\pm$0,8.31$\pm$1.2,150$\pm$47,427$\pm$87,30$\pm$5.2,0$\pm$0,2,4,6,0,0,2,6,6,4,0
Construction to UnintendedCDWaste,9240$\pm$2200,315$\pm$75,0$\pm$0,0$\pm$0,50200$\pm$12000,26800$\pm$5700,0$\pm$0,86600$\pm$13000,9560$\pm$2200,50.2$\pm$12,8,6,0,0,10,10,0,10,8,10
Construction to Soil,0$\pm$0,270$\pm$65,4450$\pm$980,0$\pm$0,0$\pm$0,0$\pm$0,5840$\pm$1300,10600$\pm$1700,270$\pm$65,0$\pm$0,0,6,8,0,0,0,8,10,6,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,926$\pm$180,0$\pm$0,926$\pm$180,0$\pm$0,0$\pm$0,0,0,0,0,0,6,0,6,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,208$\pm$31,0$\pm$0,0$\pm$0,208$\pm$31,0$\pm$0,0.208$\pm$0.031,0,0,0,0,6,0,0,6,0,6
