Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,704000$\pm$290000,0$\pm$0,0$\pm$0,118000$\pm$49000,0$\pm$0,776000$\pm$240000,1600000$\pm$380000,704000$\pm$290000,118$\pm$49,0,10,0,0,10,0,10,10,10,10
Production to Pre-consumer processes,1330000$\pm$160000,111000$\pm$19000,1460000$\pm$180000,427000$\pm$53000,172000$\pm$21000,1410000$\pm$510000,0$\pm$0,4910000$\pm$570000,1440000$\pm$160000,599$\pm$57,10,10,10,10,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,63500$\pm$35000,37000$\pm$25000,91500$\pm$34000,20300$\pm$11000,13400$\pm$8000,67500$\pm$46000,48700$\pm$22000,342000$\pm$77000,101000$\pm$44000,33.7$\pm$14,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),19$\pm$12,3.32$\pm$1.4,55.3$\pm$26,6.1$\pm$3.8,2.56$\pm$1.5,20.3$\pm$15,32.4$\pm$24,139$\pm$41,22.3$\pm$12,0.00866$\pm$0.0041,4,2,4,2,2,4,4,6,4,2
Pre-consumer processes to ExcludedFlow,1270000$\pm$160000,778000$\pm$280000,1370000$\pm$170000,407000$\pm$52000,277000$\pm$52000,1340000$\pm$480000,727000$\pm$230000,6170000$\pm$650000,2050000$\pm$320000,683$\pm$73,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),151$\pm$66,41.3$\pm$30,166$\pm$68,48.2$\pm$21,24.3$\pm$12,159$\pm$91,21.1$\pm$20,611$\pm$140,193$\pm$72,0.0725$\pm$0.024,6,4,6,4,4,6,4,6,6,4
Pre-consumer processes to Fresh water (MP),1.45$\pm$0.28,0.167$\pm$0.035,1.59$\pm$0.31,0.467$\pm$0.091,0.196$\pm$0.037,1.54$\pm$0.6,0.0336$\pm$0.015,5.44$\pm$0.74,1.62$\pm$0.28,0.000662$\pm$0.000098,2,1,2,1,1,2,1,2,2,1
Consumer packaging to Waste collection and recycling,108000$\pm$45000,233000$\pm$98000,340000$\pm$140000,83200$\pm$35000,13700$\pm$5800,32800$\pm$14000,281000$\pm$130000,1090000$\pm$220000,341000$\pm$110000,96.9$\pm$35,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,10700$\pm$6400,19600$\pm$10000,38600$\pm$22000,5890$\pm$3300,0$\pm$0,4670$\pm$2500,105000$\pm$62000,185000$\pm$67000,30300$\pm$12000,5.89$\pm$3.3,10,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,92$\pm$52,192$\pm$100,288$\pm$150,67.3$\pm$42,10.4$\pm$6.7,28.5$\pm$15,292$\pm$160,970$\pm$260,284$\pm$110,0.0778$\pm$0.042,4,6,6,4,4,4,6,6,6,4
Consumer packaging to Organic waste collection,3950$\pm$1900,3550$\pm$1600,7280$\pm$3400,874$\pm$410,104$\pm$52,713$\pm$330,3430$\pm$1600,19900$\pm$4500,7490$\pm$2500,0.978$\pm$0.41,8,8,8,6,6,6,8,10,8,6
Non-consumer packaging to Waste collection and recycling,179000$\pm$75000,165000$\pm$70000,127000$\pm$54000,39800$\pm$17000,17800$\pm$7400,1040$\pm$440,106000$\pm$45000,637000$\pm$130000,345000$\pm$100000,57.6$\pm$18,10,10,10,10,10,8,10,10,10,10
Non-consumer packaging to Litter,4890$\pm$3700,4460$\pm$3300,3450$\pm$2200,1080$\pm$830,480$\pm$370,28.9$\pm$21,2870$\pm$2200,17300$\pm$5900,9350$\pm$5000,1.56$\pm$0.91,8,8,8,8,6,4,8,10,8,8
