Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,18300$\pm$7600,25300$\pm$10000,38500$\pm$14000,9000$\pm$3800,8960$\pm$3700,20400$\pm$8500,7280$\pm$2200,128000$\pm$22000,43600$\pm$13000,18$\pm$5.3,10,10,10,8,8,10,8,10,10,10
Production to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1120$\pm$140,16700$\pm$2000,17800$\pm$2000,0$\pm$0,0$\pm$0,0,0,0,0,0,8,10,10,0,0
Pre-consumer processes to Waste collection and recycling,817$\pm$610,1140$\pm$840,1920$\pm$1200,399$\pm$310,396$\pm$300,951$\pm$700,1420$\pm$560,7040$\pm$1900,1960$\pm$1000,0.794$\pm$0.43,6,8,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.0363$\pm$0.02,0.0749$\pm$0.045,0.526$\pm$0.37,0.00674$\pm$0.0056,0.00667$\pm$0.0056,0.0315$\pm$0.017,0.799$\pm$0.39,1.48$\pm$0.54,0.111$\pm$0.049,0.0000134$\pm$0.000008,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,17500$\pm$7200,24200$\pm$9900,36600$\pm$14000,8600$\pm$3600,8560$\pm$3600,20600$\pm$8200,22500$\pm$2900,139000$\pm$21000,41700$\pm$12000,17.2$\pm$5,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.741$\pm$0.69,1.03$\pm$0.96,1.44$\pm$1.3,0.375$\pm$0.34,0.371$\pm$0.35,0.98$\pm$0.81,2.08$\pm$0.89,7.02$\pm$2.2,1.77$\pm$1.2,0.000747$\pm$0.00048,1,2,2,1,1,1,2,2,2,1
Pre-consumer processes to Fresh water (MP),0.0012$\pm$0.00054,0.00164$\pm$0.00074,0.00226$\pm$0.001,0.000593$\pm$0.00027,0.000591$\pm$0.00027,0.00257$\pm$0.00066,0.0184$\pm$0.0036,0.0273$\pm$0.0039,0.00284$\pm$0.00091,0.00000118$\pm$0.00000038,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,3410$\pm$1400,7280$\pm$3000,10700$\pm$4500,2580$\pm$1100,422$\pm$180,1020$\pm$430,8690$\pm$3800,34100$\pm$6900,10700$\pm$3400,3$\pm$1.1,8,8,10,8,6,8,8,10,10,8
Consumer packaging to On-the-go consumption,328$\pm$200,605$\pm$320,1200$\pm$670,183$\pm$100,0$\pm$0,143$\pm$77,3230$\pm$1900,5690$\pm$2000,932$\pm$370,0.183$\pm$0.1,6,6,8,6,0,6,8,8,6,6
Consumer packaging to Dumping,5.32$\pm$3,11.1$\pm$5.8,16.8$\pm$9,3.93$\pm$2.4,0.595$\pm$0.39,1.64$\pm$0.89,16.8$\pm$9.2,56.1$\pm$15,16.4$\pm$6.6,0.00452$\pm$0.0024,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,28$\pm$14,25.2$\pm$11,52.1$\pm$24,6.21$\pm$2.9,0.739$\pm$0.36,5.06$\pm$2.4,24.2$\pm$11,142$\pm$32,53.2$\pm$18,0.00695$\pm$0.0029,4,4,4,2,1,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,5540$\pm$2300,5090$\pm$2100,3940$\pm$1700,1220$\pm$520,544$\pm$230,32$\pm$14,3260$\pm$1400,19600$\pm$3900,10600$\pm$3100,1.77$\pm$0.57,8,8,8,8,6,4,8,10,10,8
Non-consumer packaging to Litter,144$\pm$110,132$\pm$97,102$\pm$63,31.2$\pm$24,13.9$\pm$11,0.822$\pm$0.61,83.3$\pm$63,506$\pm$170,275$\pm$150,0.0452$\pm$0.027,6,6,6,4,4,1,4,6,6,4
Non-consumer packaging to Dumping,8.02$\pm$5.1,7.34$\pm$4.5,5.7$\pm$3.1,1.76$\pm$1.1,0.787$\pm$0.5,0.0457$\pm$0.029,4.67$\pm$2.9,28.3$\pm$8.2,15.4$\pm$6.9,0.00255$\pm$0.0012,2,2,2,2,1,1,2,4,4,2
Construction to Waste collection and recycling,2480$\pm$740,6840$\pm$2800,3710$\pm$1300,0$\pm$0,7450$\pm$3100,13900$\pm$5800,855$\pm$370,35300$\pm$7300,9330$\pm$2900,7.45$\pm$3.1,8,8,8,0,8,10,6,10,8,8
Construction to Soil (MP),0.00799$\pm$0.0037,0.0823$\pm$0.048,0.884$\pm$0.86,0$\pm$0,0$\pm$0,0.0304$\pm$0.014,0.55$\pm$0.55,2$\pm$1,0.0903$\pm$0.048,0$\pm$0,1,1,1,0,0,1,1,2,1,0
Construction to UnintendedCDWaste,35.1$\pm$27,1.19$\pm$0.92,0$\pm$0,0$\pm$0,191$\pm$150,101$\pm$70,0$\pm$0,328$\pm$170,36.3$\pm$27,0.191$\pm$0.15,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0$\pm$0,0.648$\pm$0.66,16.8$\pm$12,0$\pm$0,0$\pm$0,0$\pm$0,21.7$\pm$16,39.2$\pm$21,0.648$\pm$0.66,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.37$\pm$2.1,0$\pm$0,3.37$\pm$2.1,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.761$\pm$0.36,0$\pm$0,0$\pm$0,0.761$\pm$0.36,0$\pm$0,0.000761$\pm$0.00036,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,111$\pm$66,291$\pm$170,1340$\pm$700,50.2$\pm$30,0$\pm$0,364$\pm$220,245$\pm$150,2400$\pm$770,402$\pm$180,0.0502$\pm$0.03,6,6,8,4,0,6,6,8,6,4
Automotive to Soil,0.232$\pm$0.12,0.786$\pm$0.41,3.71$\pm$1.9,0.00492$\pm$0.0025,0$\pm$0,0.262$\pm$0.13,0.000174$\pm$0.00009,4.99$\pm$1.9,1.02$\pm$0.43,0.00000492$\pm$0.0000025,1,1,2,1,0,1,1,2,2,1
