Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,7050$\pm$2900,0$\pm$0,168000$\pm$52000,175000$\pm$52000,0$\pm$0,7.05$\pm$2.9,0,0,0,0,8,0,10,10,0,8
Production to Pre-consumer processes,152000$\pm$18000,386000$\pm$47000,361000$\pm$44000,74400$\pm$9500,55600$\pm$7100,374000$\pm$48000,0$\pm$0,1400000$\pm$82000,538000$\pm$51000,130$\pm$12,10,10,10,10,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,7230$\pm$4000,18700$\pm$10000,22500$\pm$8500,3560$\pm$2000,2960$\pm$1700,17900$\pm$10000,10600$\pm$4800,83500$\pm$18000,25900$\pm$11000,6.52$\pm$2.6,8,10,10,8,8,10,10,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.18$\pm$1.3,6.01$\pm$3.4,13.6$\pm$6.5,1.07$\pm$0.66,0.797$\pm$0.49,5.37$\pm$3.3,7.07$\pm$5.2,36.1$\pm$9.7,8.19$\pm$3.7,0.00187$\pm$0.00083,2,2,4,2,1,2,2,4,2,2
Pre-consumer processes to ExcludedFlow,144000$\pm$18000,367000$\pm$46000,339000$\pm$42000,70800$\pm$9200,59700$\pm$7500,356000$\pm$46000,157000$\pm$49000,1490000$\pm$93000,512000$\pm$49000,130$\pm$12,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),17.2$\pm$7.5,43.5$\pm$19,40.9$\pm$17,8.39$\pm$3.7,6.58$\pm$2.9,42.5$\pm$19,4.56$\pm$4.2,164$\pm$33,60.7$\pm$20,0.015$\pm$0.0048,4,4,4,2,2,4,2,6,4,4
Pre-consumer processes to Fresh water (MP),0.166$\pm$0.032,0.421$\pm$0.082,0.391$\pm$0.077,0.0811$\pm$0.016,0.0611$\pm$0.012,0.408$\pm$0.08,0.00727$\pm$0.0033,1.53$\pm$0.14,0.587$\pm$0.087,0.000142$\pm$0.00002,1,1,1,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,23300$\pm$10000,50700$\pm$21000,74500$\pm$31000,18100$\pm$7600,2970$\pm$1200,7140$\pm$3000,60800$\pm$27000,238000$\pm$48000,74000$\pm$23000,21.1$\pm$7.7,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,2270$\pm$1400,4240$\pm$2300,8410$\pm$4600,1280$\pm$730,0$\pm$0,1010$\pm$540,22700$\pm$13000,39900$\pm$14000,6510$\pm$2600,1.28$\pm$0.73,8,8,8,8,0,8,10,10,8,8
Consumer packaging to Dumping,39$\pm$22,83.5$\pm$45,127$\pm$67,29.6$\pm$18,4.49$\pm$2.9,12.5$\pm$6.8,126$\pm$69,422$\pm$110,123$\pm$50,0.0341$\pm$0.019,4,4,6,4,2,4,6,6,6,4
Consumer packaging to Organic waste collection,312$\pm$150,286$\pm$130,592$\pm$280,71.4$\pm$34,8.43$\pm$4.2,57.2$\pm$27,276$\pm$120,1600$\pm$370,599$\pm$200,0.0798$\pm$0.034,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,38000$\pm$16000,35700$\pm$15000,27500$\pm$12000,8640$\pm$3700,3830$\pm$1600,225$\pm$96,22800$\pm$9700,137000$\pm$27000,73700$\pm$22000,12.5$\pm$4,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,985$\pm$760,931$\pm$690,719$\pm$450,225$\pm$170,100$\pm$77,5.83$\pm$4.4,595$\pm$450,3560$\pm$1200,1920$\pm$1000,0.325$\pm$0.19,6,6,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,59.3$\pm$38,55.3$\pm$34,42.6$\pm$23,13.5$\pm$8.8,5.92$\pm$3.8,0.35$\pm$0.22,35.4$\pm$23,212$\pm$61,115$\pm$51,0.0194$\pm$0.0096,4,4,4,4,2,1,4,6,6,4
Construction to Waste collection and recycling,17300$\pm$5200,48300$\pm$20000,25800$\pm$9200,0$\pm$0,52400$\pm$22000,98200$\pm$40000,6060$\pm$2600,248000$\pm$51000,65500$\pm$20000,52.4$\pm$22,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0562$\pm$0.026,0.757$\pm$0.45,6.06$\pm$5.9,0$\pm$0,0$\pm$0,0.216$\pm$0.098,3.84$\pm$3.8,10.9$\pm$7,0.814$\pm$0.45,0$\pm$0,1,1,2,0,0,1,2,4,1,0
Construction to UnintendedCDWaste,248$\pm$190,8.47$\pm$6.6,0$\pm$0,0$\pm$0,1350$\pm$1000,732$\pm$510,0$\pm$0,2330$\pm$1200,256$\pm$190,1$\pm$1,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0$\pm$0,7.99$\pm$5.9,119$\pm$86,0$\pm$0,0$\pm$0,0$\pm$0,158$\pm$120,284$\pm$150,7.99$\pm$5.9,0$\pm$0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,24.2$\pm$15,0$\pm$0,24.2$\pm$15,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,5.37$\pm$2.5,0$\pm$0,0$\pm$0,5.37$\pm$2.5,0$\pm$0,0.00537$\pm$0.0025,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2750$\pm$1100,7360$\pm$2900,33300$\pm$12000,1260$\pm$520,0$\pm$0,9030$\pm$3800,6230$\pm$2600,60000$\pm$13000,10100$\pm$3200,1.26$\pm$0.52,8,8,10,8,0,8,8,10,10,8
Automotive to Soil,1.61$\pm$0.82,5.51$\pm$2.8,25.9$\pm$13,0.0348$\pm$0.018,0$\pm$0,1.83$\pm$0.93,0.00122$\pm$0.00062,34.8$\pm$14,7.12$\pm$2.9,0.0000348$\pm$0.000018,2,2,4,1,0,2,1,4,2,1
Automotive to Export,40.7$\pm$18,109$\pm$47,491$\pm$190,18.6$\pm$8.2,0$\pm$0,133$\pm$59,92.1$\pm$42,885$\pm$210,150$\pm$50,0.0186$\pm$0.0082,4,6,6,4,0,6,4,6,6,4
Agriculture to Waste collection and recycling,14300$\pm$4800,1430$\pm$410,6500$\pm$1900,26.8$\pm$11,0$\pm$0,260$\pm$110,601$\pm$260,23200$\pm$5200,15800$\pm$4800,0.0268$\pm$0.011,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,22.5$\pm$11,2.21$\pm$0.94,10.1$\pm$4.5,0.0414$\pm$0.026,0$\pm$0,0.407$\pm$0.21,0.934$\pm$0.6,36.1$\pm$12,24.7$\pm$11,0.0000414$\pm$0.000026,4,2,4,1,0,1,1,4,4,1
Agriculture to Organic waste collection,202$\pm$79,10.3$\pm$4,91.3$\pm$32,0.0776$\pm$0.038,0$\pm$0,1.51$\pm$0.69,8.6$\pm$4.3,314$\pm$86,212$\pm$79,0.0000776$\pm$0.000038,6,4,4,1,0,2,2,6,6,1
Agriculture to Soil (MP),270$\pm$140,6.5$\pm$5.3,43.6$\pm$36,0.0277$\pm$0.017,0$\pm$0,1.92$\pm$0.94,7.54$\pm$6.1,330$\pm$140,277$\pm$140,0.0000277$\pm$0.000017,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,32.5$\pm$17,13.7$\pm$8.2,7.86$\pm$3.3,0.568$\pm$0.39,0$\pm$0,5.21$\pm$3.2,0.376$\pm$0.26,60.3$\pm$19,46.3$\pm$19,0.000568$\pm$0.00039,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0$\pm$0,347$\pm$250,477$\pm$310,0$\pm$0,0$\pm$0,0$\pm$0,691$\pm$410,1520$\pm$640,347$\pm$250,0$\pm$0,0,6,6,0,0,0,6,8,6,0
