Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,83600$\pm$35000,0$\pm$0,0$\pm$0,0$\pm$0,34200$\pm$14000,0$\pm$0,0$\pm$0,118000$\pm$38000,83600$\pm$35000,34.2$\pm$14,10,0,0,0,10,0,0,10,10,10
Production to Pre-consumer processes,0$\pm$0,353000$\pm$45000,969000$\pm$120000,194000$\pm$25000,6930$\pm$880,137000$\pm$18000,297000$\pm$38000,1960000$\pm$140000,353000$\pm$45000,201$\pm$25,0,10,10,10,8,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,3640$\pm$2800,17200$\pm$9400,60400$\pm$23000,9200$\pm$5200,1840$\pm$1300,6530$\pm$3600,17000$\pm$7200,116000$\pm$26000,20800$\pm$9800,11$\pm$5.4,8,10,10,8,8,8,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),0.126$\pm$0.071,5.5$\pm$3.2,36.6$\pm$17,2.77$\pm$1.7,0.125$\pm$0.066,1.93$\pm$1.2,8.7$\pm$3.9,55.8$\pm$18,5.63$\pm$3.2,0.00289$\pm$0.0017,1,2,4,2,1,2,2,4,2,2
Pre-consumer processes to ExcludedFlow,79900$\pm$33000,335000$\pm$44000,909000$\pm$120000,185000$\pm$24000,39300$\pm$14000,130000$\pm$17000,280000$\pm$37000,1960000$\pm$140000,415000$\pm$55000,224$\pm$28,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.44$\pm$3.2,40.2$\pm$17,109$\pm$45,21.9$\pm$9.5,2.2$\pm$1.5,15.5$\pm$6.8,33.6$\pm$14,226$\pm$52,43.6$\pm$18,0.0241$\pm$0.0096,2,4,6,4,2,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.00546$\pm$0.0025,0.384$\pm$0.076,1.05$\pm$0.21,0.212$\pm$0.042,0.00983$\pm$0.0018,0.149$\pm$0.029,0.322$\pm$0.064,2.13$\pm$0.24,0.389$\pm$0.076,0.000222$\pm$0.000042,1,1,2,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,15200$\pm$6500,33400$\pm$14000,48900$\pm$20000,11800$\pm$5000,1940$\pm$820,4660$\pm$2000,39800$\pm$18000,156000$\pm$32000,48600$\pm$16000,13.8$\pm$5,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1490$\pm$900,2800$\pm$1500,5530$\pm$3100,838$\pm$480,0$\pm$0,660$\pm$360,14900$\pm$8800,26200$\pm$9500,4290$\pm$1700,0.838$\pm$0.48,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,24.9$\pm$14,53.2$\pm$29,79.8$\pm$42,18.7$\pm$12,2.85$\pm$1.8,7.87$\pm$4.3,79.9$\pm$44,267$\pm$71,78$\pm$32,0.0216$\pm$0.012,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,347$\pm$170,320$\pm$140,659$\pm$310,78.8$\pm$37,9.34$\pm$4.7,64.1$\pm$30,307$\pm$140,1790$\pm$410,667$\pm$220,0.0881$\pm$0.037,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,25300$\pm$11000,23800$\pm$10000,18400$\pm$7700,5720$\pm$2400,2530$\pm$1100,149$\pm$65,15100$\pm$6500,90900$\pm$18000,49100$\pm$15000,8.25$\pm$2.7,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,384$\pm$300,361$\pm$270,279$\pm$170,85.9$\pm$67,38.1$\pm$29,2.25$\pm$1.7,227$\pm$170,1380$\pm$480,745$\pm$400,0.124$\pm$0.073,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,37.7$\pm$24,35.3$\pm$22,27$\pm$15,8.56$\pm$5.5,3.75$\pm$2.4,0.219$\pm$0.14,22.4$\pm$14,135$\pm$39,73$\pm$33,0.0123$\pm$0.006,4,4,4,2,2,1,4,6,4,4
Construction to Waste collection and recycling,11400$\pm$3500,31600$\pm$13000,17100$\pm$6000,0$\pm$0,34700$\pm$14000,64700$\pm$27000,4040$\pm$1700,164000$\pm$34000,43000$\pm$13000,34.7$\pm$14,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0367$\pm$0.017,0.499$\pm$0.29,3.98$\pm$3.9,0$\pm$0,0$\pm$0,0.141$\pm$0.065,2.54$\pm$2.6,7.2$\pm$4.7,0.535$\pm$0.29,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,94.9$\pm$74,3.3$\pm$2.5,0$\pm$0,0$\pm$0,522$\pm$400,280$\pm$190,0$\pm$0,900$\pm$460,98.2$\pm$74,0.522$\pm$0.4,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0$\pm$0,3.17$\pm$2.3,46$\pm$34,0$\pm$0,0$\pm$0,0$\pm$0,61$\pm$45,110$\pm$56,3.17$\pm$2.3,0$\pm$0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,15.9$\pm$9.7,0$\pm$0,15.9$\pm$9.7,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,3.51$\pm$1.6,0$\pm$0,0$\pm$0,3.51$\pm$1.6,0$\pm$0,0.00351$\pm$0.0016,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1470$\pm$620,3930$\pm$1600,17600$\pm$6500,663$\pm$280,0$\pm$0,4780$\pm$2000,3330$\pm$1400,31800$\pm$7100,5400$\pm$1700,0.663$\pm$0.28,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.07$\pm$0.55,3.63$\pm$1.9,17$\pm$8.7,0.0227$\pm$0.012,0$\pm$0,1.2$\pm$0.61,0.000793$\pm$0.00041,22.9$\pm$8.9,4.7$\pm$1.9,0.0000227$\pm$0.000012,2,2,4,1,0,2,1,4,2,1
Automotive to Export,378$\pm$170,1010$\pm$430,4530$\pm$1800,170$\pm$77,0$\pm$0,1220$\pm$550,852$\pm$390,8160$\pm$2000,1380$\pm$460,0.17$\pm$0.077,6,8,8,6,0,8,6,8,8,6
Agriculture to Waste collection and recycling,9410$\pm$3100,947$\pm$280,4230$\pm$1300,17.5$\pm$7.3,0$\pm$0,168$\pm$71,393$\pm$170,15200$\pm$3400,10400$\pm$3100,0.0175$\pm$0.0073,8,6,8,4,0,6,6,10,10,4
Agriculture to Dumping,14.3$\pm$7.1,1.41$\pm$0.61,6.4$\pm$2.9,0.0261$\pm$0.017,0$\pm$0,0.254$\pm$0.13,0.595$\pm$0.38,23$\pm$7.7,15.7$\pm$7.1,0.0000261$\pm$0.000017,4,2,2,1,0,1,1,4,4,1
Agriculture to Organic waste collection,227$\pm$88,11.6$\pm$4.6,102$\pm$36,0.0869$\pm$0.043,0$\pm$0,1.66$\pm$0.76,9.6$\pm$4.8,351$\pm$95,238$\pm$88,0.0000869$\pm$0.000043,6,4,6,1,0,2,2,6,6,1
Agriculture to Soil (MP),179$\pm$90,4.36$\pm$3.5,29.3$\pm$24,0.018$\pm$0.011,0$\pm$0,1.25$\pm$0.62,5$\pm$4,219$\pm$93,184$\pm$90,0.000018$\pm$0.000011,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,21.5$\pm$11,9.11$\pm$5.5,5.21$\pm$2.2,0.373$\pm$0.25,0$\pm$0,3.38$\pm$2.1,0.249$\pm$0.17,39.9$\pm$13,30.6$\pm$12,0.000373$\pm$0.00025,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0$\pm$0,188$\pm$130,254$\pm$170,0$\pm$0,0$\pm$0,0$\pm$0,349$\pm$210,791$\pm$340,188$\pm$130,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Storm water and wastewater,0$\pm$0,107$\pm$75,112$\pm$78,0$\pm$0,0$\pm$0,0$\pm$0,101$\pm$77,320$\pm$150,107$\pm$75,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0$\pm$0,0.429$\pm$0.31,0.534$\pm$0.39,0$\pm$0,0$\pm$0,0$\pm$0,0.656$\pm$0.44,1.62$\pm$0.73,0.429$\pm$0.31,0$\pm$0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.212$\pm$0.17,0.000496$\pm$0.0004,0$\pm$0,0$\pm$0,0$\pm$0,0.00109$\pm$0.00089,0.213$\pm$0.17,0.212$\pm$0.17,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,4.01$\pm$2.6,0.00949$\pm$0.0061,0$\pm$0,0$\pm$0,0$\pm$0,0.0206$\pm$0.013,4.04$\pm$2.6,4.01$\pm$2.6,0$\pm$0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0$\pm$0,164$\pm$100,3290$\pm$1500,0$\pm$0,0$\pm$0,0$\pm$0,17100$\pm$6000,20600$\pm$6200,164$\pm$100,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0$\pm$0,1.27$\pm$0.79,25.6$\pm$12,0$\pm$0,0$\pm$0,0$\pm$0,133$\pm$49,160$\pm$51,1.27$\pm$0.79,0$\pm$0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0$\pm$0,0.237$\pm$0.19,4.8$\pm$2.9,0$\pm$0,0$\pm$0,0$\pm$0,25.1$\pm$13,30.2$\pm$13,0.237$\pm$0.19,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Indoor air (MP),0$\pm$0,0.474$\pm$0.52,9.45$\pm$9,0$\pm$0,0$\pm$0,0$\pm$0,49.4$\pm$44,59.3$\pm$51,0.474$\pm$0.52,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Air (MP),0$\pm$0,0.198$\pm$0.18,3.94$\pm$3.1,0$\pm$0,0$\pm$0,0$\pm$0,20.6$\pm$15,24.8$\pm$17,0.198$\pm$0.18,0$\pm$0,0,1,2,0,0,0,4,4,1,0
