Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,126000$\pm$52000,10700$\pm$4000,0$\pm$0,197000$\pm$81000,437000$\pm$180000,480000$\pm$150000,1250000$\pm$250000,126000$\pm$52000,197$\pm$81,0,10,10,0,10,10,10,10,10,10
Production to Pre-consumer processes,637000$\pm$78000,628000$\pm$77000,1130000$\pm$140000,273000$\pm$33000,72900$\pm$8900,215000$\pm$27000,243000$\pm$31000,3200000$\pm$180000,1260000$\pm$110000,346$\pm$34,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,30800$\pm$17000,36100$\pm$20000,71000$\pm$27000,13100$\pm$7300,12100$\pm$8100,29300$\pm$19000,44500$\pm$18000,237000$\pm$47000,66900$\pm$27000,25.2$\pm$11,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),9.11$\pm$5.6,10$\pm$5.7,42.6$\pm$20,3.94$\pm$2.4,1.2$\pm$0.67,3.41$\pm$1.9,27.3$\pm$17,97.6$\pm$27,19.1$\pm$8,0.00515$\pm$0.0025,2,4,4,2,2,2,4,4,4,2
Pre-consumer processes to ExcludedFlow,606000$\pm$76000,717000$\pm$90000,1070000$\pm$130000,260000$\pm$32000,258000$\pm$79000,623000$\pm$180000,679000$\pm$140000,4220000$\pm$300000,1320000$\pm$120000,519$\pm$85,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),71.6$\pm$31,76.4$\pm$34,129$\pm$53,31$\pm$13,16.4$\pm$9.9,42.5$\pm$24,40.8$\pm$21,407$\pm$79,148$\pm$46,0.0474$\pm$0.017,4,4,6,4,4,4,4,6,6,4
Pre-consumer processes to Fresh water (MP),0.696$\pm$0.14,0.692$\pm$0.13,1.22$\pm$0.24,0.298$\pm$0.057,0.0926$\pm$0.017,0.263$\pm$0.048,0.285$\pm$0.053,3.55$\pm$0.32,1.39$\pm$0.19,0.000391$\pm$0.00006,1,1,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,97100$\pm$41000,213000$\pm$91000,315000$\pm$130000,76500$\pm$32000,12700$\pm$5300,30100$\pm$13000,259000$\pm$110000,1000000$\pm$200000,310000$\pm$99000,89.1$\pm$32,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,9780$\pm$5900,18100$\pm$9700,36400$\pm$20000,5460$\pm$3100,0$\pm$0,4310$\pm$2300,98200$\pm$58000,172000$\pm$62000,27900$\pm$11000,5.46$\pm$3.1,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,682$\pm$390,1440$\pm$770,2210$\pm$1200,511$\pm$310,77.9$\pm$51,215$\pm$120,2220$\pm$1200,7360$\pm$1900,2120$\pm$860,0.589$\pm$0.32,6,8,8,6,4,6,8,8,8,6
Consumer packaging to Organic waste collection,4250$\pm$2100,3860$\pm$1800,8070$\pm$3800,956$\pm$440,115$\pm$57,779$\pm$370,3760$\pm$1700,21800$\pm$4900,8110$\pm$2700,1.07$\pm$0.45,8,8,8,6,6,6,8,10,8,8
Non-consumer packaging to Waste collection and recycling,161000$\pm$68000,150000$\pm$64000,117000$\pm$49000,36300$\pm$15000,16200$\pm$6800,951$\pm$410,96900$\pm$41000,579000$\pm$110000,311000$\pm$93000,52.5$\pm$17,10,10,10,10,10,6,10,10,10,10
