Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,23600$\pm$9900,32700$\pm$13000,49500$\pm$19000,11800$\pm$4900,11700$\pm$4800,21200$\pm$8800,0$\pm$0,150000$\pm$27000,56300$\pm$17000,23.5$\pm$6.9,10,10,10,10,10,10,0,10,10,10
Production to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,6910$\pm$850,796000$\pm$100000,802000$\pm$100000,0$\pm$0,0$\pm$0,0,0,0,0,0,8,10,10,0,0
Pre-consumer processes to Waste collection and recycling,1050$\pm$790,1470$\pm$1100,2480$\pm$1500,515$\pm$390,521$\pm$390,1260$\pm$860,45200$\pm$19000,52500$\pm$19000,2520$\pm$1300,1.04$\pm$0.56,8,8,8,6,6,8,10,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.0443$\pm$0.025,0.0952$\pm$0.057,0.688$\pm$0.49,0.0087$\pm$0.0073,0.00878$\pm$0.0073,0.115$\pm$0.063,23.3$\pm$11,24.3$\pm$11,0.139$\pm$0.062,0.0000175$\pm$0.00001,1,1,1,1,1,1,4,4,1,1
Pre-consumer processes to ExcludedFlow,22600$\pm$9400,31200$\pm$13000,47000$\pm$18000,11200$\pm$4700,11200$\pm$4600,26900$\pm$8500,750000$\pm$98000,900000$\pm$100000,53800$\pm$16000,22.4$\pm$6.6,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.978$\pm$0.91,1.32$\pm$1.2,1.83$\pm$1.7,0.494$\pm$0.45,0.473$\pm$0.43,2$\pm$1,89.9$\pm$37,96.6$\pm$37,2.29$\pm$1.5,0.000967$\pm$0.00062,1,2,2,1,1,2,4,4,2,1
Pre-consumer processes to Fresh water (MP),0.00154$\pm$0.00071,0.00212$\pm$0.00097,0.00291$\pm$0.0013,0.000777$\pm$0.00035,0.000773$\pm$0.00035,0.00896$\pm$0.0016,0.863$\pm$0.17,0.88$\pm$0.17,0.00366$\pm$0.0012,0.00000155$\pm$0.0000005,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,4300$\pm$1800,9370$\pm$3900,13700$\pm$5700,3350$\pm$1400,547$\pm$230,1320$\pm$550,11200$\pm$5000,43800$\pm$8900,13700$\pm$4300,3.9$\pm$1.4,8,8,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,428$\pm$260,787$\pm$420,1560$\pm$860,240$\pm$130,0$\pm$0,189$\pm$100,4170$\pm$2500,7370$\pm$2700,1220$\pm$490,0.24$\pm$0.13,6,6,8,6,0,6,8,8,8,6
Consumer packaging to Dumping,4.72$\pm$2.7,9.9$\pm$5.2,15$\pm$8,3.49$\pm$2.1,0.529$\pm$0.34,1.47$\pm$0.8,15$\pm$8.2,50.1$\pm$13,14.6$\pm$5.9,0.00402$\pm$0.0022,2,2,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,153$\pm$73,140$\pm$62,287$\pm$130,34.5$\pm$16,4.09$\pm$2.1,28.2$\pm$13,133$\pm$60,780$\pm$180,293$\pm$96,0.0386$\pm$0.016,6,6,6,4,2,4,6,6,6,4
Non-consumer packaging to Waste collection and recycling,7230$\pm$3000,6690$\pm$2800,5150$\pm$2200,1620$\pm$680,716$\pm$300,42.5$\pm$18,4260$\pm$1800,25700$\pm$5100,13900$\pm$4100,2.33$\pm$0.74,8,8,8,8,6,4,8,10,10,8
Non-consumer packaging to Litter,128$\pm$98,117$\pm$87,91.7$\pm$57,28.6$\pm$22,12.6$\pm$9.7,0.755$\pm$0.56,74.9$\pm$57,453$\pm$150,245$\pm$130,0.0411$\pm$0.024,6,6,4,4,4,1,4,6,6,4
