Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,13000$\pm$5300,18000$\pm$7300,26000$\pm$9800,6410$\pm$2700,6370$\pm$2600,15300$\pm$6300,17000$\pm$5300,102000$\pm$16000,31000$\pm$9000,12.8$\pm$3.8,10,10,10,8,8,10,10,10,10,10
Production to Pre-consumer processes,0$\pm$0,0$\pm$0,1030$\pm$130,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1030$\pm$130,0$\pm$0,0$\pm$0,0,0,8,0,0,0,0,8,0,0
Pre-consumer processes to Waste collection and recycling,581$\pm$430,816$\pm$590,1360$\pm$800,284$\pm$220,282$\pm$210,674$\pm$510,1070$\pm$480,5070$\pm$1300,1400$\pm$730,0.566$\pm$0.3,6,6,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.0284$\pm$0.016,0.0559$\pm$0.033,0.398$\pm$0.27,0.00472$\pm$0.0039,0.0047$\pm$0.0039,0.0115$\pm$0.0095,0.709$\pm$0.52,1.21$\pm$0.59,0.0843$\pm$0.037,0.00000942$\pm$0.0000056,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,12400$\pm$5100,17200$\pm$7000,25700$\pm$9400,6130$\pm$2500,6080$\pm$2500,14700$\pm$6000,15900$\pm$5000,98100$\pm$15000,29600$\pm$8600,12.2$\pm$3.6,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.532$\pm$0.49,0.734$\pm$0.68,1.08$\pm$0.92,0.265$\pm$0.25,0.266$\pm$0.25,0.634$\pm$0.59,0.467$\pm$0.43,3.98$\pm$1.5,1.27$\pm$0.83,0.000531$\pm$0.00035,1,1,2,1,1,1,1,2,2,1
Pre-consumer processes to Fresh water (MP),0.000847$\pm$0.00038,0.00117$\pm$0.00053,0.00264$\pm$0.00074,0.000423$\pm$0.00019,0.000419$\pm$0.00019,0.00101$\pm$0.00045,0.000738$\pm$0.00033,0.00725$\pm$0.0012,0.00202$\pm$0.00065,0.000000842$\pm$0.00000027,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2370$\pm$1000,5150$\pm$2100,7560$\pm$3200,1830$\pm$760,299$\pm$130,722$\pm$300,6130$\pm$2700,24100$\pm$4900,7520$\pm$2400,2.13$\pm$0.77,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,231$\pm$140,431$\pm$230,851$\pm$470,129$\pm$74,0$\pm$0,102$\pm$55,2300$\pm$1400,4050$\pm$1500,662$\pm$270,0.129$\pm$0.074,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,7.84$\pm$4.5,16.8$\pm$9,25.4$\pm$13,5.88$\pm$3.7,0.893$\pm$0.57,2.48$\pm$1.4,25.3$\pm$14,84.7$\pm$22,24.7$\pm$10,0.00678$\pm$0.0037,2,4,4,2,1,2,4,4,4,2
