Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,3900$\pm$1600,5390$\pm$2200,8110$\pm$3100,1910$\pm$800,1920$\pm$790,4580$\pm$1900,5160$\pm$1600,31000$\pm$4900,9290$\pm$2700,3.84$\pm$1.1,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Waste collection and recycling,173$\pm$130,245$\pm$180,407$\pm$240,83.7$\pm$64,84.4$\pm$64,200$\pm$150,325$\pm$140,1520$\pm$400,417$\pm$220,0.168$\pm$0.091,6,6,6,4,4,6,6,8,6,6
Pre-consumer processes to Storm water and wastewater (MP),0.00528$\pm$0.003,0.0135$\pm$0.0078,0.111$\pm$0.078,0.00142$\pm$0.0012,0.00145$\pm$0.0012,0.00341$\pm$0.0028,0.217$\pm$0.16,0.353$\pm$0.18,0.0188$\pm$0.0083,0.00000286$\pm$0.0000017,1,1,1,1,1,1,1,1,1,1
Pre-consumer processes to ExcludedFlow,3720$\pm$1500,5150$\pm$2100,7710$\pm$2900,1830$\pm$770,1840$\pm$760,4380$\pm$1800,4830$\pm$1500,29500$\pm$4600,8870$\pm$2600,3.67$\pm$1.1,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Soil (MP),0.161$\pm$0.15,0.219$\pm$0.21,0.301$\pm$0.28,0.08$\pm$0.074,0.0801$\pm$0.075,0.191$\pm$0.18,0.14$\pm$0.13,1.17$\pm$0.45,0.381$\pm$0.25,0.00016$\pm$0.00011,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to Fresh water (MP),0.000256$\pm$0.00011,0.00035$\pm$0.00016,0.000476$\pm$0.00021,0.000126$\pm$0.000057,0.000127$\pm$0.000057,0.000303$\pm$0.00014,0.000224$\pm$0.0001,0.00186$\pm$0.00034,0.000607$\pm$0.0002,0.000000254$\pm$0.000000081,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,710$\pm$300,1550$\pm$650,2260$\pm$940,552$\pm$230,90.5$\pm$38,217$\pm$91,1840$\pm$810,7220$\pm$1500,2260$\pm$710,0.643$\pm$0.23,6,8,8,6,4,6,8,8,8,6
Consumer packaging to On-the-go consumption,69.2$\pm$42,129$\pm$68,255$\pm$140,39.2$\pm$22,0$\pm$0,30.7$\pm$17,695$\pm$410,1220$\pm$440,199$\pm$80,0.0392$\pm$0.022,4,6,6,4,0,4,6,8,6,4
Consumer packaging to Dumping,1.71$\pm$0.99,3.62$\pm$1.9,5.44$\pm$2.9,1.27$\pm$0.79,0.193$\pm$0.12,0.533$\pm$0.3,5.47$\pm$3,18.2$\pm$4.8,5.33$\pm$2.2,0.00146$\pm$0.0008,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,12.8$\pm$6.2,11.7$\pm$5.2,23.9$\pm$11,2.89$\pm$1.3,0.344$\pm$0.17,2.33$\pm$1.1,11.2$\pm$5,65.2$\pm$15,24.5$\pm$8.1,0.00324$\pm$0.0013,4,4,4,2,1,2,4,4,4,2
Non-consumer packaging to Waste collection and recycling,1180$\pm$500,1110$\pm$460,851$\pm$360,268$\pm$110,119$\pm$50,6.93$\pm$3,704$\pm$300,4240$\pm$830,2290$\pm$680,0.386$\pm$0.12,8,8,6,6,6,2,6,8,8,6
Non-consumer packaging to Litter,12.8$\pm$9.9,12.1$\pm$8.9,9.23$\pm$5.7,2.85$\pm$2.2,1.28$\pm$0.99,0.0754$\pm$0.056,7.7$\pm$5.9,46$\pm$16,24.9$\pm$13,0.00412$\pm$0.0024,4,4,2,2,2,1,2,4,4,2
Non-consumer packaging to Dumping,2.56$\pm$1.6,2.4$\pm$1.5,2$\pm$1,0.58$\pm$0.37,0.259$\pm$0.16,0.0151$\pm$0.0095,1.51$\pm$0.96,9.18$\pm$2.6,4.96$\pm$2.2,0.000839$\pm$0.0004,2,2,2,1,1,1,2,2,2,1
Construction to Waste collection and recycling,531$\pm$160,1460$\pm$600,793$\pm$280,0$\pm$0,1600$\pm$670,3000$\pm$1200,187$\pm$80,7570$\pm$1500,1990$\pm$620,1.6$\pm$0.67,6,8,6,0,8,8,6,8,8,8
Construction to Soil (MP),0.00171$\pm$0.00078,0.0206$\pm$0.012,0.185$\pm$0.18,0$\pm$0,0$\pm$0,0.00654$\pm$0.003,0.119$\pm$0.12,0.332$\pm$0.21,0.0223$\pm$0.012,0$\pm$0,1,1,1,0,0,1,1,1,1,0
Construction to UnintendedCDWaste,3.16$\pm$2.5,0.109$\pm$0.086,0$\pm$0,0$\pm$0,17.2$\pm$13,9.38$\pm$6.5,0$\pm$0,29.9$\pm$15,3.27$\pm$2.5,0.0172$\pm$0.013,2,1,0,0,4,2,0,4,2,4
Construction to Soil,0$\pm$0,0.0866$\pm$0.071,1.56$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0,2.01$\pm$1.5,3.66$\pm$1.9,0.0866$\pm$0.071,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.73$\pm$0.45,0$\pm$0,0.73$\pm$0.45,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.162$\pm$0.076,0$\pm$0,0$\pm$0,0.162$\pm$0.076,0$\pm$0,0.000162$\pm$0.000076,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,14.7$\pm$11,39.2$\pm$30,180$\pm$120,6.68$\pm$5.2,0$\pm$0,49$\pm$37,33.7$\pm$26,324$\pm$130,54$\pm$32,0.00668$\pm$0.0052,4,4,6,2,0,4,4,6,4,2
Automotive to Soil,0.0492$\pm$0.025,0.168$\pm$0.086,0.784$\pm$0.4,0.00105$\pm$0.00054,0$\pm$0,0.0558$\pm$0.028,0.0000371$\pm$0.000019,1.06$\pm$0.41,0.217$\pm$0.089,0.00000105$\pm$0.00000054,1,1,1,1,0,1,1,2,1,1
Automotive to Export,70.1$\pm$31,187$\pm$79,846$\pm$330,31.8$\pm$14,0$\pm$0,230$\pm$100,158$\pm$71,1520$\pm$360,257$\pm$85,0.0318$\pm$0.014,4,6,6,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,437$\pm$140,40.9$\pm$13,197$\pm$58,0.813$\pm$0.34,0$\pm$0,7.84$\pm$3.2,18.2$\pm$7.8,702$\pm$150,478$\pm$140,0.000813$\pm$0.00034,6,4,6,1,0,2,4,6,6,1
Agriculture to Dumping,0.972$\pm$0.48,0.0902$\pm$0.04,0.438$\pm$0.2,0.00179$\pm$0.0012,0$\pm$0,0.0174$\pm$0.0088,0.0399$\pm$0.026,1.56$\pm$0.52,1.06$\pm$0.48,0.00000179$\pm$0.0000012,1,1,1,1,0,1,1,2,2,1
Agriculture to Organic waste collection,8.23$\pm$3.2,0.365$\pm$0.16,3.71$\pm$1.3,0.00315$\pm$0.0016,0$\pm$0,0.061$\pm$0.028,0.348$\pm$0.18,12.7$\pm$3.4,8.6$\pm$3.2,0.00000315$\pm$0.0000016,2,1,2,1,0,1,1,4,2,1
Agriculture to Soil (MP),8.27$\pm$4.1,0.16$\pm$0.14,1.35$\pm$1.1,0.000834$\pm$0.00051,0$\pm$0,0.0579$\pm$0.028,0.227$\pm$0.19,10.1$\pm$4.3,8.43$\pm$4.1,0.000000834$\pm$0.00000051,2,1,2,1,0,1,1,4,2,1
Agriculture to Soil,0.995$\pm$0.52,0.416$\pm$0.25,0.239$\pm$0.1,0.0173$\pm$0.012,0$\pm$0,0.157$\pm$0.096,0.0115$\pm$0.0079,1.84$\pm$0.59,1.41$\pm$0.57,0.0000173$\pm$0.000012,1,1,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0$\pm$0,18.3$\pm$12,25.1$\pm$16,0$\pm$0,0$\pm$0,0$\pm$0,36.7$\pm$21,80.1$\pm$33,18.3$\pm$12,0$\pm$0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Storm water and wastewater,0$\pm$0,10.3$\pm$7.1,11.1$\pm$7.7,0$\pm$0,0$\pm$0,0$\pm$0,10.1$\pm$7.7,31.4$\pm$14,10.3$\pm$7.1,0$\pm$0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0$\pm$0,0.0614$\pm$0.044,0.0775$\pm$0.055,0$\pm$0,0$\pm$0,0$\pm$0,0.1$\pm$0.066,0.239$\pm$0.11,0.0614$\pm$0.044,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.00965$\pm$0.0078,0.0000229$\pm$0.000019,0$\pm$0,0$\pm$0,0$\pm$0,0.0000499$\pm$0.00004,0.00973$\pm$0.0078,0.00965$\pm$0.0078,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,0.183$\pm$0.12,0.000437$\pm$0.00028,0$\pm$0,0$\pm$0,0$\pm$0,0.00095$\pm$0.00061,0.185$\pm$0.12,0.183$\pm$0.12,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0$\pm$0,6.12$\pm$4.3,152$\pm$69,0$\pm$0,0$\pm$0,0$\pm$0,791$\pm$270,949$\pm$280,6.12$\pm$4.3,0$\pm$0,0,2,6,0,0,0,6,6,2,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.0477$\pm$0.034,1.18$\pm$0.56,0$\pm$0,0$\pm$0,0$\pm$0,6.16$\pm$2.2,7.39$\pm$2.3,0.0477$\pm$0.034,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Dumping,0$\pm$0,0.0132$\pm$0.012,0.327$\pm$0.2,0$\pm$0,0$\pm$0,0$\pm$0,1.71$\pm$0.87,2.05$\pm$0.89,0.0132$\pm$0.012,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.0176$\pm$0.02,0.437$\pm$0.42,0$\pm$0,0$\pm$0,0$\pm$0,2.27$\pm$2,2.72$\pm$2.3,0.0176$\pm$0.02,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Clothing to Air (MP),0$\pm$0,0.00736$\pm$0.0075,0.183$\pm$0.15,0$\pm$0,0$\pm$0,0$\pm$0,0.946$\pm$0.68,1.14$\pm$0.78,0.00736$\pm$0.0075,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Waste collection and recycling,0$\pm$0,0.866$\pm$0.44,119$\pm$39,0$\pm$0,0$\pm$0,0$\pm$0,361$\pm$110,480$\pm$120,0.866$\pm$0.44,0$\pm$0,0,1,6,0,0,0,6,6,1,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.00054$\pm$0.00028,0.0739$\pm$0.025,0$\pm$0,0$\pm$0,0$\pm$0,0.225$\pm$0.072,0.299$\pm$0.079,0.00054$\pm$0.00028,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0$\pm$0,0.00186$\pm$0.0013,0.255$\pm$0.13,0$\pm$0,0$\pm$0,0$\pm$0,0.773$\pm$0.36,1.03$\pm$0.38,0.00186$\pm$0.0013,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.00153$\pm$0.0016,0.21$\pm$0.19,0$\pm$0,0$\pm$0,0$\pm$0,0.64$\pm$0.56,0.852$\pm$0.72,0.00153$\pm$0.0016,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Household textiles to Air (MP),0$\pm$0,0.0000766$\pm$0.000067,0.0105$\pm$0.0078,0$\pm$0,0$\pm$0,0$\pm$0,0.0319$\pm$0.023,0.0425$\pm$0.03,0.0000766$\pm$0.000067,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,771$\pm$320,763$\pm$310,2170$\pm$740,897$\pm$320,62.7$\pm$26,1020$\pm$400,235$\pm$130,5920$\pm$1000,1530$\pm$450,0.959$\pm$0.32,6,6,8,6,4,8,6,8,8,6
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.596$\pm$0.35,0$\pm$0,0.596$\pm$0.35,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Dumping,1.67$\pm$0.95,1.65$\pm$0.89,4.68$\pm$2.2,2.16$\pm$0.96,0.135$\pm$0.073,2.29$\pm$1.1,0.45$\pm$0.33,13$\pm$3,3.31$\pm$1.3,0.00229$\pm$0.00096,2,2,2,2,1,2,1,4,2,2
Other products to Organic waste collection,0.277$\pm$0.14,0.655$\pm$0.33,0.756$\pm$0.38,0.528$\pm$0.26,0.115$\pm$0.058,0.476$\pm$0.24,0.0235$\pm$0.012,2.83$\pm$0.64,0.932$\pm$0.36,0.000643$\pm$0.00027,1,1,1,1,1,1,1,2,1,1
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.397$\pm$0.23,0$\pm$0,0.397$\pm$0.23,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Soil,0.0296$\pm$0.018,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0296$\pm$0.018,0.0296$\pm$0.018,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.0735$\pm$0.045,0.174$\pm$0.11,0.2$\pm$0.12,0.14$\pm$0.086,0.0302$\pm$0.019,0.325$\pm$0.18,0.00625$\pm$0.0039,0.95$\pm$0.26,0.248$\pm$0.12,0.00017$\pm$0.000088,1,1,1,1,1,1,1,1,1,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.397$\pm$0.26,0$\pm$0,0.397$\pm$0.26,0$\pm$0,0$\pm$0,0,0,0,0,0,1,0,1,0,0
Other products to Export,5.26$\pm$2.4,4.99$\pm$2.3,182$\pm$85,106$\pm$49,0$\pm$0,42.4$\pm$20,0.0193$\pm$0.0091,340$\pm$100,10.2$\pm$3.4,0.106$\pm$0.049,2,2,6,6,0,4,1,6,4,6
Other products to Fresh water,0.00478$\pm$0.0031,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00478$\pm$0.0031,0.00478$\pm$0.0031,0$\pm$0,1,0,0,0,0,0,0,1,1,0
