Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,78400$\pm$33000,0$\pm$0,212000$\pm$89000,237000$\pm$73000,528000$\pm$120000,0$\pm$0,78.4$\pm$33,0,0,0,10,0,10,10,10,0,10
Production to Pre-consumer processes,960000$\pm$120000,375000$\pm$46000,873000$\pm$110000,10600$\pm$1400,374000$\pm$45000,0$\pm$0,0$\pm$0,2590000$\pm$170000,1330000$\pm$130000,384$\pm$45,10,10,10,10,10,0,0,10,10,10
Pre-consumer processes to Waste collection and recycling,46400$\pm$26000,18100$\pm$9900,54600$\pm$20000,3930$\pm$2800,17800$\pm$10000,9270$\pm$7200,15000$\pm$6700,165000$\pm$38000,64500$\pm$28000,21.8$\pm$10,10,10,10,8,10,8,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),13.8$\pm$8.5,5.81$\pm$3.4,32.9$\pm$16,0.209$\pm$0.11,5.31$\pm$3.3,0.157$\pm$0.13,9.95$\pm$7.3,68.1$\pm$20,19.6$\pm$9.2,0.00552$\pm$0.0033,4,2,4,1,2,1,2,4,4,2
Pre-consumer processes to ExcludedFlow,913000$\pm$110000,357000$\pm$45000,818000$\pm$100000,85000$\pm$31000,356000$\pm$44000,203000$\pm$85000,222000$\pm$69000,2950000$\pm$200000,1270000$\pm$120000,441$\pm$54,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),108$\pm$47,42.3$\pm$18,98.4$\pm$40,4.43$\pm$3.3,42.5$\pm$19,8.93$\pm$8.3,6.46$\pm$6,311$\pm$68,150$\pm$51,0.047$\pm$0.019,6,4,4,2,4,2,2,6,6,4
Pre-consumer processes to Fresh water (MP),1.05$\pm$0.2,0.41$\pm$0.079,0.943$\pm$0.18,0.0167$\pm$0.0033,0.407$\pm$0.078,0.014$\pm$0.0063,0.0103$\pm$0.0046,2.85$\pm$0.3,1.46$\pm$0.22,0.000424$\pm$0.000078,2,1,1,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,32500$\pm$14000,71100$\pm$30000,105000$\pm$44000,25300$\pm$11000,4180$\pm$1800,9980$\pm$4100,85800$\pm$38000,334000$\pm$68000,104000$\pm$33000,29.4$\pm$11,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,3200$\pm$2000,5960$\pm$3100,11900$\pm$6600,1790$\pm$1000,0$\pm$0,1420$\pm$750,32300$\pm$19000,56600$\pm$20000,9170$\pm$3700,2$\pm$1,8,8,10,8,0,8,10,10,8,8
Consumer packaging to Dumping,18.2$\pm$10,39$\pm$21,59.3$\pm$32,13.6$\pm$8.4,2.11$\pm$1.4,5.77$\pm$3.2,59.7$\pm$33,198$\pm$52,57.3$\pm$23,0.0158$\pm$0.0085,4,4,4,4,2,2,4,6,4,4
