Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,1830$\pm$750,239000$\pm$89000,45200$\pm$19000,56500$\pm$23000,0$\pm$0,150000$\pm$47000,493000$\pm$100000,1830$\pm$750,102$\pm$30,0,8,10,10,10,0,10,10,8,10
Production to Pre-consumer processes,180000$\pm$22000,156000$\pm$19000,175$\pm$21,11400$\pm$1400,0$\pm$0,286000$\pm$35000,13.2$\pm$1.7,634000$\pm$46000,336000$\pm$29000,11.4$\pm$1.4,10,10,6,10,0,10,4,10,10,10
Pre-consumer processes to Waste collection and recycling,8670$\pm$4800,7640$\pm$4200,12000$\pm$7300,2530$\pm$1700,2470$\pm$1900,13700$\pm$7600,9500$\pm$4200,56500$\pm$13000,16300$\pm$6400,5$\pm$2.6,8,8,10,8,8,10,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.59$\pm$1.6,2.4$\pm$1.4,3.23$\pm$2.3,0.196$\pm$0.11,0.0428$\pm$0.035,4.11$\pm$2.5,6.28$\pm$4.6,18.8$\pm$6.1,4.99$\pm$2.1,0.000239$\pm$0.00011,2,2,2,1,1,2,2,4,2,1
Pre-consumer processes to ExcludedFlow,171000$\pm$21000,150000$\pm$19000,227000$\pm$85000,54100$\pm$18000,54100$\pm$22000,272000$\pm$34000,141000$\pm$44000,1070000$\pm$110000,321000$\pm$28000,108$\pm$29,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),20.6$\pm$9,17.7$\pm$7.7,8.94$\pm$8.2,3.15$\pm$2.1,2.35$\pm$2.2,32.4$\pm$14,4.08$\pm$3.8,89.2$\pm$21,38.3$\pm$12,0.0055$\pm$0.003,4,4,2,2,2,4,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.197$\pm$0.038,0.17$\pm$0.033,0.0143$\pm$0.0064,0.0154$\pm$0.0028,0.00372$\pm$0.0017,0.311$\pm$0.06,0.00651$\pm$0.003,0.719$\pm$0.079,0.367$\pm$0.05,0.0000191$\pm$0.0000032,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,20800$\pm$8900,45200$\pm$19000,66200$\pm$28000,16200$\pm$6800,2640$\pm$1100,6350$\pm$2600,54300$\pm$24000,212000$\pm$43000,65900$\pm$21000,18.8$\pm$6.8,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,2050$\pm$1300,3830$\pm$2100,7500$\pm$4100,1150$\pm$640,0$\pm$0,902$\pm$480,20300$\pm$12000,35700$\pm$13000,5880$\pm$2400,1.15$\pm$0.64,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,22.2$\pm$13,46.8$\pm$25,70.6$\pm$38,16.4$\pm$10,2.51$\pm$1.6,6.94$\pm$3.8,71.3$\pm$39,237$\pm$63,69$\pm$28,0.0189$\pm$0.01,4,4,4,4,2,2,4,6,4,4
