Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,0$\pm$0,111000$\pm$41000,33800$\pm$14000,33500$\pm$14000,0$\pm$0,90000$\pm$28000,268000$\pm$53000,0$\pm$0,67.3$\pm$20,0,0,10,10,10,0,10,10,0,10
Production to Pre-consumer processes,199000$\pm$24000,336000$\pm$41000,32100$\pm$3900,25.4$\pm$3.1,0$\pm$0,271000$\pm$33000,0$\pm$0,837000$\pm$58000,535000$\pm$48000,0.0254$\pm$0.0031,10,10,10,4,0,10,0,10,10,4
Pre-consumer processes to Waste collection and recycling,9530$\pm$5300,16400$\pm$8900,7510$\pm$3900,1480$\pm$1100,1450$\pm$1100,13000$\pm$7200,5690$\pm$2600,55000$\pm$14000,25900$\pm$10000,2.93$\pm$1.6,8,10,8,8,8,10,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.86$\pm$1.8,5.24$\pm$3,2.71$\pm$1.5,0.0255$\pm$0.021,0.0249$\pm$0.021,3.9$\pm$2.4,3.78$\pm$2.8,18.5$\pm$5.3,8.09$\pm$3.5,0.0000504$\pm$0.000029,2,2,2,1,1,2,2,4,2,1
Pre-consumer processes to ExcludedFlow,189000$\pm$24000,319000$\pm$40000,135000$\pm$40000,32300$\pm$14000,32100$\pm$13000,258000$\pm$32000,84300$\pm$27000,1050000$\pm$76000,509000$\pm$46000,64.4$\pm$19,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),22.5$\pm$9.9,37.7$\pm$16,7.77$\pm$4.7,1.41$\pm$1.3,1.39$\pm$1.3,30.6$\pm$13,2.43$\pm$2.3,104$\pm$24,60.2$\pm$19,0.0028$\pm$0.0019,4,4,2,2,2,4,2,6,4,2
Pre-consumer processes to Fresh water (MP),0.217$\pm$0.043,0.366$\pm$0.072,0.0414$\pm$0.0074,0.00225$\pm$0.001,0.00221$\pm$0.001,0.296$\pm$0.057,0.00389$\pm$0.0018,0.928$\pm$0.1,0.583$\pm$0.084,0.00000447$\pm$0.0000014,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,12400$\pm$5300,27100$\pm$11000,39800$\pm$17000,9610$\pm$4000,1590$\pm$670,3800$\pm$1600,32600$\pm$14000,127000$\pm$26000,39500$\pm$13000,11.2$\pm$4.1,10,10,10,8,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1220$\pm$730,2280$\pm$1200,4510$\pm$2500,684$\pm$390,0$\pm$0,541$\pm$290,12200$\pm$7100,21400$\pm$7700,3510$\pm$1400,0.684$\pm$0.39,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,8.27$\pm$4.8,17.4$\pm$9.4,26.5$\pm$14,6.12$\pm$3.7,0.945$\pm$0.61,2.62$\pm$1.4,26.5$\pm$14,88.4$\pm$23,25.7$\pm$10,0.00706$\pm$0.0038,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,354$\pm$170,324$\pm$150,666$\pm$310,79.4$\pm$37,9.49$\pm$4.7,64.7$\pm$30,313$\pm$140,1810$\pm$410,678$\pm$230,0.0889$\pm$0.037,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,20800$\pm$8700,19400$\pm$8200,15000$\pm$6300,4660$\pm$2000,2080$\pm$870,122$\pm$52,12500$\pm$5300,74600$\pm$15000,40300$\pm$12000,6.74$\pm$2.2,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,238$\pm$190,222$\pm$160,172$\pm$110,53.5$\pm$42,23.9$\pm$18,1$\pm$1,141$\pm$110,852$\pm$290,460$\pm$250,0.0774$\pm$0.045,6,6,6,4,4,2,6,6,6,4
Non-consumer packaging to Dumping,12.5$\pm$8,11.7$\pm$7.3,8.93$\pm$4.9,2.77$\pm$1.8,1.24$\pm$0.8,0.0728$\pm$0.046,7.47$\pm$4.7,44.7$\pm$13,24.2$\pm$11,0.00401$\pm$0.002,4,4,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,9340$\pm$2800,25900$\pm$11000,13900$\pm$4900,0$\pm$0,28400$\pm$12000,52600$\pm$22000,3280$\pm$1400,133000$\pm$28000,35200$\pm$11000,28.4$\pm$12,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.0299$\pm$0.014,0.35$\pm$0.2,3.26$\pm$3.2,0$\pm$0,0$\pm$0,0.115$\pm$0.053,2.05$\pm$2.1,5.81$\pm$3.8,0.38$\pm$0.2,0$\pm$0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,59.2$\pm$46,2.03$\pm$1.6,0$\pm$0,0$\pm$0,326$\pm$250,175$\pm$120,0$\pm$0,562$\pm$280,61.2$\pm$46,0.326$\pm$0.25,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0$\pm$0,1.48$\pm$1.2,28.8$\pm$21,0$\pm$0,0$\pm$0,0$\pm$0,37.3$\pm$28,67.5$\pm$35,1.48$\pm$1.2,0$\pm$0,0,2,4,0,0,0,4,4,2,0
