Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,13200$\pm$5500,18900$\pm$7800,28400$\pm$11000,6740$\pm$2800,6690$\pm$2800,16200$\pm$6800,18200$\pm$5600,108000$\pm$17000,32100$\pm$9500,13.4$\pm$4,10,10,10,8,8,10,10,10,10,10
Production to Pre-consumer processes,261$\pm$33,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,261$\pm$33,261$\pm$33,0$\pm$0,6,0,0,0,0,0,0,6,6,0
Pre-consumer processes to Waste collection and recycling,589$\pm$450,843$\pm$630,1420$\pm$870,297$\pm$230,298$\pm$220,711$\pm$540,1150$\pm$510,5310$\pm$1400,1430$\pm$770,0.595$\pm$0.32,6,6,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.0139$\pm$0.0087,0.0399$\pm$0.023,0.385$\pm$0.27,0.00501$\pm$0.0042,0.00493$\pm$0.0041,0.0121$\pm$0.01,0.754$\pm$0.56,1.21$\pm$0.63,0.0538$\pm$0.024,0.00000994$\pm$0.0000058,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,12900$\pm$5300,18000$\pm$7500,27000$\pm$10000,6450$\pm$2700,6400$\pm$2700,15500$\pm$6500,17000$\pm$5300,103000$\pm$16000,30900$\pm$9100,12.8$\pm$3.8,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.58$\pm$0.52,0.766$\pm$0.71,1.06$\pm$0.97,0.278$\pm$0.26,0.282$\pm$0.26,0.662$\pm$0.62,0.505$\pm$0.46,4.13$\pm$1.6,1.35$\pm$0.89,0.00056$\pm$0.00037,1,1,2,1,1,1,1,2,2,1
Pre-consumer processes to Fresh water (MP),0.00116$\pm$0.0004,0.00123$\pm$0.00056,0.00167$\pm$0.00075,0.000445$\pm$0.0002,0.000443$\pm$0.0002,0.00107$\pm$0.00049,0.000787$\pm$0.00035,0.0068$\pm$0.0012,0.00239$\pm$0.00069,0.000000888$\pm$0.00000029,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2490$\pm$1100,5400$\pm$2300,7890$\pm$3300,1930$\pm$810,319$\pm$130,760$\pm$320,6510$\pm$2900,25300$\pm$5100,7890$\pm$2500,2.25$\pm$0.82,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,245$\pm$150,453$\pm$240,893$\pm$500,138$\pm$78,0$\pm$0,108$\pm$59,2450$\pm$1400,4290$\pm$1600,698$\pm$280,0.138$\pm$0.078,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,1.66$\pm$0.96,3.5$\pm$1.9,5.27$\pm$2.8,1.22$\pm$0.76,0.19$\pm$0.12,0.519$\pm$0.28,5.37$\pm$2.9,17.7$\pm$4.6,5.17$\pm$2.1,0.00141$\pm$0.00077,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,68.4$\pm$33,62$\pm$28,128$\pm$60,15.3$\pm$7.1,1.84$\pm$0.92,12.5$\pm$5.9,60.1$\pm$27,348$\pm$79,130$\pm$44,0.0172$\pm$0.0071,4,4,6,4,2,4,4,6,6,4
Non-consumer packaging to Waste collection and recycling,4160$\pm$1700,3850$\pm$1600,2970$\pm$1200,933$\pm$400,415$\pm$170,24.4$\pm$11,2480$\pm$1000,14800$\pm$2900,8010$\pm$2400,1.35$\pm$0.43,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Litter,68$\pm$52,62.5$\pm$47,48.7$\pm$30,15.3$\pm$12,6.65$\pm$5.2,0.397$\pm$0.29,40.2$\pm$30,242$\pm$83,131$\pm$71,0.0219$\pm$0.013,4,4,4,4,2,1,4,6,6,4
Non-consumer packaging to Dumping,2.49$\pm$1.6,2.31$\pm$1.4,1.78$\pm$0.97,0.562$\pm$0.36,0.247$\pm$0.16,0.0147$\pm$0.0093,1.49$\pm$0.96,8.9$\pm$2.6,4.8$\pm$2.2,0.000809$\pm$0.0004,2,2,2,1,1,1,2,2,2,1
Construction to Waste collection and recycling,1860$\pm$560,5140$\pm$2100,2760$\pm$980,0$\pm$0,5600$\pm$2400,10500$\pm$4300,650$\pm$280,26500$\pm$5500,7000$\pm$2200,5.6$\pm$2.4,8,8,8,0,8,10,6,10,8,8
Construction to Soil (MP),0.00599$\pm$0.0027,0.071$\pm$0.042,0.654$\pm$0.63,0$\pm$0,0$\pm$0,0.023$\pm$0.011,0.41$\pm$0.4,1.16$\pm$0.76,0.077$\pm$0.042,0$\pm$0,1,1,1,0,0,1,1,2,1,0
Construction to UnintendedCDWaste,16.8$\pm$13,0.576$\pm$0.45,0$\pm$0,0$\pm$0,90.8$\pm$70,49.2$\pm$34,0$\pm$0,157$\pm$78,17.3$\pm$13,0.0908$\pm$0.07,4,1,0,0,4,4,0,6,4,4
Construction to Soil,0$\pm$0,0.424$\pm$0.36,8.09$\pm$5.9,0$\pm$0,0$\pm$0,0$\pm$0,10.5$\pm$7.9,19$\pm$9.8,0.424$\pm$0.36,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Construction to Indoor air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,2.56$\pm$1.6,0$\pm$0,2.56$\pm$1.6,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.569$\pm$0.27,0$\pm$0,0$\pm$0,0.569$\pm$0.27,0$\pm$0,0.000569$\pm$0.00027,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,264$\pm$110,699$\pm$280,3190$\pm$1200,119$\pm$50,0$\pm$0,861$\pm$360,593$\pm$250,5730$\pm$1300,963$\pm$300,0.119$\pm$0.05,6,6,8,6,0,6,6,8,6,6
Automotive to Soil,0.174$\pm$0.09,0.589$\pm$0.3,2.77$\pm$1.4,0.00366$\pm$0.0019,0$\pm$0,0.196$\pm$0.1,0.00013$\pm$0.000067,3.73$\pm$1.5,0.763$\pm$0.31,0.00000366$\pm$0.0000019,1,1,2,1,0,1,1,2,1,1
Automotive to Export,35.2$\pm$16,93.3$\pm$41,425$\pm$170,15.8$\pm$7.1,0$\pm$0,115$\pm$52,79.3$\pm$36,764$\pm$180,128$\pm$43,0.0158$\pm$0.0071,4,4,6,4,0,6,4,6,6,4
Agriculture to Waste collection and recycling,1520$\pm$500,140$\pm$44,687$\pm$210,2.87$\pm$1.2,0$\pm$0,27.7$\pm$11,63$\pm$27,2440$\pm$550,1660$\pm$500,0.00287$\pm$0.0012,8,6,6,2,0,4,4,8,8,2
Agriculture to Dumping,0.948$\pm$0.47,0.086$\pm$0.039,0.42$\pm$0.19,0.00174$\pm$0.0011,0$\pm$0,0.0171$\pm$0.0086,0.0386$\pm$0.025,1.51$\pm$0.51,1.03$\pm$0.47,0.00000174$\pm$0.0000011,1,1,1,1,0,1,1,2,2,1
Agriculture to Organic waste collection,43.9$\pm$17,1.87$\pm$0.82,19.8$\pm$7.1,0.0169$\pm$0.0083,0$\pm$0,0.328$\pm$0.15,1.85$\pm$0.93,67.8$\pm$18,45.8$\pm$17,0.0000169$\pm$0.0000083,4,2,4,1,0,1,2,4,4,1
Agriculture to Soil (MP),29$\pm$15,0.537$\pm$0.49,4.73$\pm$3.8,0.00296$\pm$0.0018,0$\pm$0,0.206$\pm$0.1,0.798$\pm$0.64,35.3$\pm$15,29.6$\pm$15,0.00000296$\pm$0.0000018,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,3.52$\pm$1.8,1.48$\pm$0.89,0.84$\pm$0.35,0.0604$\pm$0.041,0$\pm$0,0.559$\pm$0.34,0.0401$\pm$0.028,6.5$\pm$2.1,5$\pm$2.1,0.0000604$\pm$0.000041,2,2,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0$\pm$0,70.3$\pm$47,99$\pm$64,0$\pm$0,0$\pm$0,0$\pm$0,146$\pm$85,315$\pm$130,70.3$\pm$47,0$\pm$0,0,4,4,0,0,0,6,6,4,0
Hygiene products to Storm water and wastewater,0$\pm$0,39.8$\pm$28,42.9$\pm$29,0$\pm$0,0$\pm$0,0$\pm$0,40.6$\pm$31,123$\pm$56,39.8$\pm$28,0$\pm$0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Dumping,0$\pm$0,0.0649$\pm$0.045,0.0839$\pm$0.059,0$\pm$0,0$\pm$0,0$\pm$0,0.111$\pm$0.073,0.259$\pm$0.11,0.0649$\pm$0.045,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,0.0341$\pm$0.027,0.0000815$\pm$0.000066,0$\pm$0,0$\pm$0,0$\pm$0,0.000174$\pm$0.00014,0.0343$\pm$0.027,0.0341$\pm$0.027,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0$\pm$0,0.646$\pm$0.42,0.00155$\pm$0.001,0$\pm$0,0$\pm$0,0$\pm$0,0.00336$\pm$0.0021,0.651$\pm$0.42,0.646$\pm$0.42,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0$\pm$0,20.1$\pm$14,529$\pm$240,0$\pm$0,0$\pm$0,0$\pm$0,2790$\pm$980,3330$\pm$1000,20.1$\pm$14,0$\pm$0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.157$\pm$0.11,4.11$\pm$1.9,0$\pm$0,0$\pm$0,0$\pm$0,21.7$\pm$8,25.9$\pm$8.3,0.157$\pm$0.11,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0$\pm$0,0.012$\pm$0.011,0.313$\pm$0.19,0$\pm$0,0$\pm$0,0$\pm$0,1.64$\pm$0.84,1.97$\pm$0.86,0.012$\pm$0.011,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.0581$\pm$0.069,1.53$\pm$1.5,0$\pm$0,0$\pm$0,0$\pm$0,7.99$\pm$7,9.58$\pm$8.2,0.0581$\pm$0.069,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Air (MP),0$\pm$0,0.0244$\pm$0.025,0.634$\pm$0.5,0$\pm$0,0$\pm$0,0$\pm$0,3.35$\pm$2.4,4$\pm$2.8,0.0244$\pm$0.025,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0$\pm$0,2.87$\pm$1.5,415$\pm$140,0$\pm$0,0$\pm$0,0$\pm$0,1270$\pm$390,1690$\pm$410,2.87$\pm$1.5,0$\pm$0,0,2,6,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.00179$\pm$0.00097,0.258$\pm$0.089,0$\pm$0,0$\pm$0,0$\pm$0,0.792$\pm$0.25,1.05$\pm$0.28,0.00179$\pm$0.00097,0$\pm$0,0,1,1,0,0,0,1,2,1,0
Household textiles to Dumping,0$\pm$0,0.0017$\pm$0.0012,0.245$\pm$0.12,0$\pm$0,0$\pm$0,0$\pm$0,0.752$\pm$0.35,0.999$\pm$0.37,0.0017$\pm$0.0012,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.00507$\pm$0.0052,0.738$\pm$0.66,0$\pm$0,0$\pm$0,0$\pm$0,2.25$\pm$2,3$\pm$2.5,0.00507$\pm$0.0052,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Household textiles to Air (MP),0$\pm$0,0.000254$\pm$0.00023,0.0367$\pm$0.028,0$\pm$0,0$\pm$0,0$\pm$0,0.113$\pm$0.083,0.15$\pm$0.11,0.000254$\pm$0.00023,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,2730$\pm$1100,2710$\pm$1100,8270$\pm$2700,3520$\pm$1200,219$\pm$92,3760$\pm$1400,803$\pm$440,22000$\pm$3600,5440$\pm$1600,3.74$\pm$1.2,8,8,8,8,6,8,6,10,8,8
