Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0$\pm$0,48200$\pm$20000,0$\pm$0,17500$\pm$7300,6470$\pm$2700,12100$\pm$5000,46600$\pm$14000,131000$\pm$26000,48200$\pm$20000,24$\pm$7.7,0,10,0,10,8,10,10,10,10,10
Production to Pre-consumer processes,223000$\pm$29000,48.1$\pm$5.9,341000$\pm$41000,5.16$\pm$0.63,10800$\pm$1300,29800$\pm$3800,0$\pm$0,604000$\pm$51000,223000$\pm$29000,10.8$\pm$1.3,10,4,10,2,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,10700$\pm$6000,2180$\pm$1600,21200$\pm$7800,774$\pm$590,801$\pm$470,1960$\pm$1100,2950$\pm$1300,40600$\pm$10000,12900$\pm$6200,1.57$\pm$0.75,10,8,10,6,6,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),3.23$\pm$2,0.102$\pm$0.057,12.9$\pm$6.2,0.0132$\pm$0.011,0.159$\pm$0.095,0.434$\pm$0.27,1.95$\pm$1.4,18.8$\pm$6.7,3.33$\pm$2,0.000172$\pm$0.000096,2,1,4,1,1,1,2,4,2,1
Pre-consumer processes to ExcludedFlow,212000$\pm$28000,46100$\pm$19000,319000$\pm$40000,16700$\pm$7000,16500$\pm$2900,39900$\pm$6100,43600$\pm$14000,694000$\pm$55000,258000$\pm$34000,33.2$\pm$7.5,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),25.2$\pm$11,2$\pm$1.9,38.8$\pm$16,0.717$\pm$0.67,1.49$\pm$0.69,3.84$\pm$1.8,1.26$\pm$1.2,73.2$\pm$20,27.2$\pm$11,0.00221$\pm$0.00096,4,2,4,1,2,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.243$\pm$0.048,0.0032$\pm$0.0014,0.368$\pm$0.071,0.00116$\pm$0.00052,0.0122$\pm$0.0023,0.0333$\pm$0.0064,0.00201$\pm$0.00091,0.663$\pm$0.087,0.246$\pm$0.048,0.0000134$\pm$0.0000024,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,6460$\pm$2700,14000$\pm$5900,20600$\pm$8600,4990$\pm$2100,817$\pm$350,1960$\pm$830,16800$\pm$7500,65600$\pm$13000,20500$\pm$6500,5.81$\pm$2.1,8,10,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,632$\pm$380,1180$\pm$630,2340$\pm$1300,354$\pm$200,0$\pm$0,277$\pm$150,6230$\pm$3800,11000$\pm$4100,1810$\pm$740,0.354$\pm$0.2,6,8,8,6,0,6,8,10,8,6
Consumer packaging to Dumping,6.7$\pm$3.8,14.2$\pm$7.6,21.5$\pm$11,4.96$\pm$3,0.761$\pm$0.49,2.1$\pm$1.2,21.5$\pm$12,71.7$\pm$19,20.9$\pm$8.5,0.00572$\pm$0.0031,2,4,4,2,1,2,4,4,4,2
