Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,494000$\pm$200000,730000$\pm$300000,863000$\pm$320000,267000$\pm$110000,247000$\pm$100000,480000$\pm$200000,642000$\pm$200000,3720000$\pm$580000,1220000$\pm$360000,514$\pm$150,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,50000$\pm$6500,18600$\pm$2400,278000$\pm$35000,3030$\pm$390,19600$\pm$2500,164000$\pm$21000,76000$\pm$9700,609000$\pm$43000,68600$\pm$6900,22.6$\pm$2.5,10,10,10,8,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,24300$\pm$17000,33800$\pm$25000,60500$\pm$31000,11800$\pm$8900,11700$\pm$8700,28600$\pm$19000,45100$\pm$19000,216000$\pm$53000,58100$\pm$30000,23.6$\pm$13,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),1.26$\pm$0.56,2$\pm$1,22.2$\pm$12,0.242$\pm$0.17,0.464$\pm$0.24,2.72$\pm$1.5,29.3$\pm$21,58.2$\pm$24,3.27$\pm$1.2,0.000706$\pm$0.00029,2,2,4,1,1,2,4,4,2,1
Pre-consumer processes to ExcludedFlow,520000$\pm$190000,714000$\pm$290000,1080000$\pm$310000,258000$\pm$110000,255000$\pm$100000,615000$\pm$190000,673000$\pm$190000,4120000$\pm$560000,1230000$\pm$350000,513$\pm$150,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),26.2$\pm$20,32.1$\pm$28,63.7$\pm$37,11.6$\pm$11,12.4$\pm$10,38.5$\pm$24,26$\pm$18,211$\pm$61,58.4$\pm$35,0.024$\pm$0.015,4,4,4,4,4,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.087$\pm$0.018,0.0679$\pm$0.022,0.351$\pm$0.064,0.021$\pm$0.0081,0.0377$\pm$0.0087,0.211$\pm$0.038,0.11$\pm$0.021,0.886$\pm$0.083,0.155$\pm$0.029,0.0000587$\pm$0.000012,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,99700$\pm$42000,217000$\pm$91000,317000$\pm$130000,76500$\pm$32000,12500$\pm$5300,30200$\pm$13000,258000$\pm$120000,1010000$\pm$210000,317000$\pm$100000,89$\pm$33,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,9780$\pm$5900,18200$\pm$9700,35900$\pm$20000,5430$\pm$3100,0$\pm$0,4250$\pm$2300,95800$\pm$57000,169000$\pm$61000,27900$\pm$11000,5.43$\pm$3.1,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,139$\pm$80,295$\pm$160,443$\pm$240,102$\pm$64,15.6$\pm$10,43.4$\pm$24,444$\pm$240,1480$\pm$390,434$\pm$170,0.118$\pm$0.065,6,6,6,6,4,4,6,8,6,6
