Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,80959.43,113554.72,170833.77,40803.45,40424.77,96988.36,108452.04,652016.54,194514.15,81228.22,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,3571.35,5081.58,8481.09,1791.22,1784.55,4199.89,6861.71,31771.39,8652.93,3575.78,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.06,0.24,2.32,0.03,0.03,0.07,4.57,7.32,0.3,0.06,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,77384.63,108468.3,162344.03,39010.52,38638.51,92784.4,101582.81,620213.19,185852.94,77649.02,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.37,4.6,6.32,1.68,1.68,4,2.95,24.59,7.97,3.36,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.01,0.01,0.01,0,0,0.01,0,0.04,0.01,0.01,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,14503.68,32252.17,46856.3,11557.39,1901.77,4536.94,38613.64,150221.89,46755.85,13459.15,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1468.9,2749.57,5411.69,823.96,0,649.74,14553.95,25657.82,4218.47,823.96,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,8.33,17.83,26.84,6.25,0.95,2.65,26.8,89.64,26.16,7.2,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,907.83,826.63,1696.25,204.14,24.29,167.35,790.2,4616.69,1734.46,228.43,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,25127.97,23412.31,18029.74,5645.91,2513.54,148.52,14913.07,89791.06,48540.28,8159.45,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,307.34,288.67,221.01,69.28,30.79,1.82,182.99,1101.89,596.01,100.07,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,12.65,11.74,9.11,2.84,1.27,0.08,7.51,45.2,24.39,4.11,4,4,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,11287.18,30844.44,16728.9,0,33804.55,62986.65,3982.35,159634.07,42131.62,33804.55,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.04,0.46,3.93,0,0,0.14,2.52,7.08,0.49,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,77.15,2.61,0,0,410.43,222.22,0,712.42,79.76,410.43,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0,2.24,37.18,0,0,0,48.89,88.31,2.24,0,0,2,4,0,0,0,4,4,2,0
Construction to Indoor air (MP),0,0,0,0,0,15.36,0,15.36,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,3.41,0,0,3.41,0,3.41,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1800.61,4784.8,21879.08,810.48,0,5881.29,4107.3,39263.57,6585.42,810.48,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.04,3.55,16.78,0.02,0,1.17,0,22.57,4.59,0.02,2,2,4,1,0,2,1,4,2,1
Agriculture to Waste collection and recycling,8932.54,873.19,3995.69,17.08,0,162.62,370.29,14351.39,9805.72,17.08,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,4.84,0.45,2.13,0.01,0,0.09,0.2,7.71,5.29,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,592.02,27.42,263.17,0.22,0,4.31,24.92,912.05,619.44,0.22,6,4,6,1,0,2,4,6,6,1
Agriculture to Soil (MP),176.64,3.74,28.66,0.02,0,1.22,4.88,215.16,180.38,0.02,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,21.29,8.84,5.05,0.37,0,3.34,0.25,39.12,30.12,0.37,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,315.54,434.99,0,0,0,664.06,1414.59,315.54,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,179.89,189.71,0,0,0,176.19,545.79,179.89,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.24,0.31,0,0,0,0.42,0.97,0.24,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.2,0,0,0,0,0,0.2,0.2,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,3.85,0.01,0,0,0,0.02,3.88,3.85,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,141.93,3203.12,0,0,0,16779.98,20125.04,141.93,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.1,24.87,0,0,0,130.32,156.29,1.1,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,0.07,1.6,0,0,0,8.33,9.99,0.07,0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.4,9.16,0,0,0,48.14,57.7,0.4,0,0,1,2,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.17,3.83,0,0,0,20.15,24.15,0.17,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,19.84,2500.73,0,0,0,7683.96,10204.53,19.84,0,0,4,8,0,0,0,8,10,4,0
Household textiles to Storm water and wastewater (MP),0,0.01,1.56,0,0,0,4.78,6.35,0.01,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Dumping,0,0.01,1.25,0,0,0,3.83,5.09,0.01,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0,0.04,4.43,0,0,0,13.62,18.08,0.04,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Air (MP),0,0,0.22,0,0,0,0.68,0.9,0,0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,16354.73,16160.63,46181.64,19098.68,1319.96,21821.65,5189.16,126126.45,32515.36,20418.64,10,10,10,10,8,10,8,10,10,10
Other products to Storm water and wastewater (MP),0,0,0,0,0,12.68,0,12.68,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,8.17,8.06,23.2,10.57,0.66,11.24,2.26,64.17,16.23,11.23,2,2,4,4,1,4,2,4,4,4
Other products to Organic waste collection,19.68,46.56,53.42,37.58,8.06,34.18,1.66,201.12,66.23,45.64,4,4,4,4,2,4,2,6,4,4
Other products to Soil (MP),0,0,0,0,0,8.45,0,8.45,0,0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.63,0,0,0,0,0,0,0.63,0.63,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),1.56,3.68,4.21,2.98,0.64,6.96,0.13,20.17,5.25,3.62,2,2,2,2,1,2,1,4,2,2
Other products to Air (MP),0,0,0,0,0,8.46,0,8.46,0,0,0,0,0,0,0,2,0,2,0,0
