Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,0,0,0,0,131068.81,146022.05,277090.85,0,0,0,0,0,0,0,10,10,10,0,0
Production to Pre-consumer processes,752417.08,1134817.35,2407033.12,526594.68,118809.91,0,0,4939672.14,1887234.43,645404.59,10,10,10,10,10,0,0,10,10,10
Pre-consumer processes to Waste collection and recycling,35723.8,55340.33,150907.98,25169.88,5656.46,5830.91,9257.28,287886.63,91064.12,30826.33,10,10,10,10,8,8,8,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),10.81,17.66,91.24,7.56,1.72,0.1,6.13,135.2,28.46,9.27,4,4,4,2,2,1,2,6,4,2
Pre-consumer processes to ExcludedFlow,716595.98,1079329.67,2255757.93,501356.93,113138.28,125232.36,136754.67,4928165.82,1795925.65,614495.21,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),85.68,128.46,273.36,59.74,13.34,5.43,3.96,569.96,214.14,73.07,4,6,6,4,4,2,2,6,6,4
Pre-consumer processes to Fresh water (MP),0.82,1.24,2.6,0.58,0.13,0.01,0.01,5.38,2.06,0.7,1,2,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,19618.69,43502.1,63649.23,15516.61,2572.64,6058.47,52357.55,203275.28,63120.79,18089.24,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1982.39,3698.62,7271.12,1111.97,0,874.92,19667.36,34606.36,5681,1111.97,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,14.21,29.97,45.69,10.51,1.62,4.49,45.49,151.97,44.18,12.13,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,1064.04,973.07,2003.14,239.96,28.68,194.45,937.87,5441.21,2037.12,268.64,8,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,33046.26,30888.06,23894.03,7447.55,3329.66,194.14,19780.54,118580.25,63934.32,10777.21,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,1051.68,986.39,758.58,233.62,106.24,6.14,620.42,3763.07,2038.07,339.86,8,6,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,21.2,20.08,15.42,4.78,2.15,0.13,12.73,76.49,41.28,6.93,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,14974.56,41384.83,22510.79,0,45169.02,84100.63,5246.88,213386.7,56359.38,45169.02,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.05,0.62,5.3,0,0,0.19,3.33,9.48,0.67,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,259.33,8.94,0,0,1423.42,745.77,0,2437.47,268.27,1423.42,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0,7.82,124.91,0,0,0,165.25,297.99,7.82,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,20.78,0,20.78,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,4.65,0,0,4.65,0,4.65,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2131.9,5607.72,25639.93,950.93,0,6889.36,4780.37,46000.21,7739.61,950.93,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.42,4.75,22.69,0.03,0,1.58,0,30.47,6.17,0.03,2,2,4,1,0,2,1,4,2,1
Automotive to Export,322.86,852.17,3886.47,144.56,0,1045.51,725.04,6976.62,1175.03,144.56,6,6,8,6,0,8,6,8,8,6
Agriculture to Waste collection and recycling,12061.67,1190.58,5425.28,23.04,0,220.53,501.94,19423.03,13252.25,23.04,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,8.07,0.78,3.6,0.01,0,0.15,0.34,12.95,8.85,0.01,2,1,2,1,0,1,1,4,2,1
Agriculture to Organic waste collection,688.36,32.96,309.12,0.26,0,5.1,29.15,1064.94,721.32,0.26,6,4,6,1,0,2,4,8,6,1
Agriculture to Soil (MP),236.98,5.28,38.48,0.02,0,1.66,6.57,289,242.26,0.02,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,28.34,11.97,6.83,0.49,0,4.54,0.33,52.49,40.31,0.49,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,404.29,555.1,0,0,0,841.16,1800.55,404.29,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,229.2,242.57,0,0,0,228.49,700.27,229.2,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.4,0.5,0,0,0,0.67,1.57,0.4,0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0,0.28,0,0,0,0,0,0.28,0.28,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,5.26,0.01,0,0,0,0.03,5.3,5.26,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,197.28,4299.24,0,0,0,22563.71,27060.23,197.28,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.53,33.43,0,0,0,175.35,210.31,1.53,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,0.12,2.7,0,0,0,14.12,16.94,0.12,0,0,1,2,0,0,0,4,4,1,0
Clothing to Indoor air (MP),0,0.57,12.35,0,0,0,64.61,77.53,0.57,0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.24,5.16,0,0,0,27.01,32.41,0.24,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,27.48,3356.29,0,0,0,10357.13,13740.91,27.48,0,0,4,8,0,0,0,10,10,4,0
Household textiles to Storm water and wastewater (MP),0,0.02,2.09,0,0,0,6.45,8.55,0.02,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Dumping,0,0.02,2.1,0,0,0,6.49,8.61,0.02,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0,0.05,5.94,0,0,0,18.31,24.3,0.05,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Air (MP),0,0,0.3,0,0,0,0.92,1.22,0,0,0,1,1,0,0,0,1,2,1,0
Other products to Waste collection and recycling,22188.22,22007.01,64097.94,26967.09,1792.09,29548.64,7043.84,173644.83,44195.23,28759.18,10,10,10,10,8,10,8,10,10,10
Other products to Storm water and wastewater (MP),0,0,0,0,0,16.94,0,16.94,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,14.01,13.82,39.32,18.09,1.13,19.01,3.79,109.16,27.83,19.21,4,4,4,4,2,4,2,6,4,4
Other products to Organic waste collection,23.15,55.19,63.08,44.59,9.54,39.44,1.96,236.95,78.34,54.13,4,4,4,4,2,4,2,6,4,4
Other products to Soil (MP),0,0,0,0,0,11.31,0,11.31,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,0.85,0,0,0,0,0,0,0.85,0.85,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),2.12,5,5.74,4.05,0.87,9.2,0.18,27.15,7.12,4.91,2,2,2,2,1,2,1,4,2,2
Other products to Air (MP),0,0,0,0,0,11.22,0,11.22,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Export,93.12,87.61,3277.54,1877.16,0,742.65,0.34,6078.42,180.73,1877.16,4,4,8,8,0,6,1,8,6,8
Other products to Fresh water,0.14,0,0,0,0,0,0,0.14,0.14,0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,48.98,48.95,22.04,0,0,0,0,119.98,97.94,0,4,4,4,0,0,0,0,6,4,0
Fishing gear to Fresh water (MP),0,0,0,0,0,0,0,0.01,0.01,0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,2.36,2.36,0.41,0,0,0,0,5.14,4.72,0,2,2,1,0,0,0,0,2,2,0
Fishing gear to Coastal and ocean water (MP),0.37,0.37,0.16,0,0,0,0,0.91,0.74,0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),33.63,85.82,347.12,14.85,0.09,105.03,3.7,590.24,119.45,14.94,4,4,6,4,1,6,2,6,6,4
Waste collection and recycling to Litter,453.77,1278.19,692.7,0,1373.22,2582.21,159.4,6539.51,1731.97,1373.22,6,8,6,0,8,8,6,8,8,8
Waste collection and recycling to Soil (MP),4.69,9.54,34.05,2.71,0.41,7.07,1.2,59.68,14.23,3.12,2,2,4,2,1,2,2,4,4,2
Waste collection and recycling to Soil,9.03,10.29,16.51,4.67,0.99,3.72,13.4,58.62,19.32,5.66,2,4,4,2,1,2,4,4,4,2
Waste collection and recycling to Air (MP),2.06,5.28,21.43,0.93,0,6.67,0,36.37,7.34,0.93,2,2,4,1,0,2,1,4,2,1
Waste collection and recycling to Landfill,3178.68,3985.58,6591.01,1732.06,330.55,1294.81,4003.62,21116.3,7164.25,2062.61,8,8,8,8,6,8,8,10,8,8
Waste collection and recycling to Reuse,34454.32,53503.47,133045.78,21023.08,4834.3,8031.79,27519.23,282411.98,87957.79,25857.38,10,10,10,10,8,8,10,10,10,10
Waste collection and recycling to End-of-life,105139.6,147168.66,232008.94,54623.39,54242.14,123869.14,121030.25,838082.11,252308.25,108865.52,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,13.49,155.47,164.86,3.72,1.18,0.95,166.02,505.69,168.96,4.9,4,6,6,2,2,1,6,6,6,2
Storm water and wastewater to Fresh water,3.05,5.09,5.41,0.83,0.27,0.21,7.63,22.49,8.14,1.1,2,2,2,1,1,1,2,4,2,2
Storm water and wastewater to End-of-life,5.73,71.68,75.61,1.55,0.49,0.39,76.24,231.7,77.41,2.04,2,4,4,2,1,1,4,6,4,2
Storm water and wastewater to Sludge amended soil,1.84,23.09,24.34,0.5,0.16,0.13,24.46,74.52,24.93,0.66,2,4,4,1,1,1,4,4,4,1
Storm water and wastewater (MP) to Soil (MP),7.52,16.65,61.61,4.14,0.58,13.57,23.43,127.51,24.17,4.72,2,4,4,2,1,4,4,6,4,2
Storm water and wastewater (MP) to Fresh water (MP),2.62,5.56,18.91,1.52,0.24,4.73,6.76,40.34,8.18,1.76,2,2,4,2,1,2,2,4,2,2
Storm water and wastewater (MP) to End-of-life,26.06,66.97,299.17,12.93,0.81,80.59,127.56,614.07,93.02,13.74,4,4,6,4,1,4,6,6,4,4
Storm water and wastewater (MP) to Sludge amended soil (MP),8.43,21.62,96.36,4.18,0.26,25.9,41.38,198.13,30.05,4.43,2,4,4,2,1,4,4,6,4,2
On-the-go consumption to Waste collection and recycling,1687.06,3147.6,6184.61,946.38,0,744.55,16737.43,29447.63,4834.67,946.38,8,8,8,6,0,6,10,10,8,6
On-the-go consumption to Litter,295.32,551.01,1086.51,165.59,0,130.36,2929.93,5158.72,846.34,165.59,6,6,8,6,0,6,8,8,6,6
Litter to Waste collection and recycling,1526.67,2133.21,2038.05,374.45,869.16,1568.04,3054.81,11564.39,3659.88,1243.61,8,8,8,6,6,8,8,10,8,8
Litter to Storm water and wastewater,24.11,26.13,27.65,6.6,2.1,1.68,45.87,134.13,50.24,8.7,4,4,4,2,2,2,4,6,4,2
Litter to Soil,304.96,718.7,578.41,50.85,612.88,1172.56,687.62,4125.98,1023.66,663.72,6,6,6,4,6,8,6,8,8,6
Litter to Fresh water,1.7,1.85,2.04,0.48,0.15,0.13,3.4,9.75,3.56,0.62,2,2,2,1,1,1,2,2,2,1
Litter to Coastal and ocean water,0.82,0.88,0.98,0.23,0.07,0.07,1.69,4.74,1.7,0.3,1,1,1,1,1,1,2,2,2,1
Dumping to Litter,57.49,65.18,109.34,33.39,4.9,23.77,83.63,377.69,122.67,38.29,4,4,6,4,2,4,4,6,6,4
Unintended C&D waste to Waste collection and recycling,253.4,8.74,0,0,1391.05,728.93,0,2382.13,262.14,1391.05,6,2,0,0,8,6,0,8,6,8
Unintended C&D waste to Soil,5.93,0.21,0,0,31.51,16.84,0,54.48,6.13,31.51,2,1,0,0,4,4,0,4,2,4
Unintended C&D waste to Fresh water,0,0,0,0,0.51,0,0,0.51,0,0.51,0,0,0,0,1,0,0,1,0,1
Unintended C&D waste to Coastal and ocean water,0,0,0,0,0.35,0,0,0.35,0,0.35,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,1.09,2.88,12.18,2.06,0.44,15.29,42.15,76.08,3.97,2.5,2,2,4,2,1,4,4,4,2,2
Indoor air to Storm water and wastewater (MP),0.19,0.51,2.17,0.37,0.08,2.72,7.47,13.51,0.71,0.45,1,1,2,1,1,2,2,4,1,1
Indoor air to Air (MP),0.84,2.22,9.68,1.62,0.35,11.97,33.48,60.16,3.06,1.97,1,2,2,2,1,4,4,4,2,2
Air to Soil (MP),2.81,7.5,35.46,2.47,4.85,28.96,59.54,141.61,10.32,7.32,2,2,4,2,2,4,4,6,4,2
Air to Fresh water (MP),0.05,0.14,0.65,0.04,0.09,0.53,1.08,2.57,0.19,0.13,1,1,1,1,1,1,2,2,1,1
Air to Coastal and ocean water (MP),0.04,0.1,0.46,0.03,0.06,0.38,0.78,1.85,0.13,0.1,1,1,1,1,1,1,1,2,1,1
Organic waste collection to Compost,11.2,6.75,15.25,1.82,0.25,1.51,6.17,42.96,17.95,2.07,4,2,4,2,1,2,2,4,4,2
Organic waste collection to Compost (MP),9.57,5.66,12.63,1.51,0.2,1.29,5.17,36.03,15.23,1.72,2,2,4,2,1,2,2,4,4,2
Organic waste collection to End-of-life,1754.79,1048.81,2347.45,281.48,37.77,236.19,957.63,6664.11,2803.6,319.25,8,8,8,6,4,6,6,8,8,6
Compost to Soil,11.2,6.75,15.25,1.82,0.25,1.51,6.17,42.96,17.95,2.07,4,2,4,2,1,2,2,4,4,2
Compost (MP) to Soil (MP),9.57,5.66,12.63,1.51,0.2,1.29,5.17,36.03,15.23,1.72,2,2,4,2,1,2,2,4,4,2
Total to Soil (MP),347.3,173.72,460.9,70.6,19.38,69.48,103.19,1244.57,521.02,89.98,6,6,6,4,4,4,6,8,6,4
Total to Fresh water (MP),3.5,6.93,22.17,2.14,0.46,5.27,7.84,48.31,10.43,2.6,2,2,4,2,1,2,2,4,4,2
Total to Soil,361.72,760.5,764.61,57.86,645.62,1200.76,872.77,4663.84,1122.22,703.48,6,6,6,4,6,8,6,8,8,6
Total to Fresh water,4.89,6.94,7.45,1.31,0.93,0.35,11.03,32.89,11.83,2.23,2,2,2,2,1,1,4,4,4,2
Total to Coastal and ocean water,3.19,3.24,1.39,0.23,0.42,0.07,1.69,10.23,6.43,0.65,2,2,2,1,1,1,2,4,2,1
Total to Coastal and ocean water (MP),0.41,0.47,0.62,0.03,0.06,0.38,0.78,2.75,0.88,0.1,1,1,1,1,1,1,1,2,1,1
Total to Landfill,3178.68,3985.58,6591.01,1732.06,330.55,1294.81,4003.62,21116.3,7164.25,2062.61,8,8,8,8,6,8,8,10,8,8
