Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,12336.51,0,0,20704.55,20685.55,40392.88,55371.97,149491.47,12336.51,41390.1,10,0,0,10,10,10,10,10,10,10
Production to Pre-consumer processes,29454.62,67114.83,122753.96,0,0,9506.34,0,228829.75,96569.45,0,10,10,10,0,0,8,0,10,10,0
Pre-consumer processes to Waste collection and recycling,1946.96,3255.16,7702.81,905.54,909.54,2241.57,3519.58,20481.16,5202.12,1815.09,8,8,8,6,6,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.43,1.03,4.64,0.02,0.02,0.17,2.34,8.64,1.47,0.03,1,2,2,1,1,1,2,2,2,1
Pre-consumer processes to ExcludedFlow,39839.87,63850.94,115032.54,19798.12,19775.14,47654.76,51848.54,357799.92,103690.82,39573.26,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.83,7.62,13.84,0.87,0.84,2.72,1.51,31.23,11.45,1.71,2,2,4,1,1,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.03,0.07,0.13,0,0,0.01,0,0.26,0.11,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,7830.57,16778.52,24819.87,6003.19,978.24,2380.7,20045.29,78836.38,24609.09,6981.43,8,10,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,757.78,1401.91,2788.34,420.71,0,332.01,7530.15,13230.89,2159.69,420.71,6,8,8,6,0,6,8,10,8,6
Consumer packaging to Dumping,14.87,31.37,47.86,11.18,1.7,4.66,47.8,159.43,46.24,12.88,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,26.7,24.15,50.12,5.99,0.71,4.88,23.35,135.9,50.86,6.7,4,4,4,2,1,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,12496.44,11596.76,9001.17,2811.63,1239.13,73.5,7431.21,44649.84,24093.2,4050.76,10,10,8,8,8,4,8,10,10,8
Non-consumer packaging to Litter,483.92,449.4,352.66,108.57,48.35,2.85,288.07,1733.82,933.32,156.92,6,6,6,6,4,2,6,8,6,6
Non-consumer packaging to Dumping,22.56,20.78,16.17,5.02,2.23,0.13,13.43,80.31,43.34,7.24,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,5662.95,15751.91,8547.18,0,16979.46,31908.64,1967.91,80818.04,21414.86,16979.46,8,10,8,0,10,10,8,10,10,10
Construction to Soil (MP),0.02,0.22,2.04,0,0,0.07,1.28,3.63,0.24,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,118.4,4.07,0,0,652.92,349.75,0,1125.15,122.47,652.92,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0,3.13,58.57,0,0,0,75.98,137.68,3.13,0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,7.82,0,7.82,0,0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0,0,0,0,1.76,0,0,1.76,0,1.76,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,753.67,2011.47,9202.44,343.58,0,2495.77,1713.97,16520.9,2765.14,343.58,6,8,8,6,0,8,8,10,8,6
Automotive to Soil,0.53,1.83,8.57,0.01,0,0.6,0,11.54,2.35,0.01,1,2,2,1,0,1,1,4,2,1
Automotive to Export,161.5,433.11,1974.74,73.84,0,536.96,367.01,3547.15,594.61,73.84,6,6,8,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,4817.03,438.87,2170.89,8.85,0,85.16,199.7,7720.5,5255.9,8.85,8,6,8,2,0,4,6,8,8,2
Agriculture to Dumping,8.52,0.77,3.81,0.02,0,0.15,0.35,13.62,9.29,0.02,2,1,2,1,0,1,1,4,2,1
Agriculture to Organic waste collection,17.16,0.74,7.76,0.01,0,0.13,0.72,26.52,17.9,0.01,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil (MP),90.13,1.68,14.56,0.01,0,0.63,2.46,109.47,91.81,0.01,4,2,4,1,0,1,2,6,4,1
Agriculture to Soil,10.85,4.51,2.59,0.19,0,1.71,0.12,19.97,15.36,0.19,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,219.41,306.34,0,0,0,465.89,991.65,219.41,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Storm water and wastewater,0,123.65,133.78,0,0,0,126.71,384.14,123.65,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.59,0.76,0,0,0,1.03,2.39,0.59,0,0,1,1,0,0,0,2,2,1,0
PCCP to Waste collection and recycling,0,0.1,0,0,0,0,0,0.11,0.1,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,1.99,0,0,0,0,0.01,2,1.99,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,63.41,1638.29,0,0,0,8563.95,10265.65,63.41,0,0,4,8,0,0,0,8,10,4,0
Clothing to Storm water and wastewater (MP),0,0.49,12.75,0,0,0,66.66,79.9,0.49,0,0,1,4,0,0,0,4,4,1,0
