Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,102926.06,140909.1,215258.72,50816.71,50433.23,121852.35,135457.12,817653.28,243835.15,101249.94,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,4489.62,6202.61,10826.02,2229.04,2202.89,5394.72,8578.25,39923.15,10692.23,4431.93,8,8,10,8,8,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),0.08,0.3,2.89,0.04,0.04,0.09,5.67,9.09,0.37,0.08,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,98432.07,134700.33,204421.97,48585.52,48228.21,116452.46,126869.47,777690.04,233132.4,96813.73,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),4.29,5.85,7.84,2.11,2.09,5.06,3.72,30.96,10.13,4.2,2,2,2,2,2,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.01,0.01,0.01,0,0,0.01,0.01,0.05,0.02,0.01,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,18113.43,40475.48,59060.15,14377.76,2368.06,5643.16,48535.79,188573.83,58588.91,16745.82,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1824.21,3443.5,6799.37,1026.57,0,811.45,18419.92,32325.02,5267.7,1026.57,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,5.71,12.19,18.38,4.25,0.65,1.8,18.48,61.46,17.9,4.9,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,1040.75,953.87,1965.05,233.46,27.93,190.46,915.23,5326.77,1994.62,261.4,8,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,31121.77,29183.66,22578.67,6999.47,3112.95,183.49,18634.93,111814.94,60305.43,10112.42,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,500.65,475.68,365.37,113.56,49.62,2.97,300.99,1808.84,976.33,163.18,6,6,6,6,4,2,6,8,6,6
Non-consumer packaging to Dumping,8.6,8.03,6.2,1.92,0.86,0.05,5.14,30.81,16.63,2.78,2,2,2,2,1,1,2,4,4,2
Construction to Waste collection and recycling,14002.3,38641.39,20856.09,0,42454.61,78560.65,4947.21,199462.25,52643.7,42454.61,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.05,0.6,4.96,0,0,0.17,3.1,8.88,0.64,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,124.17,4.31,0,0,696.11,365.96,0,1190.55,128.48,696.11,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0,4.06,61.09,0,0,0,79.72,144.87,4.06,0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,19.28,0,19.28,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,4.3,0,0,4.3,0,4.3,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,586.06,1573.96,7123.5,266.97,0,1940,1337.72,12828.21,2160.02,266.97,6,8,8,6,0,8,8,10,8,6
Automotive to Soil,1.29,4.42,20.96,0.03,0,1.48,0,28.18,5.71,0.03,2,2,4,1,0,2,1,4,2,1
Automotive to Export,1654.17,4409.38,20066.36,750.85,0,5420.57,3777.99,36079.33,6063.55,750.85,8,8,10,6,0,8,8,10,8,6
Agriculture to Waste collection and recycling,11192.78,1128.75,5039.18,21.39,0,204.46,465.45,18052.03,12321.54,21.39,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,3.28,0.32,1.47,0.01,0,0.06,0.14,5.27,3.6,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,675.16,33.71,303.2,0.26,0,4.96,28.5,1045.79,708.87,0.26,6,4,6,1,0,2,4,8,6,1
Agriculture to Soil (MP),220.02,5.14,35.31,0.02,0,1.54,6.05,268.09,225.17,0.02,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,26.56,11.18,6.37,0.46,0,4.19,0.31,49.06,37.74,0.46,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,305.86,417.92,0,0,0,637.45,1361.23,305.86,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,173.9,183.77,0,0,0,168.88,526.56,173.9,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.13,0.16,0,0,0,0.22,0.51,0.13,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.26,0,0,0,0,0,0.26,0.26,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,4.89,0.01,0,0,0,0.03,4.92,4.89,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,196,4012.39,0,0,0,21003.92,25212.31,196,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.52,31.17,0,0,0,163.16,195.85,1.52,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,0.05,1.09,0,0,0,5.68,6.82,0.05,0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.56,11.59,0,0,0,60.2,72.35,0.56,0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.23,4.83,0,0,0,25.18,30.24,0.23,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,27.03,3104.84,0,0,0,9593.8,12725.67,27.03,0,0,4,8,0,0,0,8,10,4,0
