Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,5041.76,6956.41,10521.94,2488.06,2478.61,5942.69,6608.38,40037.85,11998.17,4966.67,8,8,10,8,8,8,8,10,10,8
Pre-consumer processes to Waste collection and recycling,223.11,310.89,526.19,109.33,109.35,263.53,418.13,1960.53,534,218.68,6,6,6,6,6,6,6,8,6,6
Pre-consumer processes to Storm water and wastewater (MP),0,0.02,0.14,0,0,0,0.28,0.45,0.02,0,1,1,1,1,1,1,1,1,1,1
Pre-consumer processes to ExcludedFlow,4818.44,6645.21,9995.22,2378.62,2369.16,5678.9,6189.79,38075.35,11463.65,4747.78,8,8,8,8,8,8,8,10,10,8
Pre-consumer processes to Soil (MP),0.21,0.29,0.39,0.1,0.1,0.25,0.18,1.52,0.49,0.21,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,935.31,2004.18,2961.25,714.3,116.67,283.22,2399.09,9414.02,2939.49,830.97,6,8,8,6,6,6,8,8,8,6
Consumer packaging to On-the-go consumption,89.64,166.25,329.53,50.7,0,39.46,895.19,1570.78,255.9,50.7,4,6,6,4,0,4,6,8,6,4
Consumer packaging to Dumping,1.94,4.09,6.22,1.45,0.22,0.61,6.24,20.76,6.03,1.67,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,3.5,3.19,6.59,0.79,0.09,0.64,3.06,17.87,6.69,0.88,2,2,2,1,1,1,2,4,2,1
Non-consumer packaging to Waste collection and recycling,1512.84,1404.55,1088.01,340.14,150.08,8.87,897.34,5401.82,2917.39,490.22,8,8,8,6,6,2,6,8,8,6
Non-consumer packaging to Litter,38.57,35.97,27.99,8.75,3.84,0.23,23.1,138.44,74.54,12.58,4,4,4,2,2,1,4,6,4,4
Non-consumer packaging to Dumping,2.93,2.73,2.12,0.66,0.29,0.02,1.74,10.48,5.66,0.95,2,2,2,1,1,1,2,4,2,1
Construction to Waste collection and recycling,684.06,1880.57,1023.29,0,2045.79,3832.98,239.2,9705.89,2564.63,2045.79,6,8,8,0,8,8,6,8,8,8
Construction to Soil (MP),0,0.02,0.24,0,0,0.01,0.15,0.43,0.03,0,1,1,1,0,0,1,1,1,1,0
Construction to UnintendedCDWaste,9.65,0.33,0,0,51.88,28.19,0,90.06,9.98,51.88,2,1,0,0,4,4,0,4,2,4
Construction to Soil,0,0.2,4.69,0,0,0,6.16,11.05,0.2,0,0,1,2,0,0,0,2,4,1,0
Construction to Indoor air (MP),0,0,0,0,0,0.93,0,0.93,0,0,0,0,0,0,0,1,0,1,0,0
Construction to Air (MP),0,0,0,0,0.21,0,0,0.21,0,0.21,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,59.92,157.76,727.25,27.13,0,198.23,135.9,1306.2,217.68,27.13,4,6,6,4,0,6,6,8,6,4
Automotive to Soil,0.06,0.22,1.02,0,0,0.07,0,1.38,0.28,0,1,1,2,1,0,1,1,2,1,1
Automotive to Export,49.93,131.81,605.58,22.61,0,165.34,113.83,1089.11,181.75,22.61,4,6,6,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,576.59,49.18,259.54,1.06,0,10.3,24,920.65,625.76,1.06,6,4,6,2,0,4,4,6,6,2
Agriculture to Dumping,1.11,0.09,0.5,0,0,0.02,0.05,1.77,1.21,0,2,1,1,1,0,1,1,2,2,1
Agriculture to Organic waste collection,2.27,0.08,1.02,0,0,0.02,0.1,3.48,2.35,0,2,1,2,1,0,1,1,2,2,1
Agriculture to Soil (MP),10.78,0.16,1.74,0,0,0.08,0.3,13.06,10.94,0,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,1.3,0.54,0.31,0.02,0,0.21,0.01,2.39,1.84,0.02,2,1,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0,32.85,45.57,0,0,0,63.87,142.29,32.85,0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Storm water and wastewater,0,18.88,20.13,0,0,0,18.41,57.42,18.88,0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0,0.1,0.12,0,0,0,0.15,0.38,0.1,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.01,0,0,0,0,0,0.01,0.01,0,0,1,1,0,0,0,1,1,1,0
