Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,49364.54,0,0,36264.05,35687.88,86406.38,95121.82,302844.66,49364.54,71951.93,10,0,0,10,10,10,10,10,10,10
Production to Pre-consumer processes,22829.89,477532.82,333220.67,0,0,0,726.22,834309.6,500362.71,0,10,10,10,0,0,0,6,10,10,0
Pre-consumer processes to Waste collection and recycling,3257.76,23346.51,20791.41,1603.35,1570.79,3815.46,6041.02,60426.3,26604.27,3174.15,8,10,10,8,8,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),0.37,7.43,12.62,0.03,0.03,0.06,4.01,24.54,7.79,0.05,1,2,4,1,1,1,2,4,2,1
Pre-consumer processes to ExcludedFlow,68931.63,454124.5,312378.69,34659.16,34115.57,82587.23,89800.31,1076597.09,523056.13,68774.73,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),4.64,53.86,37.59,1.5,1.49,3.62,2.69,105.39,58.5,2.99,2,4,4,2,2,2,2,6,4,2
Pre-consumer processes to Fresh water (MP),0.03,0.52,0.36,0,0,0.01,0,0.93,0.55,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,13317.69,28808.67,42539.41,10300.55,1691.1,4049.16,34907.82,135614.39,42126.36,11991.65,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1315.01,2417.82,4850.38,732.72,0,571.28,12967.3,22854.51,3732.83,732.72,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,12.52,26.66,40.42,9.38,1.43,3.94,40.46,134.81,39.18,10.81,4,4,4,2,2,2,4,6,4,4
Consumer packaging to Organic waste collection,337.58,305.63,636.01,75.81,9.02,60.98,297.29,1722.32,643.21,84.83,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,21939.12,20279.02,15830.14,4915.59,2181.61,127.91,13103.22,78376.62,42218.14,7097.2,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,601.24,553.92,432.5,133.85,59.12,3.46,358.82,2142.92,1155.16,192.97,6,6,6,6,4,2,6,8,8,6
Non-consumer packaging to Dumping,18.86,17.37,13.62,4.28,1.89,0.11,11.18,67.3,36.22,6.17,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,9945.7,27581.98,14829.44,0,29888.24,55138.77,3434.52,140818.66,37527.68,29888.24,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.03,0.38,3.48,0,0,0.12,2.2,6.22,0.41,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,148.24,5.03,0,0,810.45,427.01,0,1390.73,153.27,810.45,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0,3.77,70.32,0,0,0,93.69,167.79,3.77,0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,13.52,0,13.52,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,3.06,0,0,3.06,0,3.06,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1603.88,4228.12,19126,717.41,0,5242.13,3585.05,34502.58,5832,717.41,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.93,3.15,14.64,0.02,0,1.04,0,19.79,4.08,0.02,1,2,4,1,0,2,1,4,2,1
