Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,757600.3,0,0,0,0,0,744886.73,1502487.03,757600.3,0,10,0,0,0,0,0,10,10,10,0
Production to Pre-consumer processes,275144.32,2089915.94,2280763.22,574864.31,551869.4,1836715.83,626017.19,8235290.2,2365060.26,1126733.71,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,46664.68,102152.52,142234.8,27442.03,26049.17,87918.25,82782.92,515244.38,148817.2,53491.2,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),4.58,32.47,86.14,8.29,7.92,26.19,49.99,215.58,37.05,16.21,2,4,4,2,2,4,4,6,4,4
Pre-consumer processes to ExcludedFlow,986012.97,1987491.8,2138181.55,547348.22,525749.38,1748560.33,1287978.99,9221323.24,2973504.77,1073097.61,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),62.04,236.87,258.25,65.14,62.32,209.05,91.3,984.97,298.91,127.46,4,6,6,4,4,6,4,6,6,6
Pre-consumer processes to Fresh water (MP),0.35,2.28,2.47,0.63,0.6,2.01,0.71,9.05,2.63,1.23,1,2,2,1,1,2,1,2,2,2
Consumer packaging to Waste collection and recycling,184673.82,407260.05,598242.84,146486.77,24037.1,57193.91,490878.84,1908773.34,591933.87,170523.87,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,18516.51,34547.12,68877.68,10470.36,0,8208.21,185131.57,325751.45,53063.63,10470.36,10,10,10,10,0,8,10,10,10,10
Consumer packaging to Dumping,112.22,238.01,362.65,84.38,12.75,35.61,361.16,1206.79,350.23,97.14,6,6,6,4,4,4,6,8,6,4
