Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,64667.99,88864.15,132492.16,31122.48,30916.25,75117.8,82812.19,505993.01,153532.14,62038.72,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,64.08,0,0,0,0,51.65,0,115.73,64.08,0,4,0,0,0,0,4,0,6,4,0
Pre-consumer processes to Waste collection and recycling,2921.1,4042.51,6643.6,1357.05,1358.34,3288.44,5212.75,24823.8,6963.61,2715.4,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.26,0.4,1.88,0.02,0.02,0.06,3.5,6.15,0.66,0.05,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,61808.07,84817.65,125841.78,29764.11,29556.59,71877.84,77593.68,481259.74,146625.73,59320.7,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),2.63,3.59,4.88,1.29,1.29,3.11,2.25,19.02,6.21,2.57,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0,0.01,0.01,0,0,0.01,0,0.03,0.01,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,10968.22,24599.63,35641.69,8726.43,1446.15,3451.26,29359.66,114193.05,35567.85,10172.58,10,10,10,8,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1126.72,2098.4,4139.01,623.16,0,498.8,11203.66,19689.74,3225.12,623.16,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,5.6,11.89,17.97,4.14,0.63,1.77,17.82,59.83,17.5,4.77,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,800.79,736.03,1513.34,180.32,21.49,148.88,703.68,4104.53,1536.82,201.82,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,19114.79,17870.07,13732.73,4263.56,1905.5,113.37,11329.74,68329.76,36984.86,6169.06,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,313.31,289.98,224.84,69.45,31.09,1.86,182.65,1113.18,603.29,100.54,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,8.38,7.89,6.03,1.87,0.84,0.05,4.93,29.99,16.27,2.71,2,2,2,2,1,1,2,4,4,2
Construction to Waste collection and recycling,8593.18,23581.03,12809.58,0,25931.41,48581.48,3025.82,122522.5,32174.21,25931.41,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.03,0.36,2.99,0,0,0.11,1.89,5.37,0.39,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,76.52,2.63,0,0,423.24,226.8,0,729.2,79.15,423.24,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0,2.42,37.65,0,0,0,49.33,89.4,2.42,0,0,2,4,0,0,0,4,4,2,0
Construction to Indoor air (MP),0,0,0,0,0,11.94,0,11.94,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,2.63,0,0,2.63,0,2.63,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1380.41,3664.38,16617.5,626.47,0,4520.22,3129.31,29938.29,5044.78,626.47,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.8,2.71,12.69,0.02,0,0.9,0,17.12,3.51,0.02,1,2,4,1,0,1,1,4,2,1
Agriculture to Waste collection and recycling,6701.05,678.03,3027.63,13.05,0,123.93,279.84,10823.53,7379.08,13.05,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,3.2,0.31,1.42,0.01,0,0.06,0.13,5.13,3.51,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,518.56,25.37,233.43,0.2,0,3.83,22.05,803.43,543.93,0.2,6,4,6,1,0,2,4,6,6,1
Agriculture to Soil (MP),133.71,3.04,21.94,0.01,0,0.94,3.72,163.37,136.76,0.01,6,2,4,1,0,1,2,6,6,1
