Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,14870.94,0,29656.11,5068.82,0,17328.33,19400.69,86324.89,14870.94,5068.82,10,0,10,8,0,10,10,10,10,8
Production to Pre-consumer processes,0,189147.13,1206.27,2221.84,83488.87,6.64,0,276070.76,189147.13,85710.7,0,10,8,8,10,2,0,10,10,10
Pre-consumer processes to Waste collection and recycling,668.93,9293.8,1549.67,331.03,3979.84,758.64,1229.43,17811.34,9962.73,4310.87,6,8,8,6,8,6,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.03,2.98,0.46,0.04,1.2,0.01,0.81,5.54,3.01,1.24,1,2,1,1,2,1,1,2,2,2
Pre-consumer processes to ExcludedFlow,14201.37,179828.72,29311.03,6959.13,79498.31,16575.6,18169.92,344544.07,194030.09,86457.44,10,10,10,8,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.61,21.43,1.23,0.46,9.42,0.72,0.53,34.39,22.04,9.88,1,4,2,1,2,1,1,4,4,2
Pre-consumer processes to Fresh water (MP),0,0.21,0,0,0.09,0,0,0.31,0.21,0.09,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2744.84,5872.76,8653.65,2090.54,341.88,833.58,7089.47,27626.72,8617.6,2432.41,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,264.38,491,971.24,148.33,0,116.93,2624.85,4616.73,755.38,148.33,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,9.09,19.2,28.97,6.7,1.03,2.85,29.12,96.97,28.29,7.73,2,4,4,2,2,2,4,4,4,2
Consumer packaging to Organic waste collection,14.05,12.67,26.29,3.14,0.37,2.57,12.34,71.44,26.73,3.51,4,4,4,2,1,2,4,4,4,2
Non-consumer packaging to Waste collection and recycling,4493.62,4163.31,3223.2,1004.71,445.16,26.45,2685.7,16042.14,8656.93,1449.87,8,8,8,8,6,4,8,10,8,8
