Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,72358.23,104831.01,158189.81,37869.94,37273.68,85301.63,100411.59,596235.89,177189.24,75143.62,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,3711.05,0,0,0,0,5639.19,0,9350.24,3711.05,0,8,0,0,0,0,8,0,8,8,0
Pre-consumer processes to Waste collection and recycling,3355.9,4674.1,7906.67,1689.85,1633.99,4010.87,6306.01,29577.4,8030.01,3323.83,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.14,0.25,2.19,0.03,0.03,0.15,4.2,6.98,0.39,0.06,1,1,2,1,1,1,2,2,1,1
Pre-consumer processes to ExcludedFlow,72709.81,100152.37,150275.13,36178.5,35638.11,86925.63,94098.62,575978.18,172862.19,71816.61,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.42,4.27,5.81,1.56,1.56,4.16,2.75,23.52,7.69,3.12,2,2,2,2,2,2,2,4,2,2
Pre-consumer processes to Fresh water (MP),0.01,0.01,0.01,0,0,0.01,0,0.05,0.02,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,14224.57,30340.55,44879.75,10881.76,1771.28,4342.46,36614.51,143054.89,44565.12,12653.04,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1354.08,2511.08,5013.06,768.65,0,611.38,13715.45,23973.7,3865.16,768.65,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,19.46,40.91,62.23,14.48,2.21,6.19,62.35,207.85,60.38,16.69,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,38.6,34.99,72.4,8.76,1.03,7.12,33.97,196.86,73.59,9.79,4,4,4,2,2,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,22295.63,20687.45,16070.94,5038.98,2216.97,132.47,13371.92,79814.36,42983.08,7255.95,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,1171.84,1100.7,846.68,268.26,117.93,7.04,697.84,4210.29,2272.53,386.19,8,8,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,29.19,27.18,20.99,6.6,2.89,0.17,17.49,104.53,56.37,9.5,4,4,4,2,2,1,4,6,4,2
Construction to Waste collection and recycling,10225.81,28807.54,15364.84,0,30438.13,57726.35,3527.74,146090.4,39033.34,30438.13,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.03,0.41,3.67,0,0,0.13,2.31,6.54,0.44,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,291.89,9.98,0,0,1600.32,858.92,0,2761.11,301.87,1600.32,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0,7.71,140.93,0,0,0,183.99,332.62,7.71,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,14.3,0,14.3,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,3.19,0,0,3.19,0,3.19,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1656.58,4355.41,19853.58,744.19,0,5366.11,3722.72,35698.59,6011.99,744.19,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.97,3.29,15.44,0.02,0,1.08,0,20.8,4.26,0.02,1,2,4,1,0,2,1,4,2,1
Automotive to Export,22.42,58.87,268.75,10.08,0,72.83,50.46,483.42,81.29,10.08,4,4,6,4,0,4,4,6,4,4
Agriculture to Waste collection and recycling,8785.24,799.03,3929.17,16.04,0,154.33,363.32,14047.14,9584.27,16.04,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,11.07,1.01,4.9,0.02,0,0.2,0.45,17.65,12.08,0.02,4,2,2,1,0,1,1,4,4,1
