Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,22496.64,0,39804.49,204560.83,0,0,266861.96,22496.64,244365.32,0,10,0,10,10,0,0,10,10,10
Production to Pre-consumer processes,1007041.98,556556.98,1240407.4,167726.93,2817.78,657721.84,709495.56,4341768.47,1563598.96,170544.71,10,10,10,10,8,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,47858.79,27907.13,77538.4,9791.55,9022.9,31203.34,40691.34,244013.45,75765.92,18814.45,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),14.58,8.59,46.81,2.44,0.19,9.5,20.81,102.93,23.18,2.63,4,2,4,2,1,2,4,6,4,2
Pre-consumer processes to ExcludedFlow,959053.6,551073.45,1162679.57,197716.66,198346.61,626433.61,668702.55,4364006.06,1510127.06,396063.27,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),113.91,63.84,141.27,20.58,8.9,74.68,80.09,503.27,177.74,29.48,6,4,6,4,2,4,4,6,6,4
Pre-consumer processes to Fresh water (MP),1.1,0.61,1.34,0.19,0.02,0.72,0.77,4.73,1.71,0.2,2,1,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,76361.68,164677.07,242068.06,59301.24,9678.25,23370.58,198013.64,773470.51,241038.75,68979.48,10,10,10,10,8,10,10,10,10,10
Consumer packaging to On-the-go consumption,7525.71,13804.31,27335,4206.46,0,3313.66,74368.68,130553.82,21330.02,4206.46,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,110.7,231.67,349.93,81.53,12.44,34.74,351.01,1172.02,342.37,93.97,6,6,6,4,4,4,6,8,6,4
Consumer packaging to Organic waste collection,2077.87,1868.83,3854.19,466.72,55.2,379.23,1800.95,10503,3946.7,521.92,8,8,8,6,4,6,8,10,8,6
Non-consumer packaging to Waste collection and recycling,126731.27,116620.59,90179.02,28436.6,12524.27,742.15,74866.54,450100.43,243351.86,40960.87,10,10,10,10,10,6,10,10,10,10
Non-consumer packaging to Litter,2971.92,2753.42,2106.58,664.76,298.13,17.36,1770.96,10583.13,5725.34,962.9,8,8,8,6,6,4,8,10,8,6
Non-consumer packaging to Dumping,165.59,152.23,117.66,37.45,16.5,0.97,98.76,589.16,317.82,53.95,6,6,6,4,4,1,4,6,6,4
