Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,2061206.46,2791763.89,2661406.83,917172.05,1268959.38,2249575.43,4614205.57,16564289.6,4852970.35,2186131.43,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,6550417.09,7089692.54,12516879.92,2369437.73,1731372.13,5697558.31,3022851.98,38978209.69,13640109.62,4100809.86,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,405019.28,470795.12,915092.91,153410.63,137781.82,370618.46,464205.16,2916923.38,875814.4,291192.46,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),97.16,117.56,509.42,34.71,25.74,83.37,282.49,1150.45,214.72,60.46,4,6,6,4,4,4,6,8,6,4
Pre-consumer processes to ExcludedFlow,8205674.2,9409619.26,14261153.61,3132855.44,2862273.56,7575686.11,7172099.05,52619361.23,17615293.46,5995129,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),825.63,916.57,1517.11,306.34,248.41,739.43,467.37,5020.86,1742.2,554.75,6,6,8,6,6,6,6,8,8,6
Pre-consumer processes to Fresh water (MP),7.28,7.92,13.7,2.65,1.97,6.37,3.48,43.37,15.2,4.62,2,2,4,2,2,2,2,4,4,2
Consumer packaging to Waste collection and recycling,894232.95,1953337.33,2862886.45,697658.72,114579.2,274550.7,2347861.14,9145106.49,2847570.27,812237.92,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,88620.83,164701,326345.12,49620.95,0,39084.37,881886.74,1550259.01,253321.83,49620.95,10,10,10,10,0,10,10,10,10,10
Consumer packaging to Dumping,1618.56,3424.83,5193.67,1206.89,184.18,509.5,5224.19,17361.82,5043.39,1391.07,8,8,8,8,6,6,8,10,8,8
Consumer packaging to Organic waste collection,31607.87,28726.62,59388.62,7105.47,844.69,5783.49,27752.14,161208.89,60334.49,7950.17,10,10,10,8,6,8,10,10,10,8
Non-consumer packaging to Waste collection and recycling,1492466.28,1386011.51,1072454.26,334859.91,148567.58,8751.6,887653.81,5330764.95,2878477.79,483427.49,10,10,10,10,10,8,10,10,10,10
Non-consumer packaging to Litter,37091.66,34490.55,26644.63,8333.4,3691.75,218.59,22026.64,132497.22,71582.21,12025.15,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Dumping,2448.51,2265.22,1758.16,549.31,242.99,14.28,1457.46,8735.94,4713.72,792.31,8,8,8,6,6,4,8,8,8,6
Construction to Waste collection and recycling,673692.86,1870813.92,1008370.15,0,2033867.86,3784459.95,235178.95,9606383.68,2544506.77,2033867.86,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),2.18,27.86,238.1,0,0,8.31,150.08,426.53,30.04,0,2,4,6,0,0,2,6,6,4,0
Construction to UnintendedCDWaste,9242.96,314.93,0,0,50199.53,26796.2,0,86553.62,9557.89,50199.53,8,6,0,0,10,10,0,10,8,10
Construction to Soil,0,270.41,4451.46,0,0,0,5841.5,10563.36,270.41,0,0,6,8,0,0,0,8,10,6,0
Construction to Indoor air (MP),0,0,0,0,0,926.07,0,926.07,0,0,0,0,0,0,0,6,0,6,0,0
Construction to Air (MP),0,0,0,0,207.87,0,0,207.87,0,207.87,0,0,0,0,6,0,0,6,0,6
Automotive to Waste collection and recycling,99044.9,263652.09,1197661.66,44735.29,0,323551.46,223641.23,2152286.63,362696.99,44735.29,10,10,10,10,0,10,10,10,10,10
Automotive to Soil,62.76,213.9,1007.17,1.34,0,70.89,0.05,1356.1,276.66,1.34,4,6,8,2,0,4,1,8,6,2
Automotive to Export,9570.52,25504.65,115660.16,4321.81,0,31346.96,21719.67,208123.77,35075.17,4321.81,8,10,10,8,0,10,10,10,10,8
Agriculture to Waste collection and recycling,549195.68,53332.44,247436.43,1032.47,0,9939.13,22799.4,883735.55,602528.12,1032.47,10,10,10,8,0,8,10,10,10,8
Agriculture to Dumping,927.01,87.24,412.67,1.7,0,16.51,38.23,1483.36,1014.25,1.7,6,4,6,2,0,4,4,8,8,2
Agriculture to Organic waste collection,20447.6,980.23,9187.47,7.77,0,150.79,863.76,31637.62,21427.84,7.77,10,6,8,2,0,6,6,10,10,2
Agriculture to Soil (MP),10569.98,230.62,1721.95,1.07,0,73.94,291.35,12888.9,10800.59,1.07,10,6,8,2,0,4,6,10,10,2
Agriculture to Soil,1278,531.79,305.48,22.12,0,202.66,14.6,2354.65,1809.79,22.12,8,6,6,4,0,6,4,8,8,4
Hygiene products to Waste collection and recycling,0,18477.3,25419.7,0,0,0,38349.98,82246.97,18477.3,0,0,10,10,0,0,0,10,10,10,0
Hygiene products to Storm water and wastewater,0,10483.54,11109.92,0,0,0,10397.14,31990.6,10483.54,0,0,10,10,0,0,0,10,10,10,0
Hygiene products to Dumping,0,48.63,61.63,0,0,0,81.54,191.79,48.63,0,0,4,4,0,0,0,4,6,4,0
PCCP to Waste collection and recycling,0,12.38,0.03,0,0,0,0.06,12.48,12.38,0,0,4,1,0,0,0,1,4,4,0
PCCP to Storm water and wastewater (MP),0,234.64,0.56,0,0,0,1.21,236.41,234.64,0,0,6,1,0,0,0,2,6,6,0
Clothing to Waste collection and recycling,0,8680.08,193098.67,0,0,0,1009764.09,1211542.84,8680.08,0,0,8,10,0,0,0,10,10,8,0
Clothing to Storm water and wastewater (MP),0,67.53,1502.26,0,0,0,7854.61,9424.4,67.53,0,0,4,8,0,0,0,8,8,4,0
Clothing to Dumping,0,13.64,308.82,0,0,0,1614.79,1937.26,13.64,0,0,4,6,0,0,0,8,8,4,0
Clothing to Indoor air (MP),0,24.92,554.38,0,0,0,2900.76,3480.06,24.92,0,0,4,6,0,0,0,8,8,4,0
Clothing to Air (MP),0,10.44,231.73,0,0,0,1212.05,1454.23,10.44,0,0,4,6,0,0,0,8,8,4,0
Household textiles to Waste collection and recycling,0,1214.66,150416.63,0,0,0,461892.38,613523.67,1214.66,0,0,8,10,0,0,0,10,10,8,0
Household textiles to Storm water and wastewater (MP),0,0.76,93.68,0,0,0,287.61,382.05,0.76,0,0,1,4,0,0,0,6,6,1,0
Household textiles to Dumping,0,1.91,240.2,0,0,0,733.65,975.75,1.91,0,0,2,6,0,0,0,6,6,2,0
Household textiles to Indoor air (MP),0,2.15,266.55,0,0,0,819.02,1087.73,2.15,0,0,2,6,0,0,0,6,8,2,0
Household textiles to Air (MP),0,0.11,13.3,0,0,0,40.84,54.25,0.11,0,0,1,4,0,0,0,4,4,1,0
