Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,0,0,18605.75,0,51306.82,57212.8,127125.37,0,18605.75,0,0,0,10,0,10,10,10,0,10
Production to Pre-consumer processes,429340.72,94384.49,165854.04,2869.13,119768.46,99.87,0,812316.71,523725.21,122637.59,10,10,10,8,10,4,0,10,10,10
Pre-consumer processes to Waste collection and recycling,20447.72,4554.72,10414.08,947.04,5730.04,2268.24,3624.3,47986.13,25002.44,6677.08,10,8,10,6,8,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),6.19,1.48,6.27,0.05,1.71,0.04,2.42,18.17,7.67,1.76,2,2,2,1,2,1,2,4,2,2
Pre-consumer processes to ExcludedFlow,408837.66,89817.48,155414.71,20526.66,114023,49136.26,53584.51,891340.28,498655.14,134549.66,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),48.68,10.71,18.8,1.11,13.59,2.15,1.57,96.61,59.39,14.7,4,4,4,2,4,2,2,4,4,4
Pre-consumer processes to Fresh water (MP),0.47,0.1,0.18,0,0.13,0,0,0.89,0.57,0.13,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,7830.37,17069.73,25155.66,6097.8,1006.16,2401.41,20663.92,80225.05,24900.1,7103.96,8,10,10,8,8,8,10,10,10,8
Consumer packaging to On-the-go consumption,763.67,1432.59,2836.61,433.63,0,339.84,7680.88,13487.21,2196.25,433.63,6,8,8,6,0,6,8,10,8,6
Consumer packaging to Dumping,3.06,6.49,9.81,2.31,0.35,0.97,9.92,32.91,9.55,2.66,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,208.95,191.11,394.73,47.31,5.68,38.4,185.41,1071.59,400.06,52.98,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,13103.2,12227.03,9497.36,2956.52,1317.63,77.21,7875.54,47054.5,25330.24,4274.15,10,10,8,8,8,4,8,10,10,8
Non-consumer packaging to Litter,163.96,150.66,119.21,36.84,16.56,0.97,99.5,587.69,314.62,53.4,6,6,6,4,4,1,4,6,6,4
Non-consumer packaging to Dumping,4.64,4.32,3.37,1.03,0.46,0.03,2.77,16.63,8.97,1.5,2,2,2,2,1,1,2,4,2,2
Construction to Waste collection and recycling,5916.47,16291.43,8752.68,0,17886.78,33392.29,2081.32,84320.98,22207.9,17886.78,8,10,8,0,10,10,8,10,10,10
Construction to Soil (MP),0.02,0.24,2.08,0,0,0.07,1.31,3.72,0.26,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,41.04,1.41,0,0,222.97,120.06,0,385.48,42.45,222.97,4,2,0,0,6,6,0,6,4,6
