Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,703788.76,0,0,117761.3,0,776095.92,1597645.98,703788.76,117761.3,0,10,0,0,10,0,10,10,10,10
Production to Pre-consumer processes,1331046.12,111105.63,1463190.42,426929,172177.78,1407730.5,0,4912179.44,1442151.75,599106.77,10,10,10,10,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,63547.77,36976.33,91518.98,20321.79,13355.85,67513.07,48743.68,341977.47,100524.1,33677.64,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),18.98,3.32,55.29,6.1,2.56,20.26,32.38,138.89,22.3,8.66,4,2,4,2,2,4,4,6,4,2
Pre-consumer processes to ExcludedFlow,1267326.58,777873.26,1371448.75,406552.4,276556.21,1340036.84,727298.75,6167092.78,2045199.84,683108.6,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),151.34,41.31,165.81,48.25,24.26,158.79,21.07,610.84,192.65,72.51,6,4,6,4,4,6,4,6,6,4
Pre-consumer processes to Fresh water (MP),1.45,0.17,1.59,0.47,0.2,1.54,0.03,5.44,1.62,0.66,2,1,2,1,1,2,1,2,2,1
Consumer packaging to Waste collection and recycling,107687.13,233132.6,340231.34,83157.43,13744.26,32781.29,281075.18,1091809.23,340819.73,96901.7,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,10673.66,19617.05,38639.21,5888.04,0,4669.27,105492.46,184979.69,30290.71,5888.04,10,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,91.96,191.82,287.62,67.35,10.44,28.54,292.08,969.82,283.79,77.79,4,6,6,4,4,4,6,6,6,4
Consumer packaging to Organic waste collection,3945.68,3548.22,7276.38,873.87,104.44,712.84,3431.92,19893.35,7493.9,978.31,8,8,8,6,6,6,8,10,8,6
Non-consumer packaging to Waste collection and recycling,179477.64,165289.52,127286.41,39810.58,17799.49,1043.08,105981.03,636687.74,344767.16,57610.07,10,10,10,10,10,8,10,10,10,10
Non-consumer packaging to Litter,4891.18,4459.38,3449.95,1084.91,479.89,28.85,2867.18,17261.34,9350.56,1564.8,8,8,8,8,6,4,8,10,8,8
Non-consumer packaging to Dumping,137.63,126.2,97.36,30.26,13.68,0.8,81.31,487.23,263.82,43.94,6,6,4,4,4,1,4,6,6,4
Construction to Waste collection and recycling,80684.4,222171.19,119560.53,0,242256.55,452018.12,28034.7,1144725.5,302855.59,242256.55,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.26,3.27,28.82,0,0,0.99,18.5,51.84,3.53,0,1,2,4,0,0,1,4,4,2,0
Construction to UnintendedCDWaste,1224.39,41.22,0,0,6559.68,3522.18,0,11347.46,1265.61,6559.68,8,4,0,0,8,8,0,10,8,8
Construction to Soil,0,35.12,587.99,0,0,0,757.79,1380.89,35.12,0,0,4,6,0,0,0,6,8,4,0
Construction to Indoor air (MP),0,0,0,0,0,110.14,0,110.14,0,0,0,0,0,0,0,6,0,6,0,0
Construction to Air (MP),0,0,0,0,24.77,0,0,24.77,0,24.77,0,0,0,0,4,0,0,4,0,4
