Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,18312.23,25312.5,38500.06,8996.86,8959.63,20430.7,7282.25,127794.25,43624.73,17956.5,10,10,10,8,8,10,8,10,10,10
Production to Pre-consumer processes,0,0,0,0,0,1124.55,16687.81,17812.36,0,0,0,0,0,0,0,8,10,10,0,0
Pre-consumer processes to Waste collection and recycling,816.62,1144.32,1919.04,398.52,395.57,951.01,1417.34,7042.42,1960.95,794.08,6,8,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.04,0.07,0.53,0.01,0.01,0.03,0.8,1.48,0.11,0.01,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,17494.83,24167.07,36579.05,8597.97,8563.69,20603.23,22549.82,138555.66,41661.9,17161.65,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.74,1.03,1.44,0.38,0.37,0.98,2.08,7.02,1.77,0.75,1,2,2,1,1,1,2,2,2,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0.02,0.03,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,3409.46,7283.21,10711.54,2577.91,421.64,1023.5,8687.75,34115,10692.67,2999.55,8,8,10,8,6,8,8,10,10,8
Consumer packaging to On-the-go consumption,327.62,604.61,1200.67,183.41,0,142.79,3228.43,5687.53,932.23,183.41,6,6,8,6,0,6,8,8,6,6
Consumer packaging to Dumping,5.32,11.07,16.78,3.93,0.59,1.64,16.8,56.14,16.39,4.52,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,28.02,25.21,52.08,6.21,0.74,5.06,24.2,141.52,53.23,6.95,4,4,4,2,1,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,5538.97,5094.7,3944.62,1224.24,544.32,32.03,3259,19637.87,10633.67,1768.55,8,8,8,8,6,4,8,10,10,8
Non-consumer packaging to Litter,143.68,131.77,101.76,31.23,13.92,0.82,83.29,506.48,275.45,45.15,6,6,6,4,4,1,4,6,6,4
Non-consumer packaging to Dumping,8.02,7.34,5.7,1.76,0.79,0.05,4.67,28.32,15.35,2.55,2,2,2,2,1,1,2,4,4,2
