Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,0,0,0,7050.86,0,168090.96,175141.82,0,7050.86,0,0,0,0,8,0,10,10,0,8
Production to Pre-consumer processes,151551,386101.35,361182.64,74353.79,55566.3,374089.1,0,1402844.18,537652.34,129920.09,10,10,10,10,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,7230.11,18711.6,22539.58,3560.74,2956.71,17857.64,10602.35,83458.73,25941.71,6517.45,8,10,10,8,8,10,10,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.18,6.01,13.59,1.07,0.8,5.37,7.07,36.09,8.19,1.87,2,2,4,2,1,2,2,4,2,2
Pre-consumer processes to ExcludedFlow,144301.33,367339.84,338588.19,70783.51,59653.02,356183.22,157476.97,1494326.06,511641.17,130436.52,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),17.22,43.47,40.89,8.39,6.58,42.47,4.56,163.58,60.69,14.97,4,4,4,2,2,4,2,6,4,4
Pre-consumer processes to Fresh water (MP),0.17,0.42,0.39,0.08,0.06,0.41,0.01,1.53,0.59,0.14,1,1,1,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,23322.55,50712.46,74541.68,18145.29,2969.65,7140.04,60772.82,237604.49,74035.01,21114.94,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,2272.71,4238.12,8406.75,1283.49,0,1006.06,22715.64,39922.76,6510.83,1283.49,8,8,8,8,0,8,10,10,8,8
Consumer packaging to Dumping,38.99,83.55,126.55,29.65,4.49,12.46,126.45,422.13,122.54,34.13,4,4,6,4,2,4,6,6,6,4
Consumer packaging to Organic waste collection,312.5,286.5,591.99,71.35,8.43,57.22,275.57,1603.56,599,79.78,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,38046.35,35655.86,27547.55,8636.9,3832.29,224.66,22821.14,136764.75,73702.2,12469.19,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,984.94,931.33,718.6,224.63,100.08,5.83,594.97,3560.37,1916.26,324.71,6,6,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,59.33,55.27,42.61,13.52,5.92,0.35,35.41,212.41,114.6,19.44,4,4,4,4,2,1,4,6,6,4
Construction to Waste collection and recycling,17258.97,48271.39,25791.89,0,52387.01,98221.11,6058.01,247988.39,65530.36,52387.01,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.06,0.76,6.06,0,0,0.22,3.84,10.93,0.81,0,1,1,2,0,0,1,2,4,1,0
Construction to UnintendedCDWaste,247.7,8.47,0,0,1346.35,731.62,0,2334.14,256.17,1346.35,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0,7.99,118.65,0,0,0,157.51,284.16,7.99,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,24.18,0,24.18,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,5.37,0,0,5.37,0,5.37,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2752.24,7362.78,33317.99,1260.82,0,9033.8,6234.01,59961.64,10115.02,1260.82,8,8,10,8,0,8,8,10,10,8
Automotive to Soil,1.61,5.51,25.87,0.03,0,1.83,0,34.85,7.12,0.03,2,2,4,1,0,2,1,4,2,1
Automotive to Export,40.65,108.9,491.26,18.57,0,133.17,92.12,884.69,149.56,18.57,4,6,6,4,0,6,4,6,6,4
Agriculture to Waste collection and recycling,14346.77,1432.85,6501.57,26.83,0,259.67,600.95,23168.64,15779.62,26.83,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,22.45,2.21,10.06,0.04,0,0.41,0.93,36.11,24.67,0.04,4,2,4,1,0,1,1,4,4,1
Agriculture to Organic waste collection,202.1,10.26,91.26,0.08,0,1.51,8.6,313.8,212.36,0.08,6,4,4,1,0,2,2,6,6,1
Agriculture to Soil (MP),270.22,6.5,43.56,0.03,0,1.92,7.54,329.77,276.72,0.03,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,32.53,13.73,7.86,0.57,0,5.21,0.38,60.28,46.26,0.57,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,346.71,477.35,0,0,0,691.31,1515.36,346.71,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,195.15,208.05,0,0,0,192.25,595.45,195.15,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.82,1.04,0,0,0,1.34,3.2,0.82,0,0,1,2,0,0,0,2,2,1,0
PCCP to Waste collection and recycling,0,0.32,0,0,0,0,0,0.32,0.32,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,6.07,0.01,0,0,0,0.03,6.12,6.07,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,244.33,4998.34,0,0,0,25930.36,31173.03,244.33,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.9,38.86,0,0,0,201.79,242.55,1.9,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,0.37,7.51,0,0,0,39.21,47.09,0.37,0,0,1,2,0,0,0,4,4,1,0
Clothing to Indoor air (MP),0,0.7,14.41,0,0,0,74.55,89.66,0.7,0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.29,5.97,0,0,0,31.16,37.43,0.29,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,33.95,3868.11,0,0,0,11891.41,15793.47,33.95,0,0,4,8,0,0,0,10,10,4,0
Household textiles to Storm water and wastewater (MP),0,0.02,2.41,0,0,0,7.41,9.84,0.02,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Dumping,0,0.05,5.83,0,0,0,17.98,23.86,0.05,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0,0.06,6.85,0,0,0,21.11,28.02,0.06,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Air (MP),0,0,0.34,0,0,0,1.05,1.4,0,0,0,1,1,0,0,0,2,2,1,0
Other products to Waste collection and recycling,25336.4,25516.76,72725.76,30051.42,2051.2,33929.07,8410.7,198021.31,50853.16,32102.62,10,10,10,10,8,10,8,10,10,10
Other products to Storm water and wastewater (MP),0,0,0,0,0,19.7,0,19.7,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,38.57,38.73,108.66,49.73,3.12,53.08,10.73,302.62,77.3,52.85,4,4,6,4,2,4,4,6,4,4
Other products to Organic waste collection,6.8,16.54,18.6,12.99,2.81,11.76,0.58,70.09,23.35,15.8,2,4,4,4,2,4,1,4,4,4
Other products to Soil (MP),0,0,0,0,0,13.15,0,13.15,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,0.97,0,0,0,0,0,0,0.97,0.97,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),2.42,5.81,6.54,4.59,0.99,10.74,0.2,31.3,8.23,5.58,2,2,2,2,1,4,1,4,2,2
Other products to Air (MP),0,0,0,0,0,13.12,0,13.12,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Export,144.78,136.02,5021.42,2873.83,0,1160.11,0.52,9336.69,280.8,2873.83,6,6,8,8,0,8,1,8,6,8
Other products to Fresh water,0.16,0,0,0,0,0,0,0.16,0.16,0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,61.38,61.49,26.85,0,0,0,0,149.72,122.87,0,4,4,4,0,0,0,0,6,6,0
Fishing gear to Fresh water (MP),0.05,0.05,0.02,0,0,0,0,0.13,0.1,0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),25.45,67.02,265.71,11.71,0.04,82.17,1.95,454.04,92.47,11.75,4,4,6,4,1,4,2,6,4,4
Waste collection and recycling to Litter,430.92,1233.06,655.85,0,1314.4,2480.56,154.87,6269.65,1663.98,1314.4,6,8,6,0,8,8,6,8,8,8
Waste collection and recycling to Soil (MP),2.17,5.73,18.76,1,0.21,6.53,1.08,35.49,7.9,1.21,2,2,4,2,1,2,2,4,2,2
Waste collection and recycling to Soil,10.47,12.06,19.29,5.34,1.12,4.33,15.46,68.06,22.53,6.45,4,4,4,2,2,2,4,4,4,2
Waste collection and recycling to Air (MP),1.57,4.04,16.49,0.73,0,5.23,0,28.06,5.61,0.73,2,2,4,1,0,2,1,4,2,1
Waste collection and recycling to Landfill,81319.41,122308.81,170044.5,42218.37,8088.23,34721.35,111812.53,570513.21,203628.22,50306.61,10,10,10,10,8,10,10,10,10,10
Waste collection and recycling to Reuse,9702.91,21606.31,35097.88,3818.08,2468.45,18723.35,19667.78,111084.76,31309.21,6286.53,8,10,10,8,8,10,10,10,10,8
Waste collection and recycling to End-of-life,40643.19,49139.22,75815.42,17153.24,54585.08,113992.17,45391.43,396719.73,89782.41,71738.32,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,5.36,104.31,111.96,1.58,0.45,0.48,108.91,333.04,109.67,2.03,2,6,6,2,1,1,6,6,6,2
Storm water and wastewater to Compost,2.23,71.98,76.7,0.65,0.18,0.19,72.92,224.85,74.21,0.83,2,4,4,1,1,1,4,6,4,1
Storm water and wastewater to Fresh water,11.39,13.77,15.59,3.36,0.94,1.01,26.1,72.16,25.16,4.31,4,4,4,2,1,2,4,4,4,2
Storm water and wastewater to Landfill,0.02,0.6,0.64,0.01,0,0,0.61,1.88,0.62,0.01,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater to End-of-life,0.18,5.71,6.13,0.05,0.01,0.02,5.86,17.96,5.88,0.07,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to Sludge amended soil,0.64,20.41,21.76,0.19,0.05,0.05,20.75,63.85,21.05,0.24,1,4,4,1,1,1,4,4,4,1
Storm water and wastewater (MP) to Compost (MP),15.81,46.52,188.59,7.53,0.38,61.88,133.47,454.2,62.34,7.91,4,4,6,2,1,4,6,6,4,2
Storm water and wastewater (MP) to Soil (MP),4.77,13.98,51.24,2.26,0.28,17.14,35.44,125.1,18.75,2.54,2,4,4,2,1,4,4,6,4,2
