Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,83582.47,0,0,0,34233.95,0,0,117816.42,83582.47,34233.95,10,0,0,0,10,0,0,10,10,10
Production to Pre-consumer processes,0,352530.98,969325.62,193750.86,6934.89,136815.18,296569.18,1955926.71,352530.98,200685.74,0,10,10,10,8,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,3639.83,17199.69,60392.5,9203.25,1838.8,6531.46,16988.64,115794.16,20839.52,11042.05,8,10,10,8,8,8,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),0.13,5.5,36.61,2.77,0.12,1.93,8.7,55.76,5.63,2.89,1,2,4,2,1,2,2,4,2,2
Pre-consumer processes to ExcludedFlow,79939.07,335285.24,908786.23,184522.69,39327.71,130266.18,279537.97,1957665.08,415224.3,223850.39,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),3.44,40.17,109.24,21.94,2.2,15.45,33.55,225.99,43.61,24.14,2,4,6,4,2,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.01,0.38,1.05,0.21,0.01,0.15,0.32,2.13,0.39,0.22,1,1,2,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,15173.67,33379.11,48879.58,11843.22,1937.59,4662.01,39760.09,155635.28,48552.78,13780.82,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1491,2797,5532.26,837.59,0,660.5,14906.23,26224.57,4288,837.59,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,24.87,53.16,79.84,18.71,2.85,7.87,79.91,267.23,78.04,21.56,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,347.11,320.19,659.44,78.78,9.34,64.14,306.52,1785.52,667.3,88.12,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,25286.44,23776.06,18355.84,5724.61,2528.35,148.97,15120.59,90940.86,49062.5,8252.96,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,383.77,360.92,278.63,85.9,38.15,2.25,227.41,1377.04,744.69,124.05,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,37.67,35.3,27.03,8.56,3.75,0.22,22.37,134.9,72.97,12.31,4,4,4,2,2,1,4,6,4,4
Construction to Waste collection and recycling,11391.47,31576.27,17062.14,0,34726.7,64702.74,4042.12,163501.44,42967.74,34726.7,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.04,0.5,3.98,0,0,0.14,2.54,7.2,0.54,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,94.86,3.3,0,0,521.88,279.97,0,900.01,98.16,521.88,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0,3.17,46.03,0,0,0,61.04,110.23,3.17,0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,15.92,0,15.92,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,3.51,0,0,3.51,0,3.51,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1473.21,3926.95,17627.91,662.52,0,4779.07,3326.67,31796.33,5400.17,662.52,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.07,3.63,17,0.02,0,1.2,0,22.92,4.7,0.02,2,2,4,1,0,2,1,4,2,1
Automotive to Export,377.7,1006.67,4530.59,170.07,0,1223.39,851.67,8160.11,1384.38,170.07,6,8,8,6,0,8,6,8,8,6
Agriculture to Waste collection and recycling,9410.08,946.69,4232.36,17.54,0,168.25,393.31,15168.24,10356.77,17.54,8,6,8,4,0,6,6,10,10,4
