Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,125941.15,10689.12,0,197404.05,437238.54,480401.95,1251674.82,125941.15,197404.05,0,10,10,0,10,10,10,10,10,10
Production to Pre-consumer processes,637154.85,627605.43,1132267.05,273487.6,72943.27,214721.74,243391.52,3201571.48,1264760.28,346430.87,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,30839.12,36101.14,70982.34,13081.12,12118.74,29277.27,44494.54,236894.27,66940.26,25199.86,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),9.11,10.02,42.64,3.94,1.2,3.41,27.25,97.58,19.13,5.15,2,4,4,2,2,2,4,4,4,2
Pre-consumer processes to ExcludedFlow,606234.29,717358.3,1071801.3,260371.29,258210.88,622636.81,679230.62,4215843.5,1323592.59,518582.17,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),71.63,76.43,128.68,30.95,16.41,42.53,40.77,407.4,148.07,47.36,4,4,6,4,4,4,4,6,6,4
Pre-consumer processes to Fresh water (MP),0.7,0.69,1.22,0.3,0.09,0.26,0.29,3.55,1.39,0.39,1,1,2,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,97123.47,213273.5,315372.44,76464.79,12652.06,30052.32,258707.45,1003646.02,310396.97,89116.84,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,9784.85,18093.11,36382.51,5456.7,0,4314.06,98150.96,172182.18,27877.96,5456.7,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,681.5,1441.82,2206.35,511.24,77.94,214.66,2224.13,7357.64,2123.32,589.17,6,8,8,6,4,6,8,8,8,6
Consumer packaging to Organic waste collection,4247.91,3863,8068.48,956.29,114.89,778.5,3764.78,21793.86,8110.91,1071.18,8,8,8,6,6,6,8,10,8,8
Non-consumer packaging to Waste collection and recycling,161475.11,149831.62,117206.81,36343.53,16202.81,950.91,96888.31,578899.1,311306.73,52546.34,10,10,10,10,10,6,10,10,10,10
Non-consumer packaging to Litter,6230.89,5833.06,4501.42,1418.43,625.37,37.08,3750.91,22397.15,12063.95,2043.8,8,8,8,8,6,4,8,10,10,8
Non-consumer packaging to Dumping,1037.47,954.55,748.24,231.66,102.81,6.02,617.65,3698.41,1992.03,334.46,8,6,6,6,6,2,6,8,8,6
Construction to Waste collection and recycling,73723.15,206814.44,111641.79,0,222714.1,417759.43,25654.42,1058307.34,280537.59,222714.1,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.24,3.07,26.36,0,0,0.92,16.48,47.07,3.31,0,1,2,4,0,0,1,4,4,2,0
