Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,23624.48,32670.78,49457.47,11761.97,11700.64,21200.13,0,150415.47,56295.26,23462.61,10,10,10,10,10,10,0,10,10,10
Production to Pre-consumer processes,0,0,0,0,0,6913.83,795536.74,802450.57,0,0,0,0,0,0,0,8,10,10,0,0
Pre-consumer processes to Waste collection and recycling,1054.98,1465.67,2477.28,515.19,521.25,1260.1,45196.41,52490.87,2520.65,1036.43,8,8,8,6,6,8,10,10,8,8
Pre-consumer processes to Storm water and wastewater (MP),0.04,0.1,0.69,0.01,0.01,0.12,23.3,24.26,0.14,0.02,1,1,1,1,1,1,4,4,1,1
Pre-consumer processes to ExcludedFlow,22568.48,31203.7,46977.66,11246.28,11178.92,26852.07,750226.29,900253.39,53772.17,22425.19,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.98,1.32,1.83,0.49,0.47,1.66,89.88,96.64,2.29,0.97,1,2,2,1,1,2,4,4,2,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0.01,0.86,0.88,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,4299.16,9372.96,13650.15,3352.15,547.37,1323.89,11220.53,43766.21,13672.12,3899.52,8,8,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,428.33,787.14,1555.76,239.56,0,188.65,4167.35,7366.79,1215.47,239.56,6,6,8,6,0,6,8,8,8,6
Consumer packaging to Dumping,4.72,9.9,15,3.49,0.53,1.47,14.98,50.09,14.62,4.02,2,2,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,153.19,139.51,286.54,34.53,4.09,28.21,133.49,779.57,292.7,38.63,6,6,6,4,2,4,6,6,6,4
Non-consumer packaging to Waste collection and recycling,7233.87,6692.67,5150.03,1616.63,715.61,42.48,4262.86,25714.14,13926.55,2332.24,8,8,8,8,6,4,8,10,10,8
Non-consumer packaging to Litter,127.58,117.32,91.74,28.57,12.58,0.76,74.88,453.43,244.9,41.15,6,6,4,4,4,1,4,6,6,4
Non-consumer packaging to Dumping,7.06,6.59,5.05,1.58,0.7,0.04,4.18,25.21,13.65,2.28,2,2,2,2,1,1,2,4,4,2
Construction to Waste collection and recycling,3244.26,8966.94,4808.76,0,9723.53,18175.75,1126.69,46045.93,12211.2,9723.53,8,8,8,0,8,10,8,10,10,8
Construction to Soil (MP),0.01,0.13,1.13,0,0,0.04,0.71,2.02,0.14,0,1,1,2,0,0,1,1,2,1,0
Construction to UnintendedCDWaste,31.9,1.09,0,0,169.88,91.65,0,294.53,32.99,169.88,4,2,0,0,6,4,0,6,4,6
Construction to Soil,0,0.91,14.94,0,0,0,19.85,35.7,0.91,0,0,1,4,0,0,0,4,4,1,0
Construction to Indoor air (MP),0,0,0,0,0,4.43,0,4.43,0,0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0,0,0,0,0.99,0,0,0.99,0,0.99,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,331.09,869.27,3975.94,149.41,0,1074.51,742.16,7142.38,1200.37,149.41,6,6,8,6,0,8,6,8,8,6
Automotive to Soil,0.3,1.01,4.79,0.01,0,0.34,0,6.44,1.31,0.01,1,2,2,1,0,1,1,2,2,1
Automotive to Export,189.21,500.68,2282.1,85.41,0,614.85,424.84,4097.09,689.88,85.41,6,6,8,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,2631.48,253.42,1178.48,4.96,0,47.78,108.29,4224.4,2884.9,4.96,8,6,8,2,0,4,6,8,8,2
Agriculture to Dumping,2.7,0.25,1.19,0,0,0.05,0.11,4.31,2.95,0,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,98.93,4.6,44.26,0.04,0,0.73,4.16,152.71,103.52,0.04,4,2,4,1,0,1,2,6,6,1
Agriculture to Soil (MP),50.68,1.08,8.22,0.01,0,0.36,1.37,61.72,51.76,0.01,4,2,2,1,0,1,2,4,4,1
Agriculture to Soil,6.09,2.55,1.46,0.11,0,0.97,0.07,11.24,8.63,0.11,2,2,2,1,0,1,1,4,2,1
Hygiene products to Waste collection and recycling,0,97.38,135.07,0,0,0,207.94,440.4,97.38,0,0,4,6,0,0,0,6,6,4,0
Hygiene products to Storm water and wastewater,0,55.89,58.78,0,0,0,54.91,169.58,55.89,0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Dumping,0,0.15,0.19,0,0,0,0.25,0.59,0.15,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.06,0,0,0,0,0,0.06,0.06,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,1.12,0,0,0,0,0.01,1.13,1.12,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,40.1,928.03,0,0,0,4843.99,5812.11,40.1,0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0,0.31,7.22,0,0,0,37.65,45.18,0.31,0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0,0.04,0.9,0,0,0,4.66,5.6,0.04,0,0,1,1,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.12,2.68,0,0,0,13.93,16.72,0.12,0,0,1,2,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.05,1.12,0,0,0,5.83,6.99,0.05,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0,5.68,720.59,0,0,0,2198.87,2925.14,5.68,0,0,2,6,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0,0,0.45,0,0,0,1.37,1.82,0,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Dumping,0,0.01,0.69,0,0,0,2.12,2.82,0.01,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0,0.01,1.27,0,0,0,3.9,5.19,0.01,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Air (MP),0,0,0.06,0,0,0,0.19,0.26,0,0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,4746.24,4670.11,14084.64,5913.95,380.34,6449.32,1461.31,37705.91,9416.35,6294.29,8,8,10,8,6,8,8,10,8,8
Other products to Storm water and wastewater (MP),0,0,0,0,0,3.65,0,3.65,0,0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,4.63,4.54,13.02,5.88,0.37,6.33,1.24,36,9.17,6.25,2,2,4,2,1,2,2,4,2,2
Other products to Organic waste collection,3.31,7.84,9.05,6.3,1.36,5.75,0.28,33.9,11.15,7.66,2,2,2,2,2,2,1,4,4,2
Other products to Soil (MP),0,0,0,0,0,2.44,0,2.44,0,0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.18,0,0,0,0,0,0,0.18,0.18,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.45,1.06,1.22,0.85,0.18,1.99,0.04,5.79,1.5,1.04,1,2,2,1,1,2,1,2,2,2
Other products to Air (MP),0,0,0,0,0,2.44,0,2.44,0,0,0,0,0,0,0,2,0,2,0,0
