Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,6657.56,9314.8,14153.74,3324.85,3328.24,7987.09,8852.87,53619.14,15972.36,6653.08,8,8,10,8,8,8,8,10,10,8
Pre-consumer processes to Waste collection and recycling,287.71,418.68,711.16,145.97,146.11,352.08,557.99,2619.69,706.39,292.08,6,6,6,6,6,6,6,8,6,6
Pre-consumer processes to Storm water and wastewater (MP),0,0.02,0.19,0,0,0.01,0.37,0.6,0.02,0,1,1,1,1,1,1,1,1,1,1
Pre-consumer processes to ExcludedFlow,6369.57,8895.71,13441.87,3178.74,3181.99,7634.67,8294.27,50996.81,15265.27,6360.73,8,8,10,8,8,8,8,10,10,8
Pre-consumer processes to Soil (MP),0.28,0.39,0.52,0.14,0.14,0.34,0.24,2.03,0.66,0.28,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,1176.86,2619.86,3820.5,943.25,153.7,364.27,3166.11,12244.54,3796.71,1096.95,8,8,8,6,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,121.14,224.11,441.09,67.66,0,52.99,1201.26,2108.24,345.25,67.66,6,6,6,4,0,4,8,8,6,4
Consumer packaging to Dumping,0.61,1.28,1.93,0.45,0.07,0.19,1.94,6.47,1.89,0.52,1,2,2,1,1,1,2,2,2,1
Consumer packaging to Organic waste collection,85.29,77.26,160.1,19.19,2.25,15.53,74.99,434.62,162.55,21.44,4,4,6,4,2,4,4,6,6,4
Non-consumer packaging to Waste collection and recycling,2037.42,1890.92,1461.65,457.99,201.67,11.9,1214.92,7276.48,3928.34,659.66,8,8,8,6,6,4,8,8,8,6
Non-consumer packaging to Litter,45,41.4,31.89,10.07,4.44,0.26,26.71,159.78,86.4,14.51,4,4,4,4,2,1,4,6,4,4
Non-consumer packaging to Dumping,0.91,0.84,0.66,0.2,0.09,0.01,0.54,3.25,1.75,0.3,1,1,1,1,1,1,1,2,2,1
Construction to Waste collection and recycling,914.63,2546.79,1369.78,0,2772.67,5105.41,320.25,13029.53,3461.42,2772.67,6,8,8,0,8,8,6,10,8,8
Construction to Soil (MP),0,0.04,0.32,0,0,0.01,0.21,0.57,0.04,0,1,1,1,0,0,1,1,1,1,0
Construction to UnintendedCDWaste,11.09,0.38,0,0,60.35,32.09,0,103.91,11.47,60.35,4,1,0,0,4,4,0,6,4,4
Construction to Soil,0,0.34,5.34,0,0,0,7.01,12.7,0.34,0,0,1,2,0,0,0,2,4,1,0
Construction to Indoor air (MP),0,0,0,0,0,1.25,0,1.25,0,0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0,0,0,0,0.28,0,0,0.28,0,0.28,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,25.77,69.63,314.14,11.61,0,84.68,58.09,563.91,95.4,11.61,4,4,6,4,0,4,4,6,4,4
Automotive to Soil,0.09,0.29,1.37,0,0,0.1,0,1.85,0.38,0,1,1,2,1,0,1,1,2,1,1
Automotive to Export,121.38,324.59,1472.5,54.67,0,397.91,275.16,2646.22,445.98,54.67,6,6,8,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,722.2,72.08,323.59,1.39,0,13.36,29.89,1162.52,794.28,1.39,6,4,6,2,0,4,4,8,6,2
Agriculture to Dumping,0.35,0.03,0.15,0,0,0.01,0.01,0.56,0.38,0,1,1,1,1,0,1,1,1,1,1
Agriculture to Organic waste collection,55.25,2.65,24.76,0.02,0,0.41,2.32,85.42,57.91,0.02,4,2,4,1,0,1,2,4,4,1
Agriculture to Soil (MP),14.43,0.32,2.27,0,0,0.1,0.4,17.52,14.75,0,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,1.75,0.72,0.41,0.03,0,0.27,0.02,3.21,2.47,0.03,2,1,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0,23.74,31.78,0,0,0,47.25,102.76,23.74,0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Storm water and wastewater,0,13.58,14,0,0,0,12.72,40.3,13.58,0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0,0.02,0.02,0,0,0,0.03,0.06,0.02,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.02,0,0,0,0,0,0.02,0.02,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,0.32,0,0,0,0,0,0.32,0.32,0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0,12.02,262.63,0,0,0,1374.17,1648.82,12.02,0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0,0.09,2.04,0,0,0,10.67,12.81,0.09,0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0,0.01,0.11,0,0,0,0.6,0.72,0.01,0,0,1,1,0,0,0,1,1,1,0
Clothing to Indoor air (MP),0,0.03,0.75,0,0,0,3.93,4.72,0.03,0,0,1,1,0,0,0,2,2,1,0
Clothing to Air (MP),0,0.01,0.32,0,0,0,1.65,1.98,0.01,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0,1.7,205.6,0,0,0,626.66,833.96,1.7,0,0,2,6,0,0,0,6,6,2,0
Household textiles to Storm water and wastewater (MP),0,0,0.13,0,0,0,0.39,0.52,0,0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0,0,0.09,0,0,0,0.28,0.37,0,0,0,1,1,0,0,0,1,1,1,0
Household textiles to Indoor air (MP),0,0,0.36,0,0,0,1.11,1.47,0,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Air (MP),0,0,0.02,0,0,0,0.06,0.07,0,0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,1330.71,1328.37,3845.08,1589.46,107.92,1785.54,430.6,10417.67,2659.08,1697.37,8,8,8,8,6,8,6,10,8,8
Other products to Storm water and wastewater (MP),0,0,0,0,0,1.03,0,1.03,0,0,0,0,0,0,0,2,0,2,0,0
Other products to Dumping,0.59,0.58,1.67,0.76,0.05,0.81,0.16,4.62,1.17,0.81,1,1,2,1,1,1,1,2,2,1
Other products to Organic waste collection,1.85,4.43,5.05,3.54,0.76,3.22,0.15,19.01,6.28,4.3,2,2,2,2,1,2,1,4,2,2
Other products to Soil (MP),0,0,0,0,0,0.69,0,0.69,0,0,0,0,0,0,0,1,0,1,0,0
Other products to Soil,0.05,0,0,0,0,0,0,0.05,0.05,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.13,0.3,0.35,0.24,0.05,0.56,0.01,1.65,0.43,0.3,1,1,1,1,1,1,1,2,1,1
Other products to Air (MP),0,0,0,0,0,0.69,0,0.69,0,0,0,0,0,0,0,1,0,1,0,0
Other products to Export,7.63,7.13,262.8,153.65,0,61.42,0.03,492.65,14.76,153.65,2,2,6,6,0,4,1,6,4,6
Other products to Fresh water,0.01,0,0,0,0,0,0,0.01,0.01,0,1,0,0,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),0.44,1.21,4.26,0.19,0,1.3,0.18,7.59,1.65,0.2,1,2,2,1,1,2,1,2,2,1
Waste collection and recycling to Litter,19.56,54.49,29.48,0,59.07,109.1,6.87,278.57,74.05,59.07,4,4,4,0,4,6,2,6,4,4
Waste collection and recycling to Soil (MP),0.05,0.12,0.33,0.02,0.01,0.11,0.07,0.71,0.17,0.03,1,1,1,1,1,1,1,1,1,1
Waste collection and recycling to Soil,0.55,0.62,1,0.28,0.06,0.22,0.81,3.54,1.17,0.34,1,1,2,1,1,1,1,2,2,1
Waste collection and recycling to Air (MP),0.02,0.06,0.27,0.01,0,0.08,0,0.45,0.09,0.01,1,1,1,1,0,1,1,1,1,1
Waste collection and recycling to Reuse,519.32,741.5,978.75,169.63,134.34,338.57,1426.4,4308.52,1260.82,303.97,6,6,6,6,6,6,8,8,8,6
Waste collection and recycling to End-of-life,6143.91,8493.96,11827.04,3056.6,3293.26,7428.64,7609.39,47852.8,14637.87,6349.86,8,8,10,8,8,8,8,10,10,8
Storm water and wastewater to Waste collection and recycling,0.42,8.97,9.26,0.12,0.03,0.04,8.84,27.69,9.39,0.16,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater to Compost,0.05,1.15,1.2,0.01,0,0,1.17,3.61,1.21,0.02,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater to Fresh water,0.09,0.21,0.23,0.03,0.01,0.01,0.31,0.88,0.3,0.03,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater to End-of-life,0.12,2.52,2.62,0.03,0.01,0.01,2.55,7.85,2.63,0.04,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater to Sludge amended soil,0.07,1.58,1.66,0.02,0.01,0.01,1.6,4.95,1.66,0.03,1,2,2,1,1,1,2,2,2,1
Storm water and wastewater (MP) to Compost (MP),0.08,0.3,1.24,0.04,0,0.46,2.22,4.35,0.38,0.04,1,1,2,1,1,1,2,2,1,1
Storm water and wastewater (MP) to Soil (MP),0.06,0.23,0.78,0.03,0,0.24,1.39,2.74,0.29,0.03,1,1,1,1,1,1,2,2,1,1
Storm water and wastewater (MP) to Fresh water (MP),0.03,0.1,0.32,0.01,0,0.16,0.57,1.18,0.12,0.01,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater (MP) to End-of-life,0.18,0.64,2.71,0.09,0,1.01,4.84,9.47,0.82,0.09,1,1,2,1,1,2,2,2,1,1
Storm water and wastewater (MP) to Sludge amended soil (MP),0.11,0.41,1.7,0.05,0,0.63,3.05,5.95,0.52,0.06,1,1,2,1,1,1,2,2,1,1
On-the-go consumption to Waste collection and recycling,103.58,191.3,376.33,57.84,0,45.31,1025.41,1799.77,294.88,57.84,6,6,6,4,0,4,8,8,6,4
On-the-go consumption to Litter,17.56,32.81,64.76,9.82,0,7.68,175.85,308.47,50.37,9.82,4,4,4,2,0,2,6,6,4,2
Litter to Waste collection and recycling,73.57,107.35,108.88,18.99,45.23,82.93,180.99,617.94,180.92,64.22,4,6,6,4,4,4,6,6,6,4
Litter to Storm water and wastewater,0.76,0.85,0.96,0.22,0.06,0.07,1.76,4.67,1.6,0.28,1,1,1,1,1,1,2,2,2,1
Litter to Soil,10.16,23.19,20.82,2.08,18.41,35.05,30.04,139.75,33.35,20.49,4,4,4,2,4,4,4,6,4,4
Litter to Fresh water,0.08,0.09,0.1,0.02,0.01,0.01,0.19,0.51,0.17,0.03,1,1,1,1,1,1,1,1,1,1
Dumping to Litter,2.45,2.77,4.64,1.42,0.21,1.01,3.56,16.05,5.22,1.63,2,2,2,2,1,2,2,4,2,2
Unintended C&D waste to Waste collection and recycling,10.91,0.37,0,0,59.39,31.58,0,102.25,11.29,59.39,4,1,0,0,4,4,0,6,4,4
