Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,13018.6,18029.11,25986.02,6414.41,6366.15,15325.04,16987.29,102126.62,31047.71,12780.56,10,10,10,8,8,10,10,10,10,10
Production to Pre-consumer processes,0,0,1031.48,0,0,0,0,1031.48,0,0,0,0,8,0,0,0,0,8,0,0
Pre-consumer processes to Waste collection and recycling,580.77,816.45,1361.05,284.09,282.08,673.88,1068.5,5066.81,1397.21,566.17,6,6,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.03,0.06,0.4,0,0,0.01,0.71,1.21,0.08,0.01,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,12437.27,17211.87,25654.97,6130.05,6083.8,14650.52,15917.62,98086.09,29649.14,12213.84,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.53,0.73,1.08,0.26,0.27,0.63,0.47,3.98,1.27,0.53,1,1,2,1,1,1,1,2,2,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0,0.01,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2367.14,5148.81,7558.27,1825.85,299.16,722.08,6129.29,24050.62,7515.96,2125.01,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,230.98,431.44,851.07,128.99,0,102.33,2304.74,4049.53,662.42,128.99,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,7.84,16.82,25.41,5.88,0.89,2.48,25.34,84.67,24.66,6.78,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,30.11,27.63,57.03,6.81,0.81,5.53,26.51,154.42,57.74,7.62,4,4,4,2,1,2,4,6,4,2
Non-consumer packaging to Waste collection and recycling,3906.81,3650.75,2812.67,877.45,388.16,22.92,2324.51,13983.27,7557.55,1265.61,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Litter,66.87,62.12,48.4,15.09,6.69,0.39,39.79,239.36,128.99,21.78,4,4,4,4,2,1,4,6,6,4
Non-consumer packaging to Dumping,11.97,11.01,8.56,2.67,1.18,0.07,7.06,42.53,22.98,3.86,4,4,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,1762.61,4902.32,2625.16,0,5308.39,9848.64,613.65,25060.79,6664.94,5308.39,8,8,8,0,8,8,6,10,8,8
Construction to Soil (MP),0.01,0.07,0.62,0,0,0.02,0.39,1.1,0.07,0,1,1,1,0,0,1,1,2,1,0
Construction to UnintendedCDWaste,16.68,0.58,0,0,90.49,48.19,0,155.94,17.26,90.49,4,1,0,0,4,4,0,6,4,4
Construction to Soil,0,0.43,8.14,0,0,0,10.46,19.03,0.43,0,0,1,2,0,0,0,4,4,1,0
Construction to Indoor air (MP),0,0,0,0,0,2.39,0,2.39,0,0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0,0,0,0,0.54,0,0,0.54,0,0.54,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,277.72,738.95,3404.14,125.62,0,910.22,628.87,6085.52,1016.67,125.62,6,6,8,6,0,6,6,8,8,6
Automotive to Soil,0.16,0.56,2.64,0,0,0.18,0,3.54,0.72,0,1,1,2,1,0,1,1,2,1,1
Automotive to Export,3.43,9.13,41.95,1.56,0,11.25,7.77,75.09,12.56,1.56,2,2,4,2,0,4,2,4,4,2
Agriculture to Waste collection and recycling,1466.29,134.1,661.67,2.68,0,25.97,60.34,2351.05,1600.39,2.68,8,6,6,2,0,4,4,8,8,2
Agriculture to Dumping,4.56,0.41,2.03,0.01,0,0.08,0.18,7.27,4.97,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,19.54,0.83,8.79,0.01,0,0.14,0.82,30.13,20.38,0.01,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil (MP),27.7,0.52,4.49,0,0,0.19,0.75,33.66,28.22,0,4,1,2,1,0,1,1,4,4,1
Agriculture to Soil,3.33,1.4,0.8,0.06,0,0.53,0.04,6.15,4.73,0.06,2,2,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0,65.01,91.24,0,0,0,138.88,295.13,65.01,0,0,4,4,0,0,0,6,6,4,0
Hygiene products to Storm water and wastewater,0,36.96,39.83,0,0,0,37.22,114.01,36.96,0,0,4,4,0,0,0,4,6,4,0
Hygiene products to Dumping,0,0.31,0.39,0,0,0,0.52,1.22,0.31,0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0,0.03,0,0,0,0,0,0.03,0.03,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,0.61,0,0,0,0,0,0.62,0.61,0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0,19.35,505.02,0,0,0,2635.11,3159.48,19.35,0,0,4,6,0,0,0,8,8,4,0
Clothing to Storm water and wastewater (MP),0,0.15,3.93,0,0,0,20.53,24.62,0.15,0,0,1,2,0,0,0,4,4,1,0
Clothing to Dumping,0,0.06,1.52,0,0,0,7.91,9.48,0.06,0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.06,1.46,0,0,0,7.55,9.06,0.06,0,0,1,2,0,0,0,2,2,1,0
Clothing to Air (MP),0,0.02,0.61,0,0,0,3.16,3.8,0.02,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Waste collection and recycling,0,2.74,392.45,0,0,0,1196.25,1591.44,2.74,0,0,2,6,0,0,0,8,8,2,0
Household textiles to Storm water and wastewater (MP),0,0,0.24,0,0,0,0.75,0.99,0,0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0,0.01,1.18,0,0,0,3.59,4.77,0.01,0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0,0,0.7,0,0,0,2.12,2.82,0,0,0,1,1,0,0,0,2,2,1,0
Household textiles to Air (MP),0,0,0.03,0,0,0,0.11,0.14,0,0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,2568.04,2543.11,7295.36,3030.46,208.73,3438.31,760.64,19844.66,5111.16,3239.19,8,8,8,8,6,8,6,10,8,8
Other products to Storm water and wastewater (MP),0,0,0,0,0,1.99,0,1.99,0,0,0,0,0,0,0,2,0,2,0,0
