Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,3896.35,5393,8114.74,1914.58,1923.4,4582.73,5155.95,30980.75,9289.35,3837.98,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Waste collection and recycling,172.79,244.59,406.83,83.69,84.42,200.38,324.87,1517.57,417.39,168.11,6,6,6,4,4,6,6,8,6,6
Pre-consumer processes to Storm water and wastewater (MP),0.01,0.01,0.11,0,0,0,0.22,0.35,0.02,0,1,1,1,1,1,1,1,1,1,1
Pre-consumer processes to ExcludedFlow,3723.4,5148.17,7707.5,1830.8,1838.9,4382.15,4830.72,29461.65,8871.56,3669.71,8,8,8,8,8,8,8,10,8,8
Pre-consumer processes to Soil (MP),0.16,0.22,0.3,0.08,0.08,0.19,0.14,1.17,0.38,0.16,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,709.97,1547.69,2263.3,552.13,90.5,216.66,1842.87,7223.13,2257.66,642.63,6,8,8,6,4,6,8,8,8,6
Consumer packaging to On-the-go consumption,69.24,129.27,254.91,39.18,0,30.65,695.16,1218.41,198.51,39.18,4,6,6,4,0,4,6,8,6,4
Consumer packaging to Dumping,1.71,3.62,5.44,1.27,0.19,0.53,5.47,18.24,5.33,1.46,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,12.8,11.68,23.91,2.89,0.34,2.33,11.22,65.17,24.48,3.24,4,4,4,2,1,2,4,4,4,2
Non-consumer packaging to Waste collection and recycling,1183.46,1106.36,850.7,267.55,118.77,6.93,703.91,4237.67,2289.82,386.32,8,8,6,6,6,2,6,8,8,6
Non-consumer packaging to Litter,12.82,12.07,9.23,2.85,1.28,0.08,7.7,46.03,24.9,4.12,4,4,2,2,2,1,2,4,4,2
Non-consumer packaging to Dumping,2.56,2.4,1.86,0.58,0.26,0.02,1.51,9.18,4.96,0.84,2,2,2,1,1,1,2,2,2,1
Construction to Waste collection and recycling,530.81,1459.62,793.26,0,1602.73,3001.6,186.71,7574.73,1990.43,1602.73,6,8,6,0,8,8,6,8,8,8
Construction to Soil (MP),0,0.02,0.18,0,0,0.01,0.12,0.33,0.02,0,1,1,1,0,0,1,1,1,1,0
Construction to UnintendedCDWaste,3.16,0.11,0,0,17.23,9.38,0,29.88,3.27,17.23,2,1,0,0,4,2,0,4,2,4
Construction to Soil,0,0.09,1.56,0,0,0,2.01,3.66,0.09,0,0,1,2,0,0,0,2,2,1,0
Construction to Indoor air (MP),0,0,0,0,0,0.73,0,0.73,0,0,0,0,0,0,0,1,0,1,0,0
Construction to Air (MP),0,0,0,0,0.16,0,0,0.16,0,0.16,0,0,0,0,1,0,0,1,0,1
Automotive to Waste collection and recycling,14.74,39.25,180.22,6.68,0,48.97,33.73,323.6,53.99,6.68,4,4,6,2,0,4,4,6,4,2
Automotive to Soil,0.05,0.17,0.78,0,0,0.06,0,1.06,0.22,0,1,1,1,1,0,1,1,2,1,1
Automotive to Export,70.08,186.54,846.03,31.8,0,230.22,158.42,1523.09,256.62,31.8,4,6,6,4,0,6,6,8,6,4
Agriculture to Waste collection and recycling,437.39,40.92,197.09,0.81,0,7.84,18.15,702.2,478.31,0.81,6,4,6,1,0,2,4,6,6,1
Agriculture to Dumping,0.97,0.09,0.44,0,0,0.02,0.04,1.56,1.06,0,1,1,1,1,0,1,1,2,2,1
Agriculture to Organic waste collection,8.23,0.37,3.71,0,0,0.06,0.35,12.72,8.6,0,2,1,2,1,0,1,1,4,2,1
Agriculture to Soil (MP),8.27,0.16,1.35,0,0,0.06,0.23,10.06,8.43,0,2,1,2,1,0,1,1,4,2,1
Agriculture to Soil,0.99,0.42,0.24,0.02,0,0.16,0.01,1.84,1.41,0.02,1,1,1,1,0,1,1,2,2,1
Hygiene products to Waste collection and recycling,0,18.3,25.09,0,0,0,36.71,80.09,18.3,0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Storm water and wastewater,0,10.29,11.06,0,0,0,10.06,31.41,10.29,0,0,4,4,0,0,0,4,4,4,0
Hygiene products to Dumping,0,0.06,0.08,0,0,0,0.1,0.24,0.06,0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0,0.01,0,0,0,0,0,0.01,0.01,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,0.18,0,0,0,0,0,0.18,0.18,0,0,1,1,0,0,0,1,1,1,0
Clothing to Waste collection and recycling,0,6.12,151.77,0,0,0,791.36,949.25,6.12,0,0,2,6,0,0,0,6,6,2,0
Clothing to Storm water and wastewater (MP),0,0.05,1.18,0,0,0,6.16,7.39,0.05,0,0,1,2,0,0,0,2,2,1,0
Clothing to Dumping,0,0.01,0.33,0,0,0,1.71,2.05,0.01,0,0,1,1,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.02,0.44,0,0,0,2.27,2.72,0.02,0,0,1,1,0,0,0,2,2,1,0
Clothing to Air (MP),0,0.01,0.18,0,0,0,0.95,1.14,0.01,0,0,1,1,0,0,0,1,2,1,0
Household textiles to Waste collection and recycling,0,0.87,118.5,0,0,0,360.9,480.27,0.87,0,0,1,6,0,0,0,6,6,1,0
Household textiles to Storm water and wastewater (MP),0,0,0.07,0,0,0,0.22,0.3,0,0,0,1,1,0,0,0,1,1,1,0
Household textiles to Dumping,0,0,0.26,0,0,0,0.77,1.03,0,0,0,1,1,0,0,0,1,2,1,0
Household textiles to Indoor air (MP),0,0,0.21,0,0,0,0.64,0.85,0,0,0,1,1,0,0,0,1,1,1,0
Household textiles to Air (MP),0,0,0.01,0,0,0,0.03,0.04,0,0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,771.48,762.72,2166.89,896.73,62.66,1021.61,235.3,5917.38,1534.2,959.38,6,6,8,6,4,8,6,8,8,6
Other products to Storm water and wastewater (MP),0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,1,0,1,0,0
Other products to Dumping,1.67,1.65,4.68,2.16,0.13,2.29,0.45,13.03,3.31,2.29,2,2,2,2,1,2,1,4,2,2
Other products to Organic waste collection,0.28,0.66,0.76,0.53,0.11,0.48,0.02,2.83,0.93,0.64,1,1,1,1,1,1,1,2,1,1
Other products to Soil (MP),0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,1,0,1,0,0
Other products to Soil,0.03,0,0,0,0,0,0,0.03,0.03,0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.07,0.17,0.2,0.14,0.03,0.33,0.01,0.95,0.25,0.17,1,1,1,1,1,1,1,1,1,1
Other products to Air (MP),0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,1,0,1,0,0
Other products to Export,5.26,4.99,181.69,105.99,0,42.41,0.02,340.36,10.25,105.99,2,2,6,6,0,4,1,6,4,6
Other products to Fresh water,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,55.92,55.91,24.53,0,0,0,0,136.35,111.83,0,4,4,4,0,0,0,0,6,6,0
Fishing gear to Coastal and ocean water,0.26,0.25,0.04,0,0,0,0,0.55,0.51,0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water (MP),0.04,0.04,0.02,0,0,0,0,0.1,0.08,0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),0.01,0.07,0.07,0,0,0.01,0.03,0.19,0.08,0,1,1,1,1,1,1,1,1,1,1
Waste collection and recycling to Litter,5.69,15.61,8.53,0,17.37,32.4,2.01,81.6,21.3,17.37,2,4,2,0,4,4,2,4,4,4
Waste collection and recycling to Soil (MP),0.01,0.03,0.04,0.01,0.01,0.02,0.03,0.13,0.04,0.01,1,1,1,1,1,1,1,1,1,1
Waste collection and recycling to Soil,0.32,0.36,0.58,0.16,0.03,0.13,0.47,2.05,0.68,0.19,1,1,1,1,1,1,1,2,1,1
Waste collection and recycling to Air (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
Waste collection and recycling to Landfill,2961.52,4444.16,5830.36,1471.87,262.92,1107.1,4033.78,20111.7,7405.68,1734.78,8,8,8,8,6,8,8,10,8,8
Waste collection and recycling to Reuse,197.19,278.68,531.8,73.93,65.87,214.64,425.58,1787.7,475.87,139.81,6,6,6,4,4,6,6,8,6,6
Waste collection and recycling to End-of-life,805.64,708.08,1090.77,305.98,1646.36,3219.24,779.83,8555.9,1513.72,1952.34,6,6,8,6,8,8,6,8,8,8
Storm water and wastewater to Waste collection and recycling,0,6.51,7.08,0,0,0,6.38,19.97,6.51,0,0,2,2,0,0,0,2,4,2,0
Storm water and wastewater to Fresh water,0.14,0.25,0.33,0.05,0.01,0.02,0.57,1.36,0.39,0.06,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater to Landfill,0,3.7,3.89,0,0,0,3.6,11.19,3.7,0,0,2,2,0,0,0,2,4,2,0
Storm water and wastewater (MP) to Soil (MP),0,0.05,0.18,0,0,0.06,0.75,1.04,0.05,0,1,1,1,1,1,1,1,2,1,1
Storm water and wastewater (MP) to Fresh water (MP),0,0.02,0.05,0,0,0.21,0.2,0.48,0.02,0,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater (MP) to Coastal and ocean water (MP),0,0.02,0.11,0,0,0.04,0.51,0.68,0.02,0,1,1,1,1,1,1,1,1,1,1
Storm water and wastewater (MP) to Landfill,0.01,0.24,1.18,0.01,0,0.4,5.44,7.28,0.25,0.02,1,1,2,1,1,1,2,2,1,1
On-the-go consumption to Waste collection and recycling,57.82,108.1,212.86,32.67,0,25.64,580.46,1017.56,165.92,32.67,4,6,6,4,0,4,6,8,6,4
On-the-go consumption to Litter,11.43,21.17,42.05,6.51,0,5.01,114.69,200.85,32.59,6.51,4,4,4,2,0,2,6,6,4,2
Litter to Waste collection and recycling,32.82,49.81,63.61,11.61,16.38,34.06,118.88,327.17,82.63,27.99,4,4,4,4,4,4,6,6,4,4
Litter to Storm water and wastewater,0.14,0.17,0.24,0.05,0.01,0.02,0.48,1.11,0.31,0.06,1,1,1,1,1,1,1,2,1,1
Litter to Soil,3.87,6.67,8.99,1.69,2.84,6.25,14.96,45.27,10.53,4.53,2,2,2,2,2,2,4,4,4,2
Litter to Coastal and ocean water,0.02,0.03,0.06,0.01,0,0.01,0.13,0.26,0.06,0.01,1,1,1,1,1,1,1,1,1,1
Dumping to Litter,6.91,7.83,13.08,4.01,0.59,2.86,10.05,45.32,14.74,4.6,2,2,4,2,1,2,4,4,4,2
Unintended C&D waste to Waste collection and recycling,3.14,0.11,0,0,17.1,9.3,0,29.64,3.24,17.1,2,1,0,0,4,2,0,4,2,4
Unintended C&D waste to Soil,0.02,0,0,0,0.03,0.07,0,0.13,0.03,0.03,1,1,0,0,1,1,0,1,1,1
Unintended C&D waste to Coastal and ocean water,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,1,0,0,1,0,1
Indoor air to Waste collection and recycling,0.04,0.1,0.43,0.07,0.02,0.54,1.48,2.67,0.14,0.09,1,1,1,1,1,1,2,2,1,1
Indoor air to Storm water and wastewater (MP),0.01,0.02,0.08,0.01,0,0.1,0.26,0.47,0.02,0.02,1,1,1,1,1,1,1,1,1,1
Indoor air to Air (MP),0.03,0.08,0.34,0.06,0.01,0.42,1.18,2.11,0.11,0.07,1,1,1,1,1,1,2,2,1,1
Air to Soil (MP),0.01,0.03,0.18,0.02,0.06,0.27,0.73,1.29,0.04,0.08,1,1,1,1,1,1,1,2,1,1
Air to Coastal and ocean water (MP),0.02,0.06,0.35,0.04,0.12,0.54,1.43,2.55,0.08,0.15,1,1,1,1,1,1,2,2,1,1
Organic waste collection to Compost,0.13,0.08,0.18,0.02,0,0.02,0.07,0.51,0.22,0.02,1,1,1,1,1,1,1,1,1,1
Organic waste collection to Compost (MP),0.11,0.07,0.15,0.02,0,0.02,0.06,0.43,0.18,0.02,1,1,1,1,1,1,1,1,1,1
Organic waste collection to End-of-life,21.06,12.55,28.04,3.38,0.45,2.83,11.46,79.78,33.61,3.84,4,4,4,2,1,2,4,4,4,2
Compost to Soil,0.13,0.08,0.18,0.02,0,0.02,0.07,0.51,0.22,0.02,1,1,1,1,1,1,1,1,1,1
Compost (MP) to Soil (MP),0.11,0.07,0.15,0.02,0,0.02,0.06,0.43,0.18,0.02,1,1,1,1,1,1,1,1,1,1
Total to Soil (MP),8.57,0.57,2.38,0.13,0.15,1.01,2.05,14.87,9.15,0.27,2,1,2,1,1,2,2,4,2,1
Total to Fresh water (MP),0,0.02,0.05,0,0,0.21,0.2,0.49,0.02,0,1,1,1,1,1,1,1,1,1,1
Total to Soil,5.42,7.78,12.33,1.89,2.9,6.68,17.53,54.55,13.2,4.8,2,2,4,2,2,2,4,4,4,2
Total to Fresh water,0.14,0.25,0.33,0.05,0.01,0.02,0.57,1.37,0.4,0.06,1,1,1,1,1,1,1,2,1,1
Total to Coastal and ocean water,0.28,0.29,0.1,0.01,0.1,0.01,0.13,0.92,0.57,0.12,1,1,1,1,1,1,1,1,1,1
Total to Coastal and ocean water (MP),0.06,0.12,0.48,0.04,0.12,0.58,1.94,3.33,0.18,0.15,1,1,1,1,1,1,2,2,1,1
Total to Landfill,2961.53,4448.1,5835.43,1471.88,262.92,1107.5,4042.81,20130.17,7409.63,1734.8,8,8,8,8,6,8,8,10,8,8
External to Import,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Non-consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Construction,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
External to Automotive,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Agriculture,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Hygiene products,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to PCCP,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Clothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Household textiles,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
External to Other products,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Fishing gear,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
External to Waste collection and recycling,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Storm water and wastewater (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to On-the-go consumption,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
External to Litter,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Dumping,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Unintended C&D waste,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
External to Indoor air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Air,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Organic waste collection,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Compost (MP),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Total,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
