Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,0,0,78379.61,0,212458.6,237239.73,528077.94,0,78379.61,0,0,0,10,0,10,10,10,0,10
Production to Pre-consumer processes,959607.29,375102.41,872906.9,10558.68,373688.89,0,0,2591864.18,1334709.7,384247.58,10,10,10,10,10,0,0,10,10,10
Pre-consumer processes to Waste collection and recycling,46388.92,18100.57,54608.14,3932.79,17825.37,9274.99,15038.26,165169.04,64489.48,21758.16,10,10,10,8,10,8,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),13.77,5.81,32.91,0.21,5.31,0.16,9.95,68.12,19.59,5.52,4,2,4,1,2,1,2,4,4,2
Pre-consumer processes to ExcludedFlow,913095.97,356953.35,818166.51,85000.85,355815.27,203174.51,222185.05,2954391.51,1270049.32,440816.12,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),107.58,42.27,98.4,4.43,42.53,8.93,6.46,310.59,149.85,46.96,6,4,4,2,4,2,2,6,6,4
Pre-consumer processes to Fresh water (MP),1.05,0.41,0.94,0.02,0.41,0.01,0.01,2.85,1.46,0.42,2,1,1,1,1,1,1,2,2,1
Consumer packaging to Waste collection and recycling,32491.74,71066.27,104891.93,25260.35,4182.48,9980.36,85839.74,333712.89,103558.01,29442.83,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,3203.92,5961.77,11919.43,1790.23,0,1416.2,32332.86,56624.41,9165.69,1790.23,8,8,10,8,0,8,10,10,8,8
Consumer packaging to Dumping,18.23,39.02,59.34,13.65,2.11,5.77,59.7,197.82,57.25,15.76,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,973.27,886.74,1842.88,218.29,26.36,178.79,865.55,4991.89,1860.01,244.65,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,54195.17,50483,39400.67,12165.64,5442.65,318.85,32608.77,194614.75,104678.17,17608.29,10,10,10,10,8,6,10,10,10,10
Non-consumer packaging to Litter,1082.64,1022.76,790.37,246.35,110.09,6.42,657.3,3915.93,2105.4,356.44,8,8,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,27.52,25.96,20.23,6.18,2.77,0.16,16.64,99.47,53.49,8.95,4,4,4,2,2,1,4,4,4,2
Construction to Waste collection and recycling,24453.42,67985.84,36722.42,0,74084.6,138574.89,8586.09,350407.26,92439.26,74084.6,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.08,1.03,8.59,0,0,0.3,5.47,15.47,1.1,0,1,2,2,0,0,1,2,4,2,0
Construction to UnintendedCDWaste,272.84,9.18,0,0,1488.64,798.41,0,2569.07,282.02,1488.64,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0,8.33,130.97,0,0,0,174.4,313.7,8.33,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,33.79,0,33.79,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,7.56,0,0,7.56,0,7.56,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2855.76,7617.43,34637.22,1288.21,0,9426.04,6471.02,62295.68,10473.2,1288.21,8,8,10,8,0,8,8,10,10,8
Automotive to Soil,2.29,7.76,36.54,0.05,0,2.6,0,49.23,10.04,0.05,2,2,4,1,0,2,1,4,4,1
Automotive to Export,1074.02,2860.45,12997.15,486.7,0,3543.38,2434.41,23396.12,3934.46,486.7,8,8,10,6,0,8,8,10,8,6
