Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,166494.12,308022.46,234080.67,91530.33,30741.98,100421.27,150464.12,1081754.96,474516.59,122272.31,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,141342.47,117652.23,413476.39,62895.27,121540.44,267774.93,258369.79,1383051.52,258994.7,184435.71,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,14134.93,19486.5,37479.99,7026.55,7113.29,17070.52,24200.44,126512.23,33621.43,14139.84,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),2.18,2.53,18.91,0.97,1.76,3.92,13.92,44.19,4.71,2.74,2,2,4,1,2,2,4,4,2,2
Pre-consumer processes to ExcludedFlow,293676.48,406159.49,610002.02,147387.17,145152.31,351086.83,384586.15,2338050.45,699835.98,292539.47,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),22.83,26.02,55.68,10.84,14.93,34.62,33.11,198.04,48.85,25.78,4,4,4,4,4,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.17,0.15,0.46,0.07,0.13,0.3,0.29,1.57,0.31,0.21,1,1,1,1,1,1,1,2,1,1
Consumer packaging to Waste collection and recycling,56138.07,123114.12,178505.85,43777.39,7150.8,17362.43,146816.08,572864.74,179252.19,50928.19,10,10,10,10,8,10,10,10,10,10
Consumer packaging to On-the-go consumption,5471.48,10425.87,20222.45,3112.97,0,2475.8,55398.67,97107.24,15897.35,3112.97,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,80.07,169.95,255.97,59.65,9.09,25.48,258.72,858.93,250.02,68.74,4,6,6,4,2,4,6,6,6,4
Consumer packaging to Organic waste collection,1542.16,1418.23,2880.11,348.04,41.23,284.08,1359.22,7873.07,2960.39,389.26,8,8,8,6,4,6,8,8,8,6
Non-consumer packaging to Waste collection and recycling,91752.66,86137.09,65844.82,20740.86,9176.1,545.18,54930.57,329127.28,177889.74,29916.96,10,10,10,10,8,6,10,10,10,10
Non-consumer packaging to Litter,3362.2,3126.86,2392.82,754.27,335,19.97,1995.96,11987.08,6489.06,1089.27,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Dumping,119.9,112.67,86.46,27.4,11.96,0.71,71.89,430.99,232.57,39.36,6,6,4,4,4,1,4,6,6,4
Construction to Waste collection and recycling,41764.79,117326.91,62919.85,0,126033,236151.26,14471.74,598667.56,159091.71,126033,10,10,10,0,10,10,10,10,10,10
Construction to Soil (MP),0.14,1.68,14.83,0,0,0.52,9.42,26.58,1.82,0,1,2,4,0,0,1,2,4,2,0
Construction to UnintendedCDWaste,838.75,29.05,0,0,4570.81,2443.96,0,7882.58,867.8,4570.81,6,4,0,0,8,8,0,8,6,8
