Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,1830.69,239314.18,45235.05,56530.31,0,150089.53,492999.77,1830.69,101765.36,0,8,10,10,10,0,10,10,8,10
Production to Pre-consumer processes,180185.51,155787.06,174.9,11389.48,0,286165.75,13.22,633715.91,335972.57,11389.48,10,10,6,10,0,10,4,10,10,10
Pre-consumer processes to Waste collection and recycling,8665.01,7642.58,11977.77,2534.33,2468.91,13708.53,9501.8,56498.94,16307.6,5003.24,8,8,10,8,8,10,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.59,2.4,3.23,0.2,0.04,4.11,6.28,18.84,4.99,0.24,2,2,2,1,1,2,2,4,2,1
Pre-consumer processes to ExcludedFlow,171497.12,149954.89,227499.13,54086.84,54059,272420.38,140590.59,1070107.96,321452.01,108145.84,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),20.58,17.7,8.94,3.15,2.35,32.43,4.08,89.23,38.29,5.5,4,4,2,2,2,4,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.2,0.17,0.01,0.02,0,0.31,0.01,0.72,0.37,0.02,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,20797.4,45151.63,66197.32,16160.98,2643.71,6352.12,54286.42,211589.58,65949.03,18804.69,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,2051.3,3827.98,7496.1,1145.38,0,902.47,20255.05,35678.28,5879.28,1145.38,8,8,8,8,0,6,10,10,8,8
Consumer packaging to Dumping,22.21,46.77,70.55,16.39,2.51,6.94,71.32,236.69,68.98,18.91,4,4,4,4,2,2,4,6,4,4
Consumer packaging to Organic waste collection,563.53,513.74,1056.77,126.71,15.15,103.14,493.89,2872.92,1077.26,141.86,6,6,8,6,4,6,6,8,8,6
Non-consumer packaging to Waste collection and recycling,34236.02,31736.77,24510.94,7687.84,3399.36,200.52,20330.86,122102.31,65972.79,11087.21,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,1077.59,988.29,770.1,240.14,105.75,6.27,635.68,3823.82,2065.88,345.9,8,6,6,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,33.61,30.94,23.85,7.5,3.33,0.2,19.85,119.27,64.55,10.83,4,4,4,2,2,1,4,6,4,4
Construction to Waste collection and recycling,15511.66,43282.96,23258.19,0,46531.66,87560.39,5403.35,221548.21,58794.63,46531.66,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.05,0.66,5.44,0,0,0.19,3.48,9.83,0.71,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,265.45,9.05,0,0,1452.64,768.26,0,2495.4,274.5,1452.64,6,2,0,0,8,6,0,8,6,8
Construction to Soil,0,8.27,127.49,0,0,0,168.34,304.1,8.27,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,21.58,0,21.58,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,4.8,0,0,4.8,0,4.8,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2055.88,5546.93,25224.65,938.92,0,6807.32,4704.12,45277.83,7602.82,938.92,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,1.43,4.96,23.22,0.03,0,1.64,0,31.28,6.39,0.03,2,2,4,1,0,2,1,4,2,1
Automotive to Export,424.94,1145.03,5210.67,194.3,0,1409.38,970.52,9354.84,1569.97,194.3,6,8,8,6,0,8,6,8,8,6
Agriculture to Waste collection and recycling,12728.37,1254.18,5734.6,23.87,0,231.1,531.8,20503.92,13982.55,23.87,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,12.61,1.22,5.66,0.02,0,0.23,0.53,20.26,13.83,0.02,4,2,2,1,0,1,1,4,4,1
Agriculture to Organic waste collection,363.68,17.73,163.26,0.14,0,2.69,15.41,562.91,381.4,0.14,6,4,6,1,0,2,4,6,6,1
Agriculture to Soil (MP),243.07,5.51,39.91,0.02,0,1.72,6.72,296.96,248.59,0.02,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,29.42,12.29,6.96,0.51,0,4.71,0.34,54.23,41.72,0.51,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,368.93,500.52,0,0,0,732.25,1601.7,368.93,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,209.9,218.42,0,0,0,203.88,632.2,209.9,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.55,0.68,0,0,0,0.89,2.11,0.55,0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0,0.28,0,0,0,0,0,0.28,0.28,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,5.37,0.01,0,0,0,0.03,5.41,5.37,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,209.41,4464.54,0,0,0,23371,28044.96,209.41,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.63,34.69,0,0,0,181.65,217.97,1.63,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,0.2,4.23,0,0,0,22.1,26.53,0.2,0,0,1,2,0,0,0,4,4,1,0
Clothing to Indoor air (MP),0,0.6,12.87,0,0,0,67,80.47,0.6,0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.25,5.37,0,0,0,27.99,33.61,0.25,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,29.13,3466.28,0,0,0,10662.82,14158.23,29.13,0,0,4,8,0,0,0,10,10,4,0
