Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,182771.08,174928.96,27119.46,43256.09,129892.63,175317.73,733285.96,182771.08,70375.56,0,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,157388.91,10.95,101721.46,38733.57,21350.25,27725.63,0,346930.77,157399.86,60083.83,10,4,10,10,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,7493.88,8147.83,15103.59,3054.51,2925.54,7066.77,11019.29,54811.42,15641.72,5980.05,8,8,10,8,8,8,10,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.26,0.39,6.22,0.57,0.34,0.49,7.3,17.57,2.65,0.91,2,1,2,1,1,1,2,4,2,1
Pre-consumer processes to ExcludedFlow,149874.9,174626.25,261522.46,62792.4,61676.23,150542.38,164286.35,1025320.97,324501.16,124468.62,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),17.69,7.55,18.03,5.51,4.21,8.58,4.79,66.36,25.23,9.72,4,2,4,2,2,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.17,0.01,0.12,0.04,0.03,0.04,0.01,0.42,0.18,0.07,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,24676.13,53091.84,77045.21,18786.45,3089.48,7446.33,63187.93,247323.38,77767.97,21875.93,10,10,10,10,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,2394.06,4461.74,8672.97,1338.22,0,1041.17,23544.26,41452.43,6855.8,1338.22,8,8,8,8,0,8,10,10,8,8
Consumer packaging to Dumping,157.09,335.32,498.6,117.08,17.91,49.5,501.94,1677.44,492.41,134.99,6,6,6,6,4,4,6,8,6,6
Consumer packaging to Organic waste collection,126.44,115.48,234.84,28.43,3.39,23.1,110.44,642.11,241.92,31.82,6,6,6,4,2,4,6,6,6,4
Non-consumer packaging to Waste collection and recycling,39532.34,36709.12,28083.64,8828.38,3931.09,230.74,23385.14,140700.44,76241.46,12759.47,10,10,10,8,8,6,10,10,10,10
Non-consumer packaging to Litter,1455.02,1355.55,1042.54,326.96,145.73,8.46,861.67,5195.93,2810.58,472.69,8,8,8,6,6,2,6,8,8,6
Non-consumer packaging to Dumping,239.07,222.07,168.59,53.61,23.69,1.38,141.22,849.63,461.14,77.3,6,6,6,4,4,2,6,6,6,4
Construction to Waste collection and recycling,17934.67,50346.72,27132.65,0,53737.69,101242.43,6173.49,256567.65,68281.39,53737.69,10,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.06,0.69,6.45,0,0,0.22,3.91,11.33,0.74,0,1,1,2,0,0,1,2,4,1,0
Construction to UnintendedCDWaste,359.07,12.26,0,0,1951.7,1046.4,0,3369.43,371.33,1951.7,6,4,0,0,8,8,0,8,6,8
Construction to Soil,0,9.14,174.06,0,0,0,223.61,406.8,9.14,0,0,2,6,0,0,0,6,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,24.92,0,24.92,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,5.56,0,0,5.56,0,5.56,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,2891.57,7705.46,35205.14,1307.84,0,9439.25,6496.44,63045.7,10597.03,1307.84,8,8,10,8,0,8,8,10,10,8
Automotive to Soil,1.67,5.72,26.93,0.04,0,1.89,0,36.25,7.4,0.04,2,2,4,1,0,2,1,4,2,1
Automotive to Export,8.17,21.75,99.7,3.7,0,26.72,18.34,178.39,29.92,3.7,2,4,4,2,0,4,4,6,4,2
Agriculture to Waste collection and recycling,15199.17,1381.05,6794.15,27.71,0,266.45,621.25,24289.8,16580.22,27.71,10,8,8,4,0,6,6,10,10,4
Agriculture to Dumping,90.67,8.16,39.7,0.16,0,1.59,3.68,143.97,98.82,0.16,4,2,4,1,0,2,2,6,4,1
Agriculture to Organic waste collection,81.94,3.47,36.58,0.03,0,0.6,3.41,126.03,85.42,0.03,4,2,4,1,0,1,2,6,4,1
Agriculture to Soil (MP),284.79,5.23,45.69,0.03,0,1.97,7.8,345.51,290.02,0.03,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,34.35,14.32,8.25,0.58,0,5.39,0.39,63.27,48.67,0.58,4,4,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,678.07,937.61,0,0,0,1339.43,2955.11,678.07,0,0,6,6,0,0,0,8,8,6,0
Hygiene products to Storm water and wastewater,0,386.64,409.72,0,0,0,381,1177.36,386.64,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Dumping,0,6.13,7.8,0,0,0,9.98,23.91,6.13,0,0,2,2,0,0,0,2,4,2,0
PCCP to Waste collection and recycling,0,0.33,0,0,0,0,0,0.33,0.33,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,6.28,0.01,0,0,0,0.03,6.32,6.28,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,196.6,5161.23,0,0,0,26859.83,32217.66,196.6,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,1.54,40.31,0,0,0,209.83,251.67,1.54,0,0,2,4,0,0,0,6,6,2,0
Clothing to Dumping,0,1.13,29.91,0,0,0,155.83,186.87,1.13,0,0,2,4,0,0,0,6,6,2,0
Clothing to Indoor air (MP),0,0.57,14.91,0,0,0,77.35,92.83,0.57,0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0,0.24,6.23,0,0,0,32.4,38.87,0.24,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0,27.97,4025.82,0,0,0,12243.63,16297.42,27.97,0,0,4,8,0,0,0,10,10,4,0
Household textiles to Storm water and wastewater (MP),0,0.02,2.52,0,0,0,7.66,10.19,0.02,0,0,1,2,0,0,0,2,4,1,0
Household textiles to Dumping,0,0.16,23.36,0,0,0,70.52,94.04,0.16,0,0,1,4,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0,0.05,7.17,0,0,0,21.76,28.98,0.05,0,0,1,2,0,0,0,4,4,1,0
Household textiles to Air (MP),0,0,0.36,0,0,0,1.08,1.44,0,0,0,1,1,0,0,0,2,2,1,0
Other products to Waste collection and recycling,26407.21,26083.81,76780.07,32023.84,2121.13,35432.93,7870.85,206719.85,52491.02,34144.97,10,10,10,10,8,10,8,10,10,10
Other products to Storm water and wastewater (MP),0,0,0,0,0,20.29,0,20.29,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,154.22,151.47,432.48,196.36,12.31,210.11,41.18,1198.13,305.7,208.67,6,6,6,6,4,6,4,8,6,6
Other products to Organic waste collection,2.74,6.44,7.42,5.14,1.12,4.71,0.23,27.8,9.18,6.26,2,2,2,2,2,2,1,4,2,2
Other products to Soil (MP),0,0,0,0,0,13.47,0,13.47,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Soil,1.02,0,0,0,0,0,0,1.02,1.02,0,2,0,0,0,0,0,0,2,2,0
Other products to Indoor air (MP),2.51,5.94,6.86,4.73,1.04,11.1,0.21,32.38,8.45,5.77,2,2,2,2,2,4,1,4,2,2
Other products to Air (MP),0,0,0,0,0,13.59,0,13.59,0,0,0,0,0,0,0,4,0,4,0,0
Other products to Export,97.31,90.87,3352.4,1912.53,0,778.29,0.36,6231.75,188.18,1912.53,4,4,8,8,0,6,1,8,6,8
Other products to Fresh water,0.16,0,0,0,0,0,0,0.16,0.16,0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,51.54,51.53,22.71,0,0,0,0,125.79,103.07,0,4,4,4,0,0,0,0,6,6,0
Fishing gear to Fresh water (MP),0.03,0.03,0.01,0,0,0,0,0.08,0.07,0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,0.54,0.54,0.09,0,0,0,0,1.18,1.09,0,1,1,1,0,0,0,0,2,2,0
Fishing gear to Coastal and ocean water (MP),0.08,0.09,0.04,0,0,0,0,0.21,0.17,0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),26.9,71.15,278.14,12.14,0.04,85.41,2.11,475.9,98.05,12.18,4,4,6,4,1,4,2,6,4,4
Waste collection and recycling to Litter,632.94,1774.2,959.9,0,1890.87,3600.76,218.28,9076.95,2407.13,1890.87,6,8,6,0,8,8,6,8,8,8
Waste collection and recycling to Soil (MP),2.26,5.28,19.07,0.99,0.21,5.94,1.14,34.9,7.55,1.21,2,2,4,1,1,2,2,4,2,2
Waste collection and recycling to Soil,10.96,12.43,19.91,5.57,1.22,4.47,15.96,70.52,23.39,6.79,4,4,4,2,2,2,4,4,4,2
Waste collection and recycling to Air (MP),1.66,4.27,17.57,0.75,0,5.36,0,29.62,5.94,0.75,2,2,4,1,0,2,1,4,2,1
