Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,0,110733.64,33751.67,33517.75,0,90025.84,268028.9,0,67269.42,0,0,10,10,10,0,10,10,0,10
Production to Pre-consumer processes,198928.54,335658.79,32149.75,25.36,0,270604.03,0,837366.47,534587.33,25.36,10,10,10,4,0,10,0,10,10,4
Pre-consumer processes to Waste collection and recycling,9532.64,16366.99,7510.93,1476.1,1450.24,12973.32,5693.77,55003.99,25899.64,2926.34,8,10,8,8,8,10,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),2.86,5.24,2.71,0.03,0.02,3.9,3.78,18.54,8.09,0.05,2,2,2,1,1,2,2,4,2,1
Pre-consumer processes to ExcludedFlow,189370.37,319248.49,135361.92,32299.5,32066.09,257595.96,84325.87,1050268.19,508618.85,64365.59,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),22.46,37.71,7.77,1.41,1.39,30.56,2.43,103.73,60.16,2.8,4,4,2,2,2,4,2,6,4,2
Pre-consumer processes to Fresh water (MP),0.22,0.37,0.04,0,0,0.3,0,0.93,0.58,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,12398.4,27097.26,39754.81,9612.98,1585.27,3803.4,32606.01,126858.12,39495.66,11198.25,10,10,10,8,8,8,10,10,10,10
Consumer packaging to On-the-go consumption,1224.01,2282.91,4508.84,684.02,0,541.15,12194.06,21434.99,3506.92,684.02,8,8,8,6,0,6,10,10,8,6
Consumer packaging to Dumping,8.27,17.42,26.53,6.12,0.94,2.62,26.5,88.41,25.69,7.06,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,353.85,323.69,666.24,79.37,9.49,64.68,312.59,1809.91,677.53,88.86,6,6,6,4,2,4,6,8,6,4
Non-consumer packaging to Waste collection and recycling,20841.02,19423.68,15018.44,4664.96,2077.36,122.45,12466.17,74614.07,40264.7,6742.32,10,10,10,8,8,6,10,10,10,8
Non-consumer packaging to Litter,237.9,222.34,172.22,53.5,23.86,1.39,141.29,852.5,460.23,77.36,6,6,6,4,4,2,6,6,6,4
Non-consumer packaging to Dumping,12.52,11.68,8.93,2.77,1.24,0.07,7.47,44.69,24.2,4.01,4,4,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,9343.23,25866.72,13867.85,0,28383.15,52591.53,3279.9,133332.38,35209.94,28383.15,8,10,10,0,10,10,8,10,10,10
Construction to Soil (MP),0.03,0.35,3.26,0,0,0.11,2.05,5.81,0.38,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,59.2,2.03,0,0,326.18,174.63,0,562.05,61.23,326.18,4,2,0,0,6,6,0,6,4,6
Construction to Soil,0,1.48,28.76,0,0,0,37.31,67.54,1.48,0,0,2,4,0,0,0,4,4,2,0
Construction to Indoor air (MP),0,0,0,0,0,12.75,0,12.75,0,0,0,0,0,0,0,4,0,4,0,0
Construction to Air (MP),0,0,0,0,2.87,0,0,2.87,0,2.87,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,1489.81,3964.69,18086.82,670.57,0,4874.71,3378.6,32465.21,5454.5,670.57,8,8,10,6,0,8,8,10,8,6
Automotive to Soil,0.86,2.95,13.96,0.02,0,0.97,0,18.76,3.81,0.02,1,2,4,1,0,1,1,4,2,1
Agriculture to Waste collection and recycling,7581.78,700.84,3432.22,14.24,0,137.81,316.43,12183.32,8282.61,14.24,8,6,8,4,0,6,6,10,8,4
Agriculture to Dumping,4.7,0.43,2.1,0.01,0,0.08,0.2,7.51,5.12,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,228,9.66,102.91,0.09,0,1.7,9.66,352.02,237.66,0.09,6,2,6,1,0,2,2,6,6,1
Agriculture to Soil (MP),144.32,2.66,23.6,0.01,0,1.02,4.01,175.63,146.99,0.01,6,2,4,1,0,2,2,6,6,1
Agriculture to Soil,17.41,7.33,4.22,0.3,0,2.8,0.2,32.27,24.74,0.3,4,2,2,1,0,2,1,4,4,1
Hygiene products to Waste collection and recycling,0,358.9,493.14,0,0,0,786.82,1638.86,358.9,0,0,6,6,0,0,0,6,8,6,0
Hygiene products to Storm water and wastewater,0,200.42,216.84,0,0,0,202.85,620.11,200.42,0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0,0.33,0.42,0,0,0,0.58,1.33,0.33,0,0,1,1,0,0,0,1,2,1,0
PCCP to Waste collection and recycling,0,0.17,0,0,0,0,0,0.17,0.17,0,0,1,1,0,0,0,1,1,1,0
PCCP to Storm water and wastewater (MP),0,3.24,0.01,0,0,0,0.02,3.26,3.24,0,0,2,1,0,0,0,1,2,2,0
Clothing to Waste collection and recycling,0,101.04,2671.54,0,0,0,13930.76,16703.34,101.04,0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0,0.79,20.76,0,0,0,108.29,129.84,0.79,0,0,1,4,0,0,0,6,6,1,0
Clothing to Dumping,0,0.06,1.57,0,0,0,8.17,9.8,0.06,0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0,0.29,7.7,0,0,0,39.86,47.85,0.29,0,0,1,2,0,0,0,4,4,1,0
