Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,13243.2,18877.22,28383.44,6742.61,6693.76,16164.51,18150.87,108255.61,32120.42,13436.37,10,10,10,8,8,10,10,10,10,10
Production to Pre-consumer processes,260.66,0,0,0,0,0,0,260.66,260.66,0,6,0,0,0,0,0,0,6,6,0
Pre-consumer processes to Waste collection and recycling,588.76,843.38,1422.98,297.08,297.61,711.48,1146.81,5308.1,1432.14,594.69,6,6,8,6,6,6,8,8,8,6
Pre-consumer processes to Storm water and wastewater (MP),0.01,0.04,0.38,0.01,0,0.01,0.75,1.21,0.05,0.01,1,1,1,1,1,1,1,2,1,1
Pre-consumer processes to ExcludedFlow,12914.51,18033.04,26959.02,6445.25,6395.86,15452.35,17002.8,103202.83,30947.54,12841.11,10,10,10,8,8,10,10,10,10,10
Pre-consumer processes to Soil (MP),0.58,0.77,1.06,0.28,0.28,0.66,0.51,4.13,1.35,0.56,1,1,2,1,1,1,1,2,2,1
Pre-consumer processes to Fresh water (MP),0,0,0,0,0,0,0,0.01,0,0,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,2487.6,5403.81,7890.15,1932.29,318.52,760.28,6505.04,25297.7,7891.41,2250.81,8,8,8,8,6,6,8,10,8,8
Consumer packaging to On-the-go consumption,245.17,453.02,893.37,138.18,0,107.61,2448.67,4286.02,698.18,138.18,6,6,6,6,0,6,8,8,6,6
Consumer packaging to Dumping,1.66,3.5,5.27,1.22,0.19,0.52,5.37,17.74,5.17,1.41,2,2,2,2,1,1,2,4,2,2
Consumer packaging to Organic waste collection,68.44,62,127.73,15.32,1.84,12.47,60.06,347.86,130.43,17.16,4,4,6,4,2,4,4,6,6,4
Non-consumer packaging to Waste collection and recycling,4157.51,3851.39,2972.28,933.37,415.17,24.36,2475.51,14829.59,8008.91,1348.53,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Litter,67.99,62.51,48.66,15.25,6.65,0.4,40.18,241.64,130.5,21.9,4,4,4,4,2,1,4,6,6,4
Non-consumer packaging to Dumping,2.49,2.31,1.78,0.56,0.25,0.01,1.49,8.9,4.8,0.81,2,2,2,1,1,1,2,2,2,1
Construction to Waste collection and recycling,1864.14,5139.14,2764.12,0,5601.47,10493.26,649.94,26512.07,7003.28,5601.47,8,8,8,0,8,10,6,10,8,8
