Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,0,48222,0,17501.99,6472.48,12116.3,46578.23,130891,48222,23974.47,0,10,0,10,8,10,10,10,10,10
Production to Pre-consumer processes,222943.51,48.12,340505.35,5.16,10827.72,29785.73,0,604115.59,222991.63,10832.87,10,4,10,2,10,10,0,10,10,10
Pre-consumer processes to Waste collection and recycling,10710.27,2179.75,21214.68,774.19,800.74,1964.58,2953.75,40597.98,12890.03,1574.93,10,8,10,6,6,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),3.23,0.1,12.91,0.01,0.16,0.43,1.95,18.8,3.33,0.17,2,1,4,1,1,1,2,4,2,1
Pre-consumer processes to ExcludedFlow,212204.62,46088.26,319238.62,16732.22,16497.79,39933.14,43621.25,694315.91,258292.88,33230.01,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),25.15,2,38.77,0.72,1.49,3.84,1.26,73.24,27.15,2.21,4,2,4,1,2,2,2,4,4,2
Pre-consumer processes to Fresh water (MP),0.24,0,0.37,0,0.01,0.03,0,0.66,0.25,0.01,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,6457.06,14045.04,20563.97,4990.74,816.98,1957.5,16760.45,65591.74,20502.1,5807.73,8,10,10,8,6,8,10,10,10,8
Consumer packaging to On-the-go consumption,631.59,1182.19,2338.26,354.12,0,277.45,6227.89,11011.5,1813.79,354.12,6,8,8,6,0,6,8,10,8,6
Consumer packaging to Dumping,6.7,14.22,21.46,4.96,0.76,2.1,21.48,71.68,20.92,5.72,2,4,4,2,1,2,4,4,4,2
Consumer packaging to Organic waste collection,177.92,161.37,333.38,39.75,4.7,32.07,154.36,903.54,339.29,44.44,6,6,6,4,2,4,6,6,6,4
Non-consumer packaging to Waste collection and recycling,10531.29,9769.62,7554.43,2353.16,1040.75,61.22,6211.35,37521.8,20300.9,3393.91,10,8,8,8,8,4,8,10,10,8
Non-consumer packaging to Litter,436.67,400.92,308.83,96.38,42.91,2.5,253.38,1541.6,837.59,139.29,6,6,6,4,4,2,6,8,6,6
Non-consumer packaging to Dumping,10.16,9.39,7.22,2.27,1,0.06,6,36.1,19.55,3.27,4,2,2,2,2,1,2,4,4,2
Construction to Waste collection and recycling,4759.63,13145.36,7144.83,0,14177.52,26893.26,1649.88,67770.47,17904.99,14177.52,8,10,8,0,10,10,8,10,10,10
Construction to Soil (MP),0.02,0.18,1.68,0,0,0.06,1.05,2.98,0.19,0,1,1,2,0,0,1,2,2,1,0
Construction to UnintendedCDWaste,108.11,3.65,0,0,583.19,310.17,0,1005.12,111.76,583.19,6,2,0,0,6,6,0,8,6,6
Construction to Soil,0,2.59,51.71,0,0,0,68.13,122.44,2.59,0,0,2,4,0,0,0,4,6,2,0
Construction to Indoor air (MP),0,0,0,0,0,6.57,0,6.57,0,0,0,0,0,0,0,2,0,2,0,0
Construction to Air (MP),0,0,0,0,1.47,0,0,1.47,0,1.47,0,0,0,0,2,0,0,2,0,2
Automotive to Waste collection and recycling,758.79,2024.88,9159.87,344.52,0,2494.42,1720.92,16503.41,2783.68,344.52,6,8,8,6,0,8,8,10,8,6
Automotive to Soil,0.45,1.54,7.13,0.01,0,0.51,0,9.63,1.98,0.01,1,2,2,1,0,1,1,2,2,1
Automotive to Export,13.63,36.27,164.63,6.17,0,44.82,30.86,296.38,49.9,6.17,4,4,6,2,0,4,4,6,4,2
Agriculture to Waste collection and recycling,3944.16,359.63,1779.44,7.32,0,71.01,164.22,6325.79,4303.79,7.32,8,6,8,2,0,4,6,8,8,2
Agriculture to Dumping,3.87,0.34,1.71,0.01,0,0.07,0.16,6.16,4.22,0.01,2,1,2,1,0,1,1,2,2,1
Agriculture to Organic waste collection,113.83,4.7,51.34,0.04,0,0.84,4.84,175.59,118.53,0.04,6,2,4,1,0,1,2,6,6,1
Agriculture to Soil (MP),75.28,1.35,12.35,0.01,0,0.53,2.07,91.58,76.63,0.01,4,2,4,1,0,1,2,4,4,1
