Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,493933.85,729601.46,863021.68,266881.83,247111.16,479649.82,642041.02,3722240.83,1223535.32,513992.99,10,10,10,10,10,10,10,10,10,10
Production to Pre-consumer processes,50004.51,18620.04,277709.27,3032.07,19588.17,164365.95,76044.75,609364.76,68624.54,22620.25,10,10,10,8,10,10,10,10,10,10
Pre-consumer processes to Waste collection and recycling,24342.41,33755.37,60513.68,11843.49,11734.22,28551.09,45055.59,215795.86,58097.78,23577.71,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Storm water and wastewater (MP),1.26,2.01,22.19,0.24,0.46,2.72,29.27,58.15,3.27,0.71,2,2,4,1,1,2,4,4,2,1
Pre-consumer processes to ExcludedFlow,519568.36,714431.91,1080131.05,258058.6,254952.18,615423.26,672974.78,4115540.13,1234000.27,513010.78,10,10,10,10,10,10,10,10,10,10
Pre-consumer processes to Soil (MP),26.24,32.14,63.69,11.56,12.42,38.47,26.03,210.56,58.38,23.99,4,4,4,4,4,4,4,6,4,4
Pre-consumer processes to Fresh water (MP),0.09,0.07,0.35,0.02,0.04,0.21,0.11,0.89,0.15,0.06,1,1,1,1,1,1,1,1,1,1
Consumer packaging to Waste collection and recycling,99652.04,216921.79,316623.41,76508.41,12472.04,30218.42,258171.93,1010568.03,316573.84,88980.44,10,10,10,10,10,10,10,10,10,10
Consumer packaging to On-the-go consumption,9780.46,18151.24,35947.8,5430.76,0,4252.16,95825.75,169388.17,27931.7,5430.76,8,10,10,8,0,8,10,10,10,8
Consumer packaging to Dumping,139.38,294.82,443.11,102.1,15.59,43.39,444.25,1482.64,434.2,117.69,6,6,6,6,4,4,6,8,6,6
Consumer packaging to Organic waste collection,2250.55,2052.22,4196.88,501.48,59.38,406.5,1945.72,11412.73,4302.77,560.86,8,8,8,6,4,6,8,10,8,6
Non-consumer packaging to Waste collection and recycling,164671.71,153718.07,118191.34,36740.21,16168.63,960.06,97346.16,587796.17,318389.77,52908.84,10,10,10,10,10,6,10,10,10,10
Non-consumer packaging to Litter,3466.68,3249.13,2522.76,781.95,341.4,20.35,2053.6,12435.86,6715.81,1123.35,8,8,8,6,6,4,8,10,8,8
Non-consumer packaging to Dumping,208.17,195.71,150.32,47.13,20.45,1.22,124.06,747.07,403.88,67.58,6,6,6,4,4,2,6,6,6,4
Construction to Waste collection and recycling,74225.89,206114.23,109825.32,0,222829.04,415850.77,25822.1,1054667.35,280340.12,222829.04,10,10,10,0,10,10,10,10,10,10
