"country","dest","mean","sd"
"AT","Coastal and ocean water",0,0
"AT","Coastal and ocean water (MP)",0,0
"AT","Fresh water",3.94282890379106e-05,1.50838028435248e-05
"AT","Fresh water (MP)",1.76924746922544e-05,7.65304368785317e-06
"AT","Soil",0.00103664424534689,0.000326665016323509
"AT","Soil (MP)",0.000566013638091151,0.000166475711731762
"AT","Subsurface soil (MP)",4.16787572803372e-05,1.9398620563388e-05
"BE","Coastal and ocean water",1.16562596276932e-05,2.94291913104498e-06
"BE","Coastal and ocean water (MP)",2.63285629672188e-06,1.14838386638668e-06
"BE","Fresh water",3.72525470480822e-05,1.17680650378795e-05
"BE","Fresh water (MP)",1.24141771615511e-05,6.45007886391718e-06
"BE","Soil",0.00194847175158576,0.000681730395817483
"BE","Soil (MP)",0.000506984923105786,0.000159412523149804
"BE","Subsurface soil (MP)",4.33005291942446e-05,2.01562219679425e-05
"BG","Coastal and ocean water",9.75068809452622e-06,2.3882944812177e-06
"BG","Coastal and ocean water (MP)",5.87779090373657e-06,5.28127738037942e-06
"BG","Fresh water",0.000114183261515618,3.96236145746846e-05
"BG","Fresh water (MP)",1.40540757675317e-05,6.38112702581694e-06
"BG","Soil",0.00288411048386581,0.00093142514650976
"BG","Soil (MP)",0.000492798075023587,0.000161035847887213
"BG","Subsurface soil (MP)",4.83878366087992e-05,2.11917641596139e-05
"CH","Coastal and ocean water",0,0
"CH","Coastal and ocean water (MP)",0,0
"CH","Fresh water",2.99766762778638e-05,1.09180343757903e-05
"CH","Fresh water (MP)",1.71466909564352e-05,7.44853416592445e-06
"CH","Soil",0.00104496216750705,0.000365937750646515
"CH","Soil (MP)",0.00050692760657528,0.000161793827014594
"CH","Subsurface soil (MP)",4.17652220832474e-05,1.9665999564439e-05
"CY","Coastal and ocean water",3.22747787580814e-05,9.11059137611577e-06
"CY","Coastal and ocean water (MP)",3.5126932566535e-05,2.08923159135521e-05
"CY","Fresh water",0.000125012127181092,4.86587848877179e-05
"CY","Fresh water (MP)",1.49419030166338e-05,7.28687858301037e-06
"CY","Soil",0.00260979966858344,0.000723416846351571
"CY","Soil (MP)",0.000620786641119356,0.000173744133670706
"CY","Subsurface soil (MP)",5.34644075920689e-05,2.29757826481678e-05
"CZ","Coastal and ocean water",0,0
"CZ","Coastal and ocean water (MP)",0,0
"CZ","Fresh water",5.86779281360148e-05,2.02420236863386e-05
"CZ","Fresh water (MP)",1.53182760585064e-05,8.77246495375079e-06
"CZ","Soil",0.00203613398811372,0.000633146392167874
"CZ","Soil (MP)",0.000584413531759511,0.000167408396127971
"CZ","Subsurface soil (MP)",5.31196733691668e-05,2.27104127779025e-05
"DE","Coastal and ocean water",9.240280179282e-06,2.87667479308561e-06
"DE","Coastal and ocean water (MP)",1.08549448888815e-05,6.18143203146761e-06
"DE","Fresh water",4.2474608723337e-05,1.71838883655163e-05
"DE","Fresh water (MP)",1.50391854343825e-05,7.72497832349084e-06
"DE","Soil",0.00111633365885865,0.000363821965969717
