"country","dest","mean","sd"
"AT","Coastal and ocean water",0,0
"AT","Coastal and ocean water (MP)",0,0
"AT","Fresh water",1.98226987504042e-05,7.9365347175469e-06
"AT","Fresh water (MP)",2.07720207323459e-05,7.64310136288829e-06
"AT","Soil",0.000812129544823233,0.000216223984919825
"AT","Soil (MP)",0.000403734347804667,9.12867207277597e-05
"AT","Subsurface soil (MP)",5.52465767108425e-05,2.17752769913638e-05
"BE","Coastal and ocean water",1.68138439915983e-06,4.46012372365598e-07
"BE","Coastal and ocean water (MP)",4.53226162812486e-07,1.75874326500389e-07
"BE","Fresh water",5.40404750608816e-06,1.85630411712783e-06
"BE","Fresh water (MP)",7.93640062286474e-06,2.39401564337153e-06
"BE","Soil",0.000766423882718719,0.000256419987628333
"BE","Soil (MP)",0.000186135303749997,3.10983709136086e-05
"BE","Subsurface soil (MP)",1.82805547813027e-05,6.86209262324795e-06
"BG","Coastal and ocean water",4.55640528517513e-06,1.1281542970729e-06
"BG","Coastal and ocean water (MP)",2.89435875331323e-06,2.5691473265213e-06
"BG","Fresh water",5.35992874516544e-05,1.93909726045628e-05
"BG","Fresh water (MP)",8.85451068502797e-06,3.0968493495563e-06
"BG","Soil",0.00359724167930475,0.00115123792077674
"BG","Soil (MP)",0.000282250561727002,7.45445696523002e-05
"BG","Subsurface soil (MP)",2.36663708748666e-05,1.00400909715242e-05
"CH","Coastal and ocean water",0,0
"CH","Coastal and ocean water (MP)",0,0
"CH","Fresh water",1.50529596149306e-05,5.76233135626618e-06
"CH","Fresh water (MP)",1.30430326621244e-05,4.58835079063163e-06
"CH","Soil",0.00100297715789608,0.000294588138425888
"CH","Soil (MP)",0.000288993509365375,8.24128522003286e-05
"CH","Subsurface soil (MP)",3.2016779617661e-05,1.26754644040759e-05
"CY","Coastal and ocean water",1.61704542848619e-05,4.83022981419359e-06
"CY","Coastal and ocean water (MP)",1.92220199157789e-05,1.05651040591512e-05
"CY","Fresh water",6.2776826503964e-05,2.56198286812073e-05
"CY","Fresh water (MP)",1.11357307467869e-05,4.44795816008524e-06
"CY","Soil",0.00244312747065961,0.00067105167762195
"CY","Soil (MP)",0.000413297610675284,9.61083883379179e-05
"CY","Subsurface soil (MP)",4.24019715616751e-05,1.55925374620014e-05
"CZ","Coastal and ocean water",0,0
"CZ","Coastal and ocean water (MP)",0,0
"CZ","Fresh water",1.98281689706227e-05,7.20053168892343e-06
"CZ","Fresh water (MP)",1.16124637323991e-05,4.91341416058234e-06
"CZ","Soil",0.00153853016714559,0.000460183738649012
"CZ","Soil (MP)",0.000317103770665066,6.30974156009824e-05
"CZ","Subsurface soil (MP)",3.37541302578855e-05,1.31562467791781e-05
"DE","Coastal and ocean water",4.21693823153069e-06,1.27072720904329e-06
"DE","Coastal and ocean water (MP)",1.13874349720039e-05,5.90991472989929e-06
"DE","Fresh water",1.95282389644788e-05,8.14010567370443e-06
"DE","Fresh water (MP)",1.84532753269684e-05,7.77888325916171e-06
