"mat","dest","mean","sd"
"LDPE","Soil",0.00081410016711915,0.000273079691091267
"LDPE","Soil (MP)",0.00244050730036413,0.00143192114892804
"LDPE","Fresh water",3.40624389182044e-05,2.30618182446855e-05
"LDPE","Fresh water (MP)",3.29421119141866e-07,3.27250549453684e-07
"LDPE","Subsurface soil (MP)",6.19383415550151e-07,3.48082607974698e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.000758408002101825,0.000326463175729077
"HDPE","Soil (MP)",0.000102935139735699,4.68462373028895e-05
"HDPE","Fresh water",4.26649576398869e-05,2.44465539694581e-05
"HDPE","Fresh water (MP)",2.16097019868504e-06,1.83797825906513e-06
"HDPE","Subsurface soil (MP)",9.30007059633942e-06,5.76731944961424e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00106468010760083,0.000420956653366256
"PP","Soil (MP)",0.000330223778190516,0.00016938773055315
"PP","Fresh water",3.40447081776243e-05,2.02045673561536e-05
"PP","Fresh water (MP)",7.51900176353912e-06,5.54816243381288e-06
"PP","Subsurface soil (MP)",4.19910220202577e-05,2.97196810272046e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000480974401639012,0.00026923344160024
"PS","Soil (MP)",6.11963837162225e-05,3.1361132752498e-05
"PS","Fresh water",2.21036216144581e-05,1.61838315471809e-05
"PS","Fresh water (MP)",1.03868098850677e-06,1.1271577549135e-06
"PS","Subsurface soil (MP)",7.16367092454352e-07,8.18264612767581e-07
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.000124072057069083,6.80872348881085e-05
"EPS","Soil (MP)",9.30674181299546e-05,1.91403827367395e-05
"EPS","Fresh water",7.68379703834103e-06,6.57945261397188e-06
"EPS","Fresh water (MP)",2.63364427030003e-06,1.88660483458682e-06
"EPS","Subsurface soil (MP)",1.87441061778586e-07,2.70802705733993e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.000230206097340864,0.000128675582583568
"PVC","Soil (MP)",0.000316732529268935,0.000136492517213087
"PVC","Fresh water",4.27912729443667e-06,4.36683386218367e-06
"PVC","Fresh water (MP)",4.18506064265152e-05,2.60487416658429e-05
"PVC","Subsurface soil (MP)",1.3187876010539e-05,1.08872166140834e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00268459570906999,0.00152026871202919
"PET","Soil (MP)",0.000772288968458789,0.000433836776397542
"PET","Fresh water",9.51838596462688e-05,6.84194802573288e-05
"PET","Fresh water (MP)",5.86750835187031e-05,4.52062270208792e-05
"PET","Subsurface soil (MP)",0.000175470802872155,0.000125289204289158
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
