"mat","dest","mean","sd"
"LDPE","Soil",0.00200946370298909,0.000778435400538892
"LDPE","Soil (MP)",0.00234023194053026,0.00137245063088894
"LDPE","Fresh water",0.000153889602699913,0.000115348153353336
"LDPE","Fresh water (MP)",2.02054484998793e-07,1.8270171951106e-07
"LDPE","Subsurface soil (MP)",6.54442110320538e-07,3.73053554459181e-07
"LDPE","Coastal and ocean water",2.47540335253988e-05,1.34761709078057e-05
"LDPE","Coastal and ocean water (MP)",3.27665198356192e-06,1.48987659459797e-06
"HDPE","Soil",0.00192597084333427,0.00092538154855363
"HDPE","Soil (MP)",5.421096342003e-05,3.66267800410358e-05
"HDPE","Fresh water",0.000132938003472222,8.36049540852562e-05
"HDPE","Fresh water (MP)",1.8939041297936e-06,1.62127507700625e-06
"HDPE","Subsurface soil (MP)",1.02150473674191e-05,6.15158133707248e-06
"HDPE","Coastal and ocean water",1.79899904981943e-05,9.3560414450484e-06
"HDPE","Coastal and ocean water (MP)",2.98590554832775e-06,1.65012556176918e-06
"PP","Soil",0.00279622119212924,0.00121700169010212
"PP","Soil (MP)",0.000254154624317001,0.000163626354486113
"PP","Fresh water",9.21839249522308e-05,5.40992140000553e-05
"PP","Fresh water (MP)",6.59472462317776e-06,5.024824925732e-06
"PP","Subsurface soil (MP)",4.644541831597e-05,3.21143359355834e-05
"PP","Coastal and ocean water",4.64628827180783e-06,1.87732661037354e-06
"PP","Coastal and ocean water (MP)",3.38404639425468e-06,4.01333356112345e-06
"PS","Soil",0.00167383445625322,0.000844113684886663
"PS","Soil (MP)",3.09359054757542e-05,2.56641604694587e-05
"PS","Fresh water",8.67414335511428e-05,6.46401334747032e-05
"PS","Fresh water (MP)",6.54016303612728e-07,5.87890374529514e-07
"PS","Subsurface soil (MP)",8.74172506371845e-07,9.3386704601495e-07
"PS","Coastal and ocean water",3.09465776439755e-06,2.06710162910546e-06
"PS","Coastal and ocean water (MP)",6.18078668453388e-07,7.44057954052542e-07
"EPS","Soil",0.00103630013815834,0.000606079617017754
"EPS","Soil (MP)",8.79201754216304e-05,1.91081573856923e-05
"EPS","Fresh water",4.4090458157223e-05,3.72941878395525e-05
"EPS","Fresh water (MP)",1.41813720845805e-06,9.4529949514042e-07
"EPS","Subsurface soil (MP)",2.23173509275163e-07,2.94095063074335e-07
"EPS","Coastal and ocean water",1.44887017971647e-05,1.09916055395104e-05
"EPS","Coastal and ocean water (MP)",1.78374126496445e-06,1.32936981388723e-06
"PVC","Soil",0.000760796963873993,0.000382732352370712
"PVC","Soil (MP)",0.000294673435147622,0.000132494446770741
"PVC","Fresh water",9.65092808527e-06,9.21154988494582e-06
"PVC","Fresh water (MP)",2.59955972603089e-05,1.66608489555794e-05
"PVC","Subsurface soil (MP)",1.61297261214512e-05,1.24675954450464e-05
"PVC","Coastal and ocean water",4.86695153536068e-07,3.86986158863612e-07
"PVC","Coastal and ocean water (MP)",4.88264801062088e-06,4.89301752714837e-06
"PET","Soil",0.00755978284140552,0.00438138837294772
"PET","Soil (MP)",0.000604736621879592,0.000407196839405248
"PET","Fresh water",0.000215795220021479,0.000152304050101482
"PET","Fresh water (MP)",5.25048924473011e-05,3.94726617264877e-05
"PET","Subsurface soil (MP)",0.000206838585486943,0.000136852207991482
"PET","Coastal and ocean water",8.54004969062175e-06,5.89602349659419e-06
"PET","Coastal and ocean water (MP)",2.0850688074222e-05,3.24249351147397e-05
