"mat","dest","mean","sd"
"LDPE","Soil",0.000817466091923874,0.000296967957112243
"LDPE","Soil (MP)",0.0024293531984521,0.00141143898689701
"LDPE","Fresh water",2.78430066658996e-05,1.88323903592639e-05
"LDPE","Fresh water (MP)",5.95407980706496e-07,5.20295126330443e-07
"LDPE","Subsurface soil (MP)",6.15523223084098e-07,3.54161008218736e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.000650105609945994,0.000322159750805437
"HDPE","Soil (MP)",9.44362702150324e-05,4.56727870164841e-05
"HDPE","Fresh water",3.32486447596643e-05,1.86937179304974e-05
"HDPE","Fresh water (MP)",2.55120341986827e-06,1.87303589155935e-06
"HDPE","Subsurface soil (MP)",9.71826401776787e-06,5.82110315083637e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00105406744375198,0.000459852675469689
"PP","Soil (MP)",0.000290833931734373,0.000163752031888557
"PP","Fresh water",2.58798339499593e-05,1.53448964884691e-05
"PP","Fresh water (MP)",8.60557169229065e-06,6.12859236760222e-06
"PP","Subsurface soil (MP)",4.2331567163741e-05,3.00620433689549e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000463051662570161,0.000291989492036062
"PS","Soil (MP)",5.78255958237428e-05,3.07822383095105e-05
"PS","Fresh water",1.70999694855734e-05,1.25927550301712e-05
"PS","Fresh water (MP)",1.58609319611346e-06,1.61775342827164e-06
"PS","Subsurface soil (MP)",7.16085726231206e-07,8.10530505585047e-07
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.000182771718552858,0.000105225175477612
"EPS","Soil (MP)",9.085474031411e-05,1.85477768855316e-05
"EPS","Fresh water",1.1729478255976e-05,7.37903712602342e-06
"EPS","Fresh water (MP)",4.34195267903975e-06,2.65660618715298e-06
"EPS","Subsurface soil (MP)",1.84745152125067e-07,2.65451740719584e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00023806329844558,0.000134274975452391
"PVC","Soil (MP)",0.00029026561630242,0.000127298301001812
"PVC","Fresh water",2.94961123052437e-06,3.09748636975126e-06
"PVC","Fresh water (MP)",2.71476503802731e-05,1.59360639570503e-05
"PVC","Subsurface soil (MP)",1.32849339436158e-05,1.09588899919544e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00282831197593608,0.0017556389882987
"PET","Soil (MP)",0.000508504859456253,0.000357132376359686
"PET","Fresh water",6.78653223621931e-05,4.8834286209367e-05
"PET","Fresh water (MP)",6.50654857208566e-05,4.68221561653033e-05
"PET","Subsurface soil (MP)",0.000174493265813288,0.000127048730007479
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
