"mat","dest","mean","sd"
"LDPE","Soil",0.00152049356188559,0.00054458119951828
"LDPE","Soil (MP)",0.00233083037905428,0.00139299923803065
"LDPE","Fresh water",0.00014808884579747,0.000112268973704395
"LDPE","Fresh water (MP)",1.33229844591957e-07,9.31653271901203e-08
"LDPE","Subsurface soil (MP)",6.95979726899351e-07,4.00141764127443e-07
"LDPE","Coastal and ocean water",5.30961141315591e-05,2.53669817626446e-05
"LDPE","Coastal and ocean water (MP)",7.60396267869728e-06,3.82312999588778e-06
"HDPE","Soil",0.0024407845474637,0.00114543550969583
"HDPE","Soil (MP)",6.96952015206491e-05,4.04879059597294e-05
"HDPE","Fresh water",0.000136165413768556,8.90661717076515e-05
"HDPE","Fresh water (MP)",1.41082206124952e-06,1.41387446568081e-06
"HDPE","Subsurface soil (MP)",1.02663795929159e-05,6.3315564036924e-06
"HDPE","Coastal and ocean water",4.038367656409e-05,1.82821910853263e-05
"HDPE","Coastal and ocean water (MP)",8.1661193334401e-06,5.20261049555855e-06
"PP","Soil",0.00276616595484798,0.00111556810626385
"PP","Soil (MP)",0.000335557607545747,0.000186506736269681
"PP","Fresh water",0.000102340763701975,6.46875887336299e-05
"PP","Fresh water (MP)",5.05394370397022e-06,4.72972834088366e-06
"PP","Subsurface soil (MP)",4.92134877212173e-05,3.22622979290322e-05
"PP","Coastal and ocean water",1.63448940471496e-05,8.22389184025073e-06
"PP","Coastal and ocean water (MP)",1.93810263303737e-05,1.71726073010004e-05
"PS","Soil",0.00130144401681162,0.000622571361641781
"PS","Soil (MP)",2.81355317489822e-05,2.02459035419889e-05
"PS","Fresh water",9.01948878148111e-05,6.85526578645755e-05
"PS","Fresh water (MP)",3.03670837826745e-07,2.72304662846307e-07
"PS","Subsurface soil (MP)",1.00961266278879e-06,1.03760696949159e-06
"PS","Coastal and ocean water",1.27154157784729e-05,8.01789004385674e-06
"PS","Coastal and ocean water (MP)",7.79549506262109e-06,8.55770430783329e-06
"EPS","Soil",0.000427522108235579,0.000219044303571897
"EPS","Soil (MP)",6.6984830986136e-05,1.86057506423208e-05
"EPS","Fresh water",3.1702814889794e-05,3.54021336080448e-05
"EPS","Fresh water (MP)",4.06416328426174e-07,2.36189595642008e-07
"EPS","Subsurface soil (MP)",2.64900614375468e-07,3.68116407941153e-07
"EPS","Coastal and ocean water",0.000102839221801496,8.05137824817036e-05
"EPS","Coastal and ocean water (MP)",2.43134574004259e-05,1.30007289360753e-05
"PVC","Soil",0.000553668728876849,0.00028370955835576
"PVC","Soil (MP)",0.000309655346968423,0.000137495073257016
"PVC","Fresh water",1.27230095442001e-05,1.29645342927881e-05
"PVC","Fresh water (MP)",4.93128977992238e-05,3.2819955233589e-05
"PVC","Subsurface soil (MP)",1.77871611974801e-05,1.3356323127273e-05
"PVC","Coastal and ocean water",2.53538485366607e-06,2.06378138077975e-06
"PVC","Coastal and ocean water (MP)",4.86146849402881e-05,3.60164803593606e-05
"PET","Soil",0.00653926791622942,0.00325419383571211
"PET","Soil (MP)",0.00127558660610848,0.000612725035937692
"PET","Fresh water",0.000265205760119092,0.000209176308418669
"PET","Fresh water (MP)",4.06207618888317e-05,3.77880826088676e-05
"PET","Subsurface soil (MP)",0.000233000763483305,0.000148963817324567
"PET","Coastal and ocean water",4.14047427781076e-05,2.8607462687505e-05
"PET","Coastal and ocean water (MP)",0.000121089429472071,0.000125419387035337
