"mat","dest","mean","sd"
"LDPE","Soil",0.00127557320326907,0.00047664666034101
"LDPE","Soil (MP)",0.00234938032444479,0.00134302669839785
"LDPE","Fresh water",6.80790917778477e-05,4.9035247051652e-05
"LDPE","Fresh water (MP)",7.42812331954601e-07,3.3892305784839e-07
"LDPE","Subsurface soil (MP)",6.87607351122542e-07,3.97249819175364e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00157013568037643,0.000700446002129569
"HDPE","Soil (MP)",8.19246922959179e-05,4.09855007119986e-05
"HDPE","Fresh water",6.71462271227579e-05,3.88196712417344e-05
"HDPE","Fresh water (MP)",2.51487490516216e-06,2.20604769175975e-06
"HDPE","Subsurface soil (MP)",1.09732449483581e-05,6.63693168812147e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00207147433306272,0.00087058723542475
"PP","Soil (MP)",0.000318852681092444,0.000176354169255553
"PP","Fresh water",4.87620771587216e-05,2.71329064646505e-05
"PP","Fresh water (MP)",7.63120643217429e-06,7.03466341092523e-06
"PP","Subsurface soil (MP)",4.8644710523207e-05,3.24495481701863e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000946341472776567,0.000526908127590489
"PS","Soil (MP)",4.416144348968e-05,2.62570109353094e-05
"PS","Fresh water",3.91932343198434e-05,2.78330422344222e-05
"PS","Fresh water (MP)",7.41444944173654e-07,6.84035855534431e-07
"PS","Subsurface soil (MP)",9.8988157382753e-07,1.04783244502343e-06
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.000519760525032282,0.000307918894799848
"EPS","Soil (MP)",9.15892346214134e-05,1.91428539512379e-05
"EPS","Fresh water",2.01185539505129e-05,1.57694726257398e-05
"EPS","Fresh water (MP)",1.6328352532557e-06,1.06491090347259e-06
"EPS","Subsurface soil (MP)",2.55726530291031e-07,3.3904745189614e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.000442804004694089,0.000236352532720153
"PVC","Soil (MP)",0.000343111852920646,0.000153111573990883
"PVC","Fresh water",5.26565711104492e-06,5.18021213318315e-06
"PVC","Fresh water (MP)",2.2993520029487e-05,1.50655038153588e-05
"PVC","Subsurface soil (MP)",1.79841432040035e-05,1.38890227463927e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00538808862738109,0.00296943322353454
"PET","Soil (MP)",0.000982609990486527,0.000519615717201468
"PET","Fresh water",0.000122545611590086,8.43335476999848e-05
"PET","Fresh water (MP)",6.04939179948912e-05,5.74483817728368e-05
"PET","Subsurface soil (MP)",0.000230183451070323,0.000146623708107048
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
