"mat","dest","mean","sd"
"LDPE","Soil",0.000876400325944891,0.00030512919108292
"LDPE","Soil (MP)",0.00240343412421707,0.00139890415182769
"LDPE","Fresh water",4.45529353331596e-05,3.12429365537571e-05
"LDPE","Fresh water (MP)",4.41527109956422e-07,2.90328033809135e-07
"LDPE","Subsurface soil (MP)",6.13324715186502e-07,3.47063574432465e-07
"LDPE","Coastal and ocean water",2.58587761367914e-05,1.67547916176954e-05
"LDPE","Coastal and ocean water (MP)",4.24192670767459e-06,1.88870511174707e-06
"HDPE","Soil",0.000739429702113276,0.000346345148880886
"HDPE","Soil (MP)",9.68367148377088e-05,4.65509025680372e-05
"HDPE","Fresh water",4.21553678217988e-05,2.63761944217382e-05
"HDPE","Fresh water (MP)",2.05649655008425e-06,1.99264476230232e-06
"HDPE","Subsurface soil (MP)",9.86568150871403e-06,6.01695590151033e-06
"HDPE","Coastal and ocean water",2.20519112727251e-05,1.292917621366e-05
"HDPE","Coastal and ocean water (MP)",4.3543851178598e-06,2.13177191369728e-06
"PP","Soil",0.00113635506845419,0.000479439807955117
"PP","Soil (MP)",0.000301218835890044,0.000166194997931038
"PP","Fresh water",3.41719001526167e-05,2.26312295936538e-05
"PP","Fresh water (MP)",6.55051777615237e-06,5.8048927223454e-06
"PP","Subsurface soil (MP)",4.19111289201915e-05,2.98905787234693e-05
"PP","Coastal and ocean water",5.05713378073255e-06,3.68470075968191e-06
"PP","Coastal and ocean water (MP)",6.31464383751037e-06,5.15740837545724e-06
"PS","Soil",0.000539498073829744,0.000307009810401534
"PS","Soil (MP)",5.55927219165169e-05,2.88631811895005e-05
"PS","Fresh water",2.75797548430162e-05,2.02793952383267e-05
"PS","Fresh water (MP)",9.08936280139894e-07,8.65589965482132e-07
"PS","Subsurface soil (MP)",7.16182550939534e-07,8.02347690860289e-07
"PS","Coastal and ocean water",5.76440944308171e-07,3.82884480300937e-07
"PS","Coastal and ocean water (MP)",1.21514731638793e-06,1.3493847329045e-06
"EPS","Soil",0.000189390351378995,0.000104653586147008
"EPS","Soil (MP)",8.94501461539528e-05,1.8259685699171e-05
"EPS","Fresh water",1.13474286384262e-05,9.0705404610121e-06
"EPS","Fresh water (MP)",2.29088411991589e-06,1.39588417756156e-06
"EPS","Subsurface soil (MP)",1.85473114772251e-07,2.59640708128834e-07
"EPS","Coastal and ocean water",5.11976699289022e-06,4.04926137762658e-06
"EPS","Coastal and ocean water (MP)",3.46731030324335e-06,2.36916294446356e-06
"PVC","Soil",0.00026303751613684,0.000147570336940084
"PVC","Soil (MP)",0.000295583328362136,0.000130773274575479
"PVC","Fresh water",4.86315551291264e-06,5.0676038328312e-06
"PVC","Fresh water (MP)",3.43689634540476e-05,2.17651282412848e-05
"PVC","Subsurface soil (MP)",1.33246911190233e-05,1.11398385940876e-05
"PVC","Coastal and ocean water",1.25766672693007e-07,1.15088781023129e-07
"PVC","Coastal and ocean water (MP)",9.29035554999449e-06,7.23562426354579e-06
"PET","Soil",0.00295120085121593,0.00174705920804866
"PET","Soil (MP)",0.000606276912507235,0.000377738699246205
"PET","Fresh water",9.9921355385725e-05,7.91325136836998e-05
"PET","Fresh water (MP)",5.05052151968422e-05,4.70448339137212e-05
"PET","Subsurface soil (MP)",0.000175800876076456,0.000125536404804391
"PET","Coastal and ocean water",6.00681053235757e-06,6.02997783170036e-06
"PET","Coastal and ocean water (MP)",4.08921654936849e-05,3.84550380246872e-05
